%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 146 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.665851165807231
%.kernel.kernels[0].lengthscales: [  0.46952842   0.52620157   0.71597554   2.42122785   0.50290625   0.96797522   2.20986589   0.9035108    0.68087373   0.83719837   1.4625784  379.64169123   1.90699438   0.61293969   0.5838824 ]
%.kernel.kernels[1].variance: 0.04033735634674036
%.likelihood.variance: 0.904616135180554
%loglikelihood: -6638.540078332004
%RMSE:1.574
%Pearson_correlation_coefficient:0.727,P-value:0.000
%Spearman_correlation_coefficient:0.724,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA
10gs,-0.6906,1.4635,-0.0535,0.1101,0.348,-0.7059,-0.7281,-0.0081,0.9746,0.6229,0.6441,0.7266,-0.7807,0.9653,0.0081,0.41,0.925,0.3665
1a30,-1.4338,1.5901,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999,3.3695,-1.2618,0.033,0.2296,0.4142,-0.2683,0.9942,0.1824,0.8981,1.5328,0.9002
1a69,-0.8962,0.3997,-1.1535,-0.3204,-0.6182,-0.8145,-1.214,-0.4936,-0.5632,-0.0206,-0.1606,-0.1201,0.3949,-0.712,-0.019,-1.2831,0.2439,0.0996
1abf,-1.9991,0.2972,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-0.8519,0.775,-1.9292,1.6081,-0.777,0.0804,-1.0848,0.252,0.0996
1ai5,-2.1030,0.4016,-2.7335,-0.9418,-1.151,-0.1715,-0.971,0.4404,-0.0163,-1.0664,-0.9102,-0.7589,0.3195,0.9903,-0.7549,0.0266,-0.6854,-0.7009
1ajp,-2.5758,0.3303,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223,0.4077,-0.5213,-1.1469,-0.8539,-0.732,0.4702,0.9903,-0.902,-0.2878,-0.0582,-0.1672
1ajq,-2.3658,0.5314,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162,0.0882,-0.5642,-1.2005,-0.5405,-0.8755,1.1334,0.99,-0.718,-0.3208,-0.6854,-0.7009
1apw,1.4693,1.1522,1.5465,0.5546,0.5276,0.3523,0.094,4.8403,-1.2618,0.5693,1.113,1.7462,0.0256,-0.8155,-0.1805,1.6732,0.3242,0.0996
1avn,-3.0627,0.9718,-2.5535,-1.9036,-1.2816,-0.385,-1.214,0.1799,-0.6939,-2.005,-0.9834,-2.0581,1.1334,-1.1079,-0.7338,-0.2716,-0.637,-1.2346
1ax0,-2.5375,0.3088,-3.3235,-1.04,-1.0548,-1.0849,-1.214,0.5643,-1.2618,-0.9056,0.2312,-0.1896,1.2087,-0.712,-0.3934,-0.7545,0.578,0.3665
1axz,-3.0285,0.3493,-3.2535,-1.2969,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.0664,0.1896,-1.9119,1.578,-0.712,-0.6088,-1.2831,0.5656,0.3665
1b11,0.7461,0.6661,0.9365,0.2033,0.4965,0.5294,0.107,-0.009,0.9746,-0.6106,0.3705,0.8717,-0.7958,-0.1552,-0.2075,-0.4901,0.289,0.0996
1b39,-2.0969,0.4897,0.4665,0.7508,0.1283,-0.0986,-1.214,-0.607,-0.8678,0.9179,0.842,-0.1511,0.1537,1.409,1.4705,-1.2831,-0.0241,2.2344
1b7h,0.6274,0.3793,1.5665,0.7967,0.1463,-1.2671,0.456,3.9892,-1.2618,1.2933,1.8165,0.7738,0.4702,0.9695,0.862,0.4118,1.0185,-0.1672
1b8o,2.8031,0.2220,4.1865,-0.2095,-0.4904,-1.0758,-1.214,-0.3527,-0.3743,-0.1011,0.4346,-0.0323,0.4476,-0.75,-0.5304,-0.9855,0.5842,-0.1672
1b9j,0.4922,0.3285,-0.4935,0.8063,0.1285,-1.3115,0.7134,4.0519,-1.2618,1.2665,2.0541,0.7971,0.4702,0.9695,0.7563,0.4118,1.0185,-0.1672
1bcu,-2.2718,0.4391,-3.1735,-0.9025,-0.7021,0.6497,0.1055,-0.35,0.0602,-1.1469,-1.0573,-1.7368,0.0331,-0.6565,-1.1272,-0.2154,-0.591,-1.2346
1bma,0.7159,1.4736,-1.8635,0.358,0.7578,1.2558,0.3499,0.3058,0.7858,0.6497,-0.4641,0.986,-0.8034,0.1282,-0.1288,0.3165,-0.6413,-0.434
1bra,-2.2126,0.0721,-4.6335,-1.377,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737,-1.276,-2.0498,0.7716,-1.7141,-0.6662,-1.2831,-1.2932,-1.2346
1bxo,1.8841,1.5818,3.5465,1.7364,1.4263,0.6615,0.3225,0.538,-0.1586,2.0978,0.7709,1.2168,-0.8335,0.0888,0.2194,1.5608,0.3014,1.167
1c84,-1.2544,0.6835,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157,-0.0342,0.0453,-0.0475,0.2422,-0.4412,-0.419,0.935,0.1633,-1.0149,0.2483,0.0996
1d7j,-1.7953,1.2559,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148,1.2366,-1.2618,-1.9245,-1.0441,-0.6511,1.48,-0.6864,-1.2072,-0.3293,-0.9796,-0.7009
1det,-1.7225,0.5893,-2.1535,-0.9319,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,-0.3424,0.682,-0.0224,0.0181,1.236,-0.2125,-1.2831,-0.0241,0.9002
1df8,0.7891,0.2407,3.2465,-0.3955,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.4497,0.0879,-0.1887,1.0731,0.9943,-0.3668,0.2585,-0.0335,-0.434
1dhi,-0.0790,0.5033,0.8065,0.2853,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.262,0.0458,0.3451,-1.67,0.9943,-0.4363,0.3459,1.2513,0.0996
1e1v,-0.2485,0.8758,-1.5335,-0.4022,-0.5833,0.4469,-0.3999,-0.5791,-1.0648,-0.7178,-0.6908,-1.6511,0.3647,0.1825,-0.3466,-0.5562,-0.3458,-0.9677
1e5a,-0.3086,1.1344,1.1865,-1.5161,-1.4161,0.997,0.7053,0.2418,-0.4647,-1.9245,-1.276,-2.0683,2.1055,0.5084,-1.1547,-1.0675,-0.9796,-0.9677
1e66,0.7585,1.1031,3.4365,0.0352,-0.2118,1.3596,1.2059,-0.5103,0.177,0.1939,-1.276,-1.353,0.5983,-0.6649,-0.7236,0.8946,-0.9421,-1.2346
1ela,0.4638,1.1324,-0.0935,0.1162,0.3251,0.5407,1.2059,0.0784,-0.3325,0.0866,-0.1965,0.8574,-0.2156,0.1282,-0.241,0.5598,0.0102,-0.434
1elb,0.2139,1.6251,0.6965,0.0673,0.4087,0.7071,1.185,1.1935,-0.3325,0.5157,-0.7219,0.8401,-0.2156,0.1282,0.5032,0.4448,0.0353,-0.434
1f4e,-1.2142,0.7742,-3.4935,-0.8778,-0.6455,-0.1681,0.1697,-0.0893,-0.3325,-1.4687,-0.8707,0.2993,0.7038,0.975,-0.9518,-0.3752,-0.6854,-0.1672
1f4f,-0.5386,1.6415,-1.8335,0.2608,-0.0808,-1.379,0.9549,-0.1408,-0.3325,-0.1815,-0.9643,0.4433,-0.4944,0.9943,0.2971,0.2469,0.8561,1.167
1f4g,0.0240,1.6751,0.0265,0.9626,0.2873,-1.5311,0.9549,-0.0712,-0.3325,0.9179,-0.2105,0.6771,-0.8938,0.9943,0.2611,1.4193,1.1821,1.4339
1f5k,-2.0954,0.0740,-2.7135,-1.364,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.0933,-1.276,-2.0498,0.7716,-1.7141,-0.7557,-1.2831,-1.2932,-1.2346
1fcx,1.4828,1.1925,0.7365,0.8816,0.4517,1.291,2.0289,-0.4443,1.3075,-0.2888,-0.7195,-0.3302,-0.2382,0.9359,-0.7429,-0.2258,-0.3718,-0.434
1fcz,1.7273,0.7280,2.7665,0.666,0.149,1.1866,1.3158,-0.2541,1.1189,-0.4497,-0.6911,0.5617,-0.2608,0.9359,-0.7215,0.0424,-0.6854,-0.434
1fd0,1.4076,1.0429,1.9465,0.9646,0.4873,1.3356,1.8068,-0.4506,1.3075,-0.2352,-0.6376,-0.3276,-0.6074,0.9359,-0.6343,0.3106,-0.3656,-0.434
1fh7,-0.2924,0.7330,-1.2135,-0.6007,-0.7846,-1.6435,-1.214,-0.1141,-1.2618,0.2475,0.3119,-1.6578,1.5177,-0.7738,0.5454,-1.2831,1.1819,0.6333
1fh8,0.1244,0.7061,0.4365,-0.8072,-0.8068,-1.3264,-1.214,-0.1349,-1.2618,-0.2888,0.6572,-1.6803,1.5478,-0.7738,-0.1363,-0.8437,0.8683,0.3665
1fh9,-1.0359,0.7727,-0.0235,-0.3638,-0.7775,-1.3927,-1.214,-0.1508,-1.2618,0.7302,1.0052,-1.642,0.9977,-0.54,1.2199,-0.9699,1.5022,0.9002
1fkb,0.9419,1.7196,3.2465,0.94,3.5241,1.7675,3.427,-0.0669,0.2216,0.4889,-0.0215,1.6996,-0.7807,0.0128,-0.3534,5.0169,1.4023,2.2344
1fki,0.1234,1.5339,0.5465,-0.3495,0.4205,1.0845,0.7762,0.2869,-1.2618,-0.6642,-0.7504,0.8311,0.312,0.0621,-1.0413,1.584,-0.4109,0.3665
1fkn,0.8604,1.5592,2.3465,2.3645,2.6978,-2.1261,1.5131,1.6678,-0.1436,2.0173,2.2767,1.3675,-2.8833,0.9943,1.6269,2.3287,3.5013,2.5012
1flr,1.3420,0.5057,3.5465,0.0456,-0.0416,0.6748,0.0846,-0.4441,1.1203,0.0866,-0.4885,-0.0671,-0.9541,0.9357,-0.5581,0.3637,-0.1007,-0.1672
1fo0,2.0838,1.7297,-0.8635,4.4805,3.3633,-2.1118,0.107,0.5969,0.9746,5.1547,3.7584,1.4624,-3.8705,0.9932,3.3779,2.2589,3.5706,2.5012
1ftm,0.3729,0.2300,1.1565,-0.7727,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.0866,0.9219,-0.3065,0.5832,0.9258,0.1165,-0.6455,-0.0571,-0.434
1fzk,1.1279,0.6525,1.9465,2.7587,3.3387,-1.3626,2.0474,-0.5839,0.7858,2.3391,0.8222,1.5354,-3.5916,0.9695,1.0548,2.1383,2.8873,1.9675
1g7q,0.5130,1.7041,-0.3935,1.9569,2.132,-3.603,1.3538,0.4112,-1.2618,3.1972,2.1237,1.3675,-2.4763,0.9932,2.3799,1.7224,3.1316,2.2344
