%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 29 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 0.669770149679548
%.kernel.kernels[0].lengthscales: [0.30042335 0.43908394]
%.kernel.kernels[1].variance: 0.11950708709420357
%.likelihood.variance: 2.614912711136562
%loglikelihood: -7286.076705184681
%RMSE:1.869
%Pearson_correlation_coefficient:0.572,P-value:0.000
%Spearman_correlation_coefficient:0.578,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT
10gs,0.3379,0.0212,-0.0535,0.1101,0.348
1a30,0.4361,0.0150,-2.1535,-0.0856,-0.3613
1a69,-0.2763,0.0152,-1.1535,-0.3204,-0.6182
1abf,-1.2389,0.0227,-1.0335,-1.0165,-1.2766
1ai5,-1.2084,0.0167,-2.7335,-0.9418,-1.151
1ajp,-1.2049,0.0141,-4.2235,-1.0726,-1.2087
1ajq,-1.3445,0.0179,-2.1435,-1.3603,-1.3558
1apw,1.2123,0.0218,1.5465,0.5546,0.5276
1avn,-2.3840,0.1720,-2.5535,-1.9036,-1.2816
1ax0,-1.1767,0.0131,-3.3235,-1.04,-1.0548
1axz,-1.3564,0.0128,-3.2535,-1.2969,-1.2721
1b11,0.3273,0.0266,0.9365,0.2033,0.4965
1b39,0.2924,0.0336,0.4665,0.7508,0.1283
1b7h,0.2495,0.0364,1.5665,0.7967,0.1463
1b8o,0.0922,0.0151,4.1865,-0.2095,-0.4904
1b9j,0.1956,0.0378,-0.4935,0.8063,0.1285
1bcu,-0.5639,0.0185,-3.1735,-0.9025,-0.7021
1bma,0.5268,0.0323,-1.8635,0.358,0.7578
1bra,-1.6529,0.0144,-4.6335,-1.377,-1.2488
1bxo,2.2393,0.0476,3.5465,1.7364,1.4263
1c84,-0.4082,0.0122,-1.4535,-0.6427,-0.7245
1d7j,-2.1809,0.1801,-3.1535,-1.9265,-1.5142
1det,-1.0893,0.0552,-2.1535,-0.9319,-0.2728
1df8,-0.4904,0.0275,3.2465,-0.3955,-0.8944
1dhi,0.7413,0.0188,0.8065,0.2853,0.2714
1e1v,-0.3419,0.0135,-1.5335,-0.4022,-0.5833
1e5a,-1.7608,0.0236,1.1865,-1.5161,-1.4161
1e66,0.5217,0.0151,3.4365,0.0352,-0.2118
1ela,0.3823,0.0203,-0.0935,0.1162,0.3251
1elb,0.1631,0.0242,0.6965,0.0673,0.4087
1f4e,-0.4571,0.0189,-3.4935,-0.8778,-0.6455
1f4f,0.2814,0.0170,-1.8335,0.2608,-0.0808
1f4g,0.2304,0.0422,0.0265,0.9626,0.2873
1f5k,-1.6094,0.0140,-2.7135,-1.364,-1.2488
1fcx,0.7623,0.0304,0.7365,0.8816,0.4517
1fcz,0.4928,0.0280,2.7665,0.666,0.149
1fd0,0.6986,0.0337,1.9465,0.9646,0.4873
1fh7,-0.5377,0.0129,-1.2135,-0.6007,-0.7846
1fh8,-0.5380,0.0135,0.4365,-0.8072,-0.8068
1fh9,-0.4405,0.0193,-0.0235,-0.3638,-0.7775
1fkb,0.3960,0.7750,3.2465,0.94,3.5241
1fki,-0.6802,0.0506,0.5465,-0.3495,0.4205
1fkn,1.8719,0.1542,2.3465,2.3645,2.6978
1flr,0.5498,0.0142,3.5465,0.0456,-0.0416
1fo0,1.1949,0.6895,-0.8635,4.4805,3.3633
1ftm,-1.0101,0.0171,1.1565,-0.7727,-1.0519
1fzk,0.8896,0.2448,1.9465,2.7587,3.3387
1g7q,2.2967,0.0632,-0.3935,1.9569,2.132
1gni,-0.0684,0.0142,1.6165,-0.4417,-0.2995
1gpk,0.0738,0.0138,-1.0835,-0.2393,-0.4012
1gz9,0.4599,0.0157,-2.9435,0.0016,0.0633
1h23,2.3404,0.0330,1.8965,1.4138,1.2569
1ha2,-0.1578,0.0170,-0.9135,-0.4143,-0.1425
1hfs,1.1779,0.3436,2.2465,2.9854,2.3295
1hi4,-0.2238,0.0178,-1.9635,-0.3868,-0.0838
1hk4,-0.2355,0.0119,-1.1435,-0.5408,-0.56
1if7,-0.8362,0.0439,4.0665,-0.5533,0.1935
1j16,-1.6925,0.0147,-2.6135,-1.3886,-1.2488
1j17,0.5025,0.0331,-1.2335,0.3562,0.7813
1jaq,-0.4162,0.0135,-1.9735,-0.4569,-0.6385
1jq9,1.2517,0.0824,1.9965,1.2966,1.6616
1jqd,0.0682,0.0211,-1.2935,0.2693,-0.1741
1jqe,0.2642,0.0244,-0.0135,0.1364,0.4326
1jys,-2.1081,0.0202,-2.9335,-1.4828,-1.2174
1k4g,-0.1061,0.0123,-0.6035,-0.5019,-0.4364
1k9s,0.1748,0.0178,0.0665,-0.1669,-0.5348
1kv1,-0.2003,0.0131,-0.5135,-0.384,-0.4689
1l2s,-0.3856,0.0121,-1.8635,-0.6633,-0.7205
1l83,-2.1272,0.0558,-3.0535,-1.7068,-1.5179
1li3,-1.5581,0.0243,-2.2035,-1.4619,-1.4183
1li6,-2.2573,0.0437,-2.6535,-1.6971,-1.4327
1lol,-0.0682,0.0152,-0.0635,-0.3369,-0.216
1loq,-0.2078,0.0133,-2.7535,-0.3557,-0.4945
1m0n,-0.1157,0.0352,-4.2335,0.595,-0.1164
1m0q,-0.2238,0.0356,-2.5635,0.2727,-0.3959
1m2q,-0.0576,0.0146,-0.3535,-0.2589,-0.5198
1mq6,1.1895,0.0224,4.6965,0.646,0.4704
1n2v,-0.3756,0.0148,-2.3735,-0.8139,-0.7025
1nc1,0.4087,0.0261,-0.3335,-0.0227,-0.5308
1ndw,-0.2920,0.0133,-1.2235,-0.3912,-0.5457
1ndy,0.4988,0.0141,-0.2835,-0.0346,-0.1097
1ndz,2.1562,0.0371,1.6565,1.5653,1.1632
1nfy,0.7342,0.0221,2.4365,0.3055,0.3935
1nhu,-0.8623,0.0450,-0.7935,-0.5349,0.2219
1nja,-0.3303,0.0129,-0.1435,-0.4462,-0.5711
1nje,-0.3252,0.0128,-2.6535,-0.4597,-0.5711
1nny,1.3091,0.1265,1.2065,1.6728,2.208
1nvq,0.6783,0.0508,1.7965,0.9592,1.2758
1nwl,-0.4595,0.0224,-4.0635,-0.3664,0.0813
1o0h,0.5086,0.0140,-0.5335,-0.0312,-0.1291
1o3f,-0.3316,0.0218,1.5065,-0.2617,0.1494
1o3p,0.4655,0.0157,0.2065,0.0082,0.0703
1om1,0.4651,0.0144,0.3165,-0.0498,-0.0829
1p1q,-1.0138,0.0168,-1.5635,-0.78,-1.0519
1pb9,-1.9383,0.0312,-2.8335,-1.5958,-1.4668
1pbq,-0.8493,0.0152,-0.1835,-0.7117,-0.982
1ppm,1.7954,0.0358,-0.6535,1.2085,1.2043
1pr5,-0.2914,0.0120,-2.5335,-0.5881,-0.6269
1pxo,0.3935,0.0149,2.2465,-0.1077,-0.3792
1pz5,1.6278,0.2652,-1.0535,2.0405,3.1383
1q7a,-0.1021,0.0164,0.7365,-0.4483,-0.1916
1q8t,-0.3055,0.0139,-1.6935,-0.363,-0.5788
1rdi,-2.5188,0.0398,-4.3935,-1.6242,-1.1983
1rdj,-2.4243,0.0366,-4.7935,-1.644,-1.2766
1rdl,-2.3391,0.0293,-4.2135,-1.6012,-1.2721
1re8,1.1931,0.0709,3.0665,1.4416,0.6968
1rnt,0.0082,0.0154,-1.2635,-0.5375,-0.2728
1s39,-1.5324,0.0163,1.2465,-1.1721,-0.9942
1sl3,0.7568,0.0584,5.3965,1.2735,0.5592
1slg,0.7513,0.1322,-2.5535,1.1519,2.3798
1sqa,-0.0796,0.0308,2.7565,0.0172,0.5274
1sv3,-1.3978,0.0127,-2.1035,-1.303,-1.2607
1syh,-0.4370,0.0149,-0.0435,-0.4014,-0.6758
1tmn,-0.1052,0.0444,0.8465,0.1415,0.8381
1toi,-1.2297,0.0120,-2.4035,-1.1212,-1.1866
1toj,-1.2099,0.0135,-3.0635,-1.069,-1.1866
1tok,-1.3241,0.0621,-3.9835,-1.457,-1.5596
1trd,-1.5089,0.0210,-1.0535,-1.4304,-1.3868
1tsy,-0.1851,0.0119,-1.4935,-0.5265,-0.5168
1ttm,-0.1765,0.0257,0.8965,-0.7465,-0.275
1tyr,-2.3159,0.2703,0.5465,-1.2971,-0.21
1u1b,0.8251,0.1542,1.3465,0.8462,1.9049
1u2y,-1.3855,0.0114,-4.7135,-1.2398,-1.197
1u33,0.1647,0.0436,-1.8535,0.958,0.2531
1utp,-2.2015,0.0266,-5.0135,-1.3623,-1.0187
1uwt,-1.2725,0.0331,-0.4835,-0.7969,-1.197
1v2o,-1.0306,0.0684,-1.7235,-0.5976,0.3213
1v48,0.4355,0.0148,1.3465,-0.0874,-0.3549
1vfn,-1.6731,0.0138,-0.8535,-1.3172,-1.1655
1vzq,0.9145,0.0297,0.9865,0.9485,0.6058
1x1z,-0.1777,0.0400,4.6065,0.255,-0.4763
1xgj,-0.1732,0.0118,-0.4535,-0.6246,-0.5808
1y1m,-1.5457,0.0159,-4.6335,-1.3943,-1.3146
1y6q,0.4371,0.0155,5.2465,-0.0804,-0.3795
1ydt,0.9589,0.0224,0.8665,0.5575,0.2757
1zc9,-0.5430,0.0123,-3.2335,-0.6892,-0.814
1zoe,-0.7832,0.0178,0.9465,-0.6317,-0.9669
1zs0,0.5474,0.0174,-0.3035,0.3656,0.0788
1zvx,0.5444,0.0177,2.7665,0.3738,0.0788
2aou,0.5300,0.0150,1.2765,0.0526,0.0606
2ayr,1.7377,0.0359,2.8365,1.1954,1.1983
2b1v,-0.2404,0.0131,-0.7135,-0.3892,-0.5026
2b7d,0.9028,0.0297,2.2465,0.5968,0.9154
2baj,0.2534,0.0180,1.9465,0.3602,-0.0325
2bak,1.7168,0.0667,0.9765,1.3596,1.5439
2bok,0.8930,0.0228,0.0965,0.3754,0.4303
2brb,0.0798,0.0164,-1.5935,-0.1793,-0.0044
2brm,0.1176,0.0171,-0.5635,-0.1474,0.0454
2bz6,0.7117,0.0232,0.6365,0.5595,0.1753
2bzz,1.9635,0.0722,-0.0235,1.7001,1.8861
2c02,-0.1584,0.0167,-2.4135,-0.3694,-0.1291
2ceq,-0.8751,0.0200,0.8265,-0.6656,-1.0165
2cer,0.2575,0.0226,2.7665,0.1345,-0.3332
2cet,0.4701,0.0180,1.5665,0.0354,-0.3332
2cgr,0.2237,0.0183,0.8265,-0.0725,0.1376
2ctc,-1.2172,0.0165,-2.5635,-0.9657,-1.165
2d0k,0.2353,0.0199,-1.4335,-0.0202,0.2332
2d1o,1.1380,0.0234,1.2465,0.6458,0.7374
2d3u,0.0947,0.0166,0.4665,-0.1676,0.0129
2d3z,0.0882,0.0153,0.1865,-0.214,-0.1089
2drc,0.1463,0.0215,3.4365,-0.0375,0.2714
2er9,1.4538,0.2674,0.9465,2.3991,3.2866
2f01,-0.5140,0.0263,6.5465,-0.4089,-0.8944
2f80,2.1780,0.0289,1.7265,1.3327,1.0178
2fai,-0.1196,0.0134,-0.2135,-0.3496,-0.4066
2fdp,2.0564,0.0450,1.1365,1.3288,1.3567
2flb,0.1665,0.0157,-0.7135,-0.1624,-0.042
2fzc,-0.5767,0.0127,-3.7535,-0.7618,-0.8361
2g5u,-0.8556,0.0220,2.0365,-0.6419,-1.0185
2g8r,-0.2928,0.0332,-2.4635,-0.6984,-0.1343
2g94,2.4329,0.0541,3.0665,1.8212,1.5943
2gss,-1.0391,0.0192,-1.5135,-1.0226,-0.8261
2hdq,-2.0153,0.0284,-5.0535,-1.602,-1.436
2i0d,2.2885,0.0537,5.6465,1.695,1.5969
2j77,-1.2070,0.0132,-1.5635,-1.0918,-1.2037
2j78,-1.2483,0.0380,-0.0335,-0.7641,-1.197
2qwb,-0.5329,0.0157,-3.7135,-0.4501,-0.7588
2qwd,-0.5099,0.0148,-1.6035,-0.4574,-0.7254
2qwe,0.3846,0.0250,1.0265,-0.0538,-0.5432
2rkm,0.2299,0.0174,-2.5535,-0.1517,-0.5096
2std,0.0322,0.0178,3.3965,-0.2077,-0.5807
2usn,-0.2676,0.0183,0.0565,-0.3581,-0.0366
3gss,1.1944,0.0216,-0.6335,0.5531,0.4548
3pce,-1.1968,0.0133,-4.4535,-1.1085,-1.2254
3pch,-1.1976,0.0285,-1.0535,-1.0456,-1.3356
3pcj,-1.2447,0.0212,0.7665,-1.0074,-1.257
3std,0.7571,0.0263,4.6565,0.6668,0.2485
4er2,1.0419,0.0901,2.8465,1.2211,1.6844
4fiv,1.7941,0.1847,0.0665,2.4414,2.9702
4tln,-2.0316,0.0190,-2.7335,-1.482,-1.2462
5abp,-1.3544,0.0344,0.1865,-0.9019,-1.2721
5er1,0.5513,0.0453,-0.4335,0.4089,1.0283
6fiv,0.3774,0.0264,1.6265,0.2216,0.4965
6rnt,-0.1431,0.0210,-4.0835,-0.771,-0.3818
6std,0.3652,0.0272,2.1865,-0.0586,-0.5701
8abp,-1.3496,0.0336,1.5465,-0.9083,-1.2721
1f8b,-0.5324,0.0178,-1.0535,-0.4251,-0.7984
1f8c,-0.5109,0.0147,0.9465,-0.462,-0.7254
1f8d,-0.4376,0.0168,-3.0535,-0.3731,-0.7254
1hnn,-0.5486,0.0138,-0.2135,-0.8217,-0.8064
1igj,-0.3522,0.0786,3.5465,-0.0707,1.0154
1lbk,-0.5364,0.0124,-3.2735,-0.654,-0.8019
1lor,-0.1834,0.0402,4.6065,0.257,-0.4763
1n1m,-1.2087,0.0133,-0.7535,-1.0625,-1.0315
1o5b,-1.1041,0.0145,-0.6835,-1.0228,-0.9682
1oyt,1.1547,0.0221,0.7865,0.6006,0.409
1ps3,-0.7002,0.0344,-4.1735,-0.5265,-1.0186
1q8u,0.3939,0.0149,-0.4935,-0.0782,-0.0562
1qi0,-0.7816,0.0255,-4.1035,-0.9622,-0.6237
1r5y,-1.0986,0.0150,0.0065,-1.0255,-0.9467
1sln,0.8969,0.0272,0.1865,0.4659,0.7301
1uto,-2.0061,0.0183,-4.1835,-1.436,-1.1944
1w3k,-0.0983,0.0198,-2.1535,-0.237,-0.6567
1w3l,0.1992,0.0312,-0.1735,0.6733,0.0411
1w4o,-0.0422,0.0140,-1.2335,-0.7145,-0.4945
1xd0,2.2716,0.0637,0.6665,2.043,1.7599
1yc1,0.0155,0.0261,-0.2835,0.519,-0.0686
1z95,-0.0450,0.0466,0.6665,0.7615,-0.0727
1zea,0.6712,0.5982,-1.2335,1.0454,3.1498
2cbj,0.0609,0.0137,1.8165,-0.2476,-0.3886
2fvd,0.5933,0.0246,2.0665,0.5896,0.1453
2g70,-0.6254,0.0124,1.3165,-0.7128,-0.8608
2hb1,-1.2296,0.0198,-2.6535,-1.0227,-1.2539
2iwx,0.4908,0.0165,0.2265,0.0422,-0.2722
2j62,0.3340,0.0288,4.8865,0.6544,0.0844
2jdm,-1.4492,0.0119,-1.0535,-1.2678,-1.1983
2jdu,-1.4743,0.0120,0.2665,-1.2774,-1.1983
2jdy,-1.4345,0.0117,-2.0835,-1.248,-1.1823
2obf,0.1820,0.0195,2.3965,0.2297,-0.1669
2ole,0.3857,0.0182,0.7965,0.0406,0.2131
2p4y,2.0236,0.0400,2.5465,1.468,0.9707
2pcp,-0.1226,0.0134,2.2465,-0.3479,-0.4121
2qbp,1.1481,0.0233,1.9465,0.6878,0.716
2qbr,0.4380,0.0144,-0.1235,-0.0661,-0.0871
2qmj,0.7362,0.0311,-2.2435,0.8412,0.9594
2r23,0.2616,0.0172,-2.7335,-0.0807,0.0842
2v00,-0.3450,0.0131,-2.7935,-0.7572,-0.7117
2v7a,1.0706,0.0245,1.8465,0.6496,0.7936
2vl4,-1.2072,0.0143,-0.4435,-1.0627,-1.2037
2vo5,0.0688,0.0141,-1.5635,-0.2316,-0.4411
2vot,0.3899,0.0213,0.6865,0.0716,-0.3771
2vvn,-0.5222,0.0309,0.8465,-0.4191,-0.9329
2vw5,0.6922,0.0333,2.0665,0.437,0.8692
2w66,-0.6337,0.0194,-2.4035,-0.5043,-0.8901
2wbg,0.4789,0.0164,-2.0035,-0.0413,-0.3692
2wca,-0.1132,0.0159,-0.8535,-0.3913,-0.1893
