%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 25 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.4352997015245306
%.kernel.kernels[0].lengthscales: [0.357692   0.1421341  0.29463258 0.68214066 0.07184502 0.31921145]
%.kernel.kernels[1].variance: 0.2248167192044251
%.likelihood.variance: 1.1740928757492073
%loglikelihood: -6930.231486478522
%RMSE:1.682
%Pearson_correlation_coefficient:0.677,P-value:0.000
%Spearman_correlation_coefficient:0.674,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7
10gs,-0.3703,1.4404,-0.0535,0.1101,0.348,-0.7059,-0.7281,-0.0081,0.9746
1a30,-0.8948,1.4472,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999,3.3695,-1.2618
1a69,-0.7073,0.4015,-1.1535,-0.3204,-0.6182,-0.8145,-1.214,-0.4936,-0.5632
1abf,-1.9932,0.3135,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148,0.4337,-1.2618
1ai5,-2.4076,0.5975,-2.7335,-0.9418,-1.151,-0.1715,-0.971,0.4404,-0.0163
1ajp,-2.4577,0.3331,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223,0.4077,-0.5213
1ajq,-0.6843,0.8266,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162,0.0882,-0.5642
1apw,0.6272,1.3246,1.5465,0.5546,0.5276,0.3523,0.094,4.8403,-1.2618
1avn,-1.4004,1.2087,-2.5535,-1.9036,-1.2816,-0.385,-1.214,0.1799,-0.6939
1ax0,-2.3213,0.3825,-3.3235,-1.04,-1.0548,-1.0849,-1.214,0.5643,-1.2618
1axz,-2.0059,0.2974,-3.2535,-1.2969,-1.2721,-1.1292,-1.214,0.4478,-1.2618
1b11,0.8463,0.6615,0.9365,0.2033,0.4965,0.5294,0.107,-0.009,0.9746
1b39,-1.6406,0.1575,0.4665,0.7508,0.1283,-0.0986,-1.214,-0.607,-0.8678
1b7h,0.1428,1.3808,1.5665,0.7967,0.1463,-1.2671,0.456,3.9892,-1.2618
1b8o,2.7211,0.2554,4.1865,-0.2095,-0.4904,-1.0758,-1.214,-0.3527,-0.3743
1b9j,0.1700,1.1307,-0.4935,0.8063,0.1285,-1.3115,0.7134,4.0519,-1.2618
1bcu,-1.1444,0.4791,-3.1735,-0.9025,-0.7021,0.6497,0.1055,-0.35,0.0602
1bma,0.5192,1.4390,-1.8635,0.358,0.7578,1.2558,0.3499,0.3058,0.7858
1bra,-2.2388,0.0881,-4.6335,-1.377,-1.2488,-0.3983,-0.6862,0.3726,-0.1436
1bxo,1.4060,1.4443,3.5465,1.7364,1.4263,0.6615,0.3225,0.538,-0.1586
1c84,-1.4298,1.0178,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157,-0.0342,0.0453
1d7j,-1.8086,1.0982,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148,1.2366,-1.2618
1det,-1.9560,1.1130,-2.1535,-0.9319,-0.2728,-0.6584,-1.214,-0.4172,-0.7412
1df8,1.1115,0.2022,3.2465,-0.3955,-0.8944,-0.3025,-0.379,-0.2302,-1.2618
1dhi,-0.1409,0.4233,0.8065,0.2853,0.2714,-0.8765,0.3983,-0.5488,0.0385
1e1v,-0.2339,1.4353,-1.5335,-0.4022,-0.5833,0.4469,-0.3999,-0.5791,-1.0648
1e5a,-0.4766,1.4283,1.1865,-1.5161,-1.4161,0.997,0.7053,0.2418,-0.4647
1e66,0.5849,1.3124,3.4365,0.0352,-0.2118,1.3596,1.2059,-0.5103,0.177
1ela,0.1137,1.3630,-0.0935,0.1162,0.3251,0.5407,1.2059,0.0784,-0.3325
1elb,0.2907,1.4407,0.6965,0.0673,0.4087,0.7071,1.185,1.1935,-0.3325
1f4e,-1.2813,0.7707,-3.4935,-0.8778,-0.6455,-0.1681,0.1697,-0.0893,-0.3325
1f4f,0.1350,1.4436,-1.8335,0.2608,-0.0808,-1.379,0.9549,-0.1408,-0.3325
1f4g,0.6429,1.4445,0.0265,0.9626,0.2873,-1.5311,0.9549,-0.0712,-0.3325
1f5k,-2.2189,0.0911,-2.7135,-1.364,-1.2488,-0.3983,-0.6862,0.3726,-0.1436
1fcx,1.8474,1.0397,0.7365,0.8816,0.4517,1.291,2.0289,-0.4443,1.3075
1fcz,1.5733,1.3692,2.7665,0.666,0.149,1.1866,1.3158,-0.2541,1.1189
