%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 29 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.5221001131129814
%.kernel.kernels[0].lengthscales: [0.36822722 0.14963058 0.2964185  0.69196113 0.07348571 0.3151871  1.23038882]
%.kernel.kernels[1].variance: 0.1637174033658069
%.likelihood.variance: 1.0856459224440753
%loglikelihood: -6920.6321042006
%RMSE:1.685
%Pearson_correlation_coefficient:0.674,P-value:0.000
%Spearman_correlation_coefficient:0.669,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all
10gs,-0.3243,1.5270,-0.0535,0.1101,0.348,-0.7059,-0.7281,-0.0081,0.9746,0.6229
1a30,-0.9198,1.5345,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999,3.3695,-1.2618,0.033
1a69,-0.7092,0.4282,-1.1535,-0.3204,-0.6182,-0.8145,-1.214,-0.4936,-0.5632,-0.0206
1abf,-2.4128,0.3620,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-0.8519
1ai5,-2.5330,0.6160,-2.7335,-0.9418,-1.151,-0.1715,-0.971,0.4404,-0.0163,-1.0664
1ajp,-2.6506,0.3568,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223,0.4077,-0.5213,-1.1469
1ajq,-0.7442,0.8463,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162,0.0882,-0.5642,-1.2005
1apw,0.6990,1.3897,1.5465,0.5546,0.5276,0.3523,0.094,4.8403,-1.2618,0.5693
1avn,-1.6728,1.3466,-2.5535,-1.9036,-1.2816,-0.385,-1.214,0.1799,-0.6939,-2.005
1ax0,-2.5301,0.4045,-3.3235,-1.04,-1.0548,-1.0849,-1.214,0.5643,-1.2618,-0.9056
1axz,-2.4853,0.3501,-3.2535,-1.2969,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.0664
1b11,0.6884,0.8990,0.9365,0.2033,0.4965,0.5294,0.107,-0.009,0.9746,-0.6106
1b39,-1.9648,0.1993,0.4665,0.7508,0.1283,-0.0986,-1.214,-0.607,-0.8678,0.9179
1b7h,0.1822,1.4477,1.5665,0.7967,0.1463,-1.2671,0.456,3.9892,-1.2618,1.2933
1b8o,2.7505,0.2529,4.1865,-0.2095,-0.4904,-1.0758,-1.214,-0.3527,-0.3743,-0.1011
1b9j,0.1894,1.1646,-0.4935,0.8063,0.1285,-1.3115,0.7134,4.0519,-1.2618,1.2665
1bcu,-1.5129,0.6484,-3.1735,-0.9025,-0.7021,0.6497,0.1055,-0.35,0.0602,-1.1469
1bma,0.5974,1.5273,-1.8635,0.358,0.7578,1.2558,0.3499,0.3058,0.7858,0.6497
1bra,-2.2853,0.0865,-4.6335,-1.377,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737
1bxo,1.4655,1.5335,3.5465,1.7364,1.4263,0.6615,0.3225,0.538,-0.1586,2.0978
1c84,-1.5022,1.0864,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157,-0.0342,0.0453,-0.0475
1d7j,-1.8232,1.1623,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148,1.2366,-1.2618,-1.9245
1det,-1.9982,1.1787,-2.1535,-0.9319,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,-0.3424
1df8,1.1495,0.1986,3.2465,-0.3955,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.4497
1dhi,-0.4206,0.5489,0.8065,0.2853,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.262
1e1v,-0.2913,1.5211,-1.5335,-0.4022,-0.5833,0.4469,-0.3999,-0.5791,-1.0648,-0.7178
1e5a,-0.4918,1.5120,1.1865,-1.5161,-1.4161,0.997,0.7053,0.2418,-0.4647,-1.9245
1e66,0.6827,1.4064,3.4365,0.0352,-0.2118,1.3596,1.2059,-0.5103,0.177,0.1939
1ela,0.1133,1.4427,-0.0935,0.1162,0.3251,0.5407,1.2059,0.0784,-0.3325,0.0866
1elb,0.3732,1.5294,0.6965,0.0673,0.4087,0.7071,1.185,1.1935,-0.3325,0.5157
1f4e,-1.2377,0.8407,-3.4935,-0.8778,-0.6455,-0.1681,0.1697,-0.0893,-0.3325,-1.4687
1f4f,0.0681,1.5313,-1.8335,0.2608,-0.0808,-1.379,0.9549,-0.1408,-0.3325,-0.1815
1f4g,0.6081,1.5312,0.0265,0.9626,0.2873,-1.5311,0.9549,-0.0712,-0.3325,0.9179
1f5k,-2.2302,0.0867,-2.7135,-1.364,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.0933
1fcx,1.8409,1.0885,0.7365,0.8816,0.4517,1.291,2.0289,-0.4443,1.3075,-0.2888
1fcz,1.4838,1.4567,2.7665,0.666,0.149,1.1866,1.3158,-0.2541,1.1189,-0.4497
1fd0,1.8344,1.0704,1.9465,0.9646,0.4873,1.3356,1.8068,-0.4506,1.3075,-0.2352
1fh7,-0.0082,1.0044,-1.2135,-0.6007,-0.7846,-1.6435,-1.214,-0.1141,-1.2618,0.2475
1fh8,-0.2975,0.8394,0.4365,-0.8072,-0.8068,-1.3264,-1.214,-0.1349,-1.2618,-0.2888
1fh9,-0.3136,0.8524,-0.0235,-0.3638,-0.7775,-1.3927,-1.214,-0.1508,-1.2618,0.7302
1fkb,0.9979,1.5696,3.2465,0.94,3.5241,1.7675,3.427,-0.0669,0.2216,0.4889
1fki,-0.0894,1.5355,0.5465,-0.3495,0.4205,1.0845,0.7762,0.2869,-1.2618,-0.6642
1fkn,0.9100,1.5409,2.3465,2.3645,2.6978,-2.1261,1.5131,1.6678,-0.1436,2.0173
1flr,1.2679,0.6883,3.5465,0.0456,-0.0416,0.6748,0.0846,-0.4441,1.1203,0.0866
1fo0,2.6297,1.5591,-0.8635,4.4805,3.3633,-2.1118,0.107,0.5969,0.9746,5.1547
