%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 69 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6752281683700518
%.kernel.kernels[0].lengthscales: [4.25344921e-01 4.42708131e-01 7.09515554e-01 1.54751442e+00 3.10324338e-01 6.87688874e-01 1.48109591e+00 7.29510530e-01 3.60727544e-01 5.83248344e-01 7.78513555e-01 7.26204136e+02]
%.kernel.kernels[1].variance: 0.06939917017675531
%.likelihood.variance: 0.8941925877482464
%loglikelihood: -6729.976710782661
%RMSE:1.647
%Pearson_correlation_coefficient:0.691,P-value:0.000
%Spearman_correlation_coefficient:0.695,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion
10gs,0.0943,1.5812,-0.0535,0.1101,0.348,-0.7059,-0.7281,-0.0081,0.9746,0.6229,0.6441,0.7266,-0.7807,0.9653,0.0081
1a30,-1.0879,1.6013,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999,3.3695,-1.2618,0.033,0.2296,0.4142,-0.2683,0.9942,0.1824
1a69,-0.2289,0.3935,-1.1535,-0.3204,-0.6182,-0.8145,-1.214,-0.4936,-0.5632,-0.0206,-0.1606,-0.1201,0.3949,-0.712,-0.019
1abf,-1.9224,0.3984,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-0.8519,0.775,-1.9292,1.6081,-0.777,0.0804
1ai5,-2.1181,0.4207,-2.7335,-0.9418,-1.151,-0.1715,-0.971,0.4404,-0.0163,-1.0664,-0.9102,-0.7589,0.3195,0.9903,-0.7549
1ajp,-2.3566,0.2893,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223,0.4077,-0.5213,-1.1469,-0.8539,-0.732,0.4702,0.9903,-0.902
1ajq,-2.0183,0.7157,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162,0.0882,-0.5642,-1.2005,-0.5405,-0.8755,1.1334,0.99,-0.718
1apw,1.6299,1.0000,1.5465,0.5546,0.5276,0.3523,0.094,4.8403,-1.2618,0.5693,1.113,1.7462,0.0256,-0.8155,-0.1805
1avn,-3.1345,1.1902,-2.5535,-1.9036,-1.2816,-0.385,-1.214,0.1799,-0.6939,-2.005,-0.9834,-2.0581,1.1334,-1.1079,-0.7338
1ax0,-2.1598,0.3089,-3.3235,-1.04,-1.0548,-1.0849,-1.214,0.5643,-1.2618,-0.9056,0.2312,-0.1896,1.2087,-0.712,-0.3934
1axz,-2.5350,0.1738,-3.2535,-1.2969,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.0664,0.1896,-1.9119,1.578,-0.712,-0.6088
1b11,0.8388,0.8230,0.9365,0.2033,0.4965,0.5294,0.107,-0.009,0.9746,-0.6106,0.3705,0.8717,-0.7958,-0.1552,-0.2075
1b39,-2.2954,0.4132,0.4665,0.7508,0.1283,-0.0986,-1.214,-0.607,-0.8678,0.9179,0.842,-0.1511,0.1537,1.409,1.4705
1b7h,0.5580,0.4785,1.5665,0.7967,0.1463,-1.2671,0.456,3.9892,-1.2618,1.2933,1.8165,0.7738,0.4702,0.9695,0.862
1b8o,2.7830,0.2170,4.1865,-0.2095,-0.4904,-1.0758,-1.214,-0.3527,-0.3743,-0.1011,0.4346,-0.0323,0.4476,-0.75,-0.5304
1b9j,0.3175,0.4034,-0.4935,0.8063,0.1285,-1.3115,0.7134,4.0519,-1.2618,1.2665,2.0541,0.7971,0.4702,0.9695,0.7563
1bcu,-2.1928,0.6985,-3.1735,-0.9025,-0.7021,0.6497,0.1055,-0.35,0.0602,-1.1469,-1.0573,-1.7368,0.0331,-0.6565,-1.1272
1bma,0.5917,1.4958,-1.8635,0.358,0.7578,1.2558,0.3499,0.3058,0.7858,0.6497,-0.4641,0.986,-0.8034,0.1282,-0.1288
1bra,-2.2397,0.0755,-4.6335,-1.377,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737,-1.276,-2.0498,0.7716,-1.7141,-0.6662
1bxo,1.6638,1.6448,3.5465,1.7364,1.4263,0.6615,0.3225,0.538,-0.1586,2.0978,0.7709,1.2168,-0.8335,0.0888,0.2194
1c84,-1.2368,0.8025,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157,-0.0342,0.0453,-0.0475,0.2422,-0.4412,-0.419,0.935,0.1633
1d7j,-1.5790,1.6137,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148,1.2366,-1.2618,-1.9245,-1.0441,-0.6511,1.48,-0.6864,-1.2072
1det,-1.6733,0.8015,-2.1535,-0.9319,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,-0.3424,0.682,-0.0224,0.0181,1.236,-0.2125
1df8,0.9612,0.2802,3.2465,-0.3955,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.4497,0.0879,-0.1887,1.0731,0.9943,-0.3668
1dhi,-0.0529,0.6214,0.8065,0.2853,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.262,0.0458,0.3451,-1.67,0.9943,-0.4363
1e1v,-1.2454,1.2382,-1.5335,-0.4022,-0.5833,0.4469,-0.3999,-0.5791,-1.0648,-0.7178,-0.6908,-1.6511,0.3647,0.1825,-0.3466
