%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 29 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 0.5741175496873091
%.kernel.kernels[0].lengthscales: [0.26267814 0.27725832 0.50972622]
%.kernel.kernels[1].variance: 0.26139039962631894
%.likelihood.variance: 2.255772162627592
%loglikelihood: -7112.492048006858
%RMSE:1.796
%Pearson_correlation_coefficient:0.615,P-value:0.000
%Spearman_correlation_coefficient:0.624,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP
10gs,-0.4421,0.1397,-0.0535,0.1101,0.348,-0.7059
1a30,0.1548,0.1897,-2.1535,-0.0856,-0.3613,-1.9753
1a69,-0.2071,0.0630,-1.1535,-0.3204,-0.6182,-0.8145
1abf,-1.3246,0.0690,-1.0335,-1.0165,-1.2766,-0.8126
1ai5,-1.3355,0.0565,-2.7335,-0.9418,-1.151,-0.1715
1ajp,-1.2000,0.0440,-4.2235,-1.0726,-1.2087,-0.3246
1ajq,-1.1318,0.0533,-2.1435,-1.3603,-1.3558,-0.1242
1apw,1.3459,0.0790,1.5465,0.5546,0.5276,0.3523
1avn,-2.4206,0.2826,-2.5535,-1.9036,-1.2816,-0.385
1ax0,-1.2513,0.0759,-3.3235,-1.04,-1.0548,-1.0849
1axz,-1.0967,0.0502,-3.2535,-1.2969,-1.2721,-1.1292
1b11,0.5361,0.0796,0.9365,0.2033,0.4965,0.5294
1b39,-0.5062,0.1097,0.4665,0.7508,0.1283,-0.0986
1b7h,-0.0917,0.1754,1.5665,0.7967,0.1463,-1.2671
1b8o,0.8146,0.0890,4.1865,-0.2095,-0.4904,-1.0758
1b9j,-0.0962,0.1748,-0.4935,0.8063,0.1285,-1.3115
1bcu,-0.5535,0.0644,-3.1735,-0.9025,-0.7021,0.6497
1bma,0.6163,0.1287,-1.8635,0.358,0.7578,1.2558
1bra,-1.1954,0.0383,-4.6335,-1.377,-1.2488,-0.3983
1bxo,2.5108,0.0963,3.5465,1.7364,1.4263,0.6615
1c84,-0.3347,0.0569,-1.4535,-0.6427,-0.7245,-0.4782
1d7j,-2.6306,0.2329,-3.1535,-1.9265,-1.5142,-0.1497
1det,-2.0341,0.1820,-2.1535,-0.9319,-0.2728,-0.6584
1df8,0.0328,0.0942,3.2465,-0.3955,-0.8944,-0.3025
1dhi,0.0447,0.1580,0.8065,0.2853,0.2714,-0.8765
1e1v,-0.2339,0.0444,-1.5335,-0.4022,-0.5833,0.4469
1e5a,-0.9248,0.3753,1.1865,-1.5161,-1.4161,0.997
1e66,1.0423,0.1116,3.4365,0.0352,-0.2118,1.3596
1ela,0.7465,0.0557,-0.0935,0.1162,0.3251,0.5407
1elb,0.5853,0.0699,0.6965,0.0673,0.4087,0.7071
1f4e,-0.0882,0.0644,-3.4935,-0.8778,-0.6455,-0.1681
1f4f,-0.6930,0.1343,-1.8335,0.2608,-0.0808,-1.379
1f4g,-0.2128,0.2251,0.0265,0.9626,0.2873,-1.5311
