%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 30 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 0.6471523239616278
%.kernel.kernels[0].lengthscales: [0.26984973 0.24669796 0.45563257 0.54944064]
%.kernel.kernels[1].variance: 0.258980735764662
%.likelihood.variance: 2.051138629708459
%loglikelihood: -7045.755543511147
%RMSE:1.739
%Pearson_correlation_coefficient:0.648,P-value:0.000
%Spearman_correlation_coefficient:0.652,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7
10gs,-0.6767,0.3419,-0.0535,0.1101,0.348,-0.7059,-0.7281
1a30,-0.4189,0.4995,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999
1a69,-0.5251,0.0880,-1.1535,-0.3204,-0.6182,-0.8145,-1.214
1abf,-1.3938,0.0997,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148
1ai5,-1.1252,0.0904,-2.7335,-0.9418,-1.151,-0.1715,-0.971
1ajp,-1.9147,0.1011,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223
1ajq,-1.3316,0.0985,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162
1apw,1.2669,0.1407,1.5465,0.5546,0.5276,0.3523,0.094
1avn,-2.4686,0.3574,-2.5535,-1.9036,-1.2816,-0.385,-1.214
1ax0,-1.4012,0.0953,-3.3235,-1.04,-1.0548,-1.0849,-1.214
1axz,-1.0585,0.0630,-3.2535,-1.2969,-1.2721,-1.1292,-1.214
1b11,0.8137,0.1479,0.9365,0.2033,0.4965,0.5294,0.107
1b39,-1.4476,0.1622,0.4665,0.7508,0.1283,-0.0986,-1.214
1b7h,0.5415,0.2579,1.5665,0.7967,0.1463,-1.2671,0.456
1b8o,1.0403,0.1158,4.1865,-0.2095,-0.4904,-1.0758,-1.214
1b9j,0.5193,0.2896,-0.4935,0.8063,0.1285,-1.3115,0.7134
1bcu,-0.7838,0.1135,-3.1735,-0.9025,-0.7021,0.6497,0.1055
1bma,0.8285,0.2662,-1.8635,0.358,0.7578,1.2558,0.3499
1bra,-1.6365,0.0639,-4.6335,-1.377,-1.2488,-0.3983,-0.6862
1bxo,2.4497,0.3469,3.5465,1.7364,1.4263,0.6615,0.3225
1c84,-0.1178,0.1254,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157
1d7j,-2.7965,0.2836,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148
1det,-2.4346,0.2790,-2.1535,-0.9319,-0.2728,-0.6584,-1.214
1df8,0.2796,0.1442,3.2465,-0.3955,-0.8944,-0.3025,-0.379
1dhi,0.0498,0.2486,0.8065,0.2853,0.2714,-0.8765,0.3983
1e1v,-0.3586,0.0774,-1.5335,-0.4022,-0.5833,0.4469,-0.3999
1e5a,-0.4734,0.6258,1.1865,-1.5161,-1.4161,0.997,0.7053
1e66,0.7445,0.2186,3.4365,0.0352,-0.2118,1.3596,1.2059
1ela,0.6102,0.1950,-0.0935,0.1162,0.3251,0.5407,1.2059
1elb,0.3490,0.1950,0.6965,0.0673,0.4087,0.7071,1.185
1f4e,-0.0400,0.1759,-3.4935,-0.8778,-0.6455,-0.1681,0.1697
1f4f,0.2754,0.5537,-1.8335,0.2608,-0.0808,-1.379,0.9549
1f4g,0.1349,0.4144,0.0265,0.9626,0.2873,-1.5311,0.9549
1f5k,-1.6043,0.0638,-2.7135,-1.364,-1.2488,-0.3983,-0.6862
1fcx,2.0373,0.3852,0.7365,0.8816,0.4517,1.291,2.0289
1fcz,1.8123,0.2308,2.7665,0.666,0.149,1.1866,1.3158
1fd0,1.9606,0.3656,1.9465,0.9646,0.4873,1.3356,1.8068
1fh7,-1.4635,0.1705,-1.2135,-0.6007,-0.7846,-1.6435,-1.214
1fh8,-1.1300,0.1607,0.4365,-0.8072,-0.8068,-1.3264,-1.214
1fh9,-0.6761,0.1215,-0.0235,-0.3638,-0.7775,-1.3927,-1.214
1fkb,1.1114,0.7019,3.2465,0.94,3.5241,1.7675,3.427
