%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 32 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.3488046205793602
%.kernel.kernels[0].lengthscales: [0.36733917 0.11090464 0.21809767 0.57451728 0.04795648]
%.kernel.kernels[1].variance: 0.26898235759388167
%.likelihood.variance: 1.2609880308959942
%loglikelihood: -6968.3440881253755
%RMSE:1.707
%Pearson_correlation_coefficient:0.664,P-value:0.000
%Spearman_correlation_coefficient:0.658,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ
10gs,-0.4187,1.3502,-0.0535,0.1101,0.348,-0.7059,-0.7281,-0.0081
1a30,-0.9296,1.3613,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999,3.3695
1a69,-1.2475,0.2958,-1.1535,-0.3204,-0.6182,-0.8145,-1.214,-0.4936
1abf,-2.0552,0.3583,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148,0.4337
1ai5,-2.2447,0.6939,-2.7335,-0.9418,-1.151,-0.1715,-0.971,0.4404
1ajp,-2.3267,0.3470,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223,0.4077
1ajq,-1.3866,0.8938,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162,0.0882
1apw,0.2817,1.3621,1.5465,0.5546,0.5276,0.3523,0.094,4.8403
1avn,-1.2794,1.1627,-2.5535,-1.9036,-1.2816,-0.385,-1.214,0.1799
1ax0,-2.1171,0.3882,-3.3235,-1.04,-1.0548,-1.0849,-1.214,0.5643
1axz,-1.8667,0.4192,-3.2535,-1.2969,-1.2721,-1.1292,-1.214,0.4478
1b11,0.8413,0.6691,0.9365,0.2033,0.4965,0.5294,0.107,-0.009
1b39,-1.6306,0.1839,0.4665,0.7508,0.1283,-0.0986,-1.214,-0.607
1b7h,0.1407,1.3667,1.5665,0.7967,0.1463,-1.2671,0.456,3.9892
1b8o,2.5839,0.2593,4.1865,-0.2095,-0.4904,-1.0758,-1.214,-0.3527
1b9j,0.2237,1.2624,-0.4935,0.8063,0.1285,-1.3115,0.7134,4.0519
