%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 27 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.67031021927892
%.kernel.kernels[0].lengthscales: [0.3295105  0.23308286 0.62871839 0.91286576 0.26824262 0.44378951 1.29949554 0.61850463 0.24909865]
%.kernel.kernels[1].variance: 0.10833644718568067
%.likelihood.variance: 0.9129918083230907
%loglikelihood: -6818.00523444997
%RMSE:1.670
%Pearson_correlation_coefficient:0.680,P-value:0.000
%Spearman_correlation_coefficient:0.677,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex
10gs,0.0904,1.6415,-0.0535,0.1101,0.348,-0.7059,-0.7281,-0.0081,0.9746,0.6229,0.6441,0.7266
1a30,-0.9018,1.6713,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999,3.3695,-1.2618,0.033,0.2296,0.4142
1a69,-0.4881,0.6180,-1.1535,-0.3204,-0.6182,-0.8145,-1.214,-0.4936,-0.5632,-0.0206,-0.1606,-0.1201
1abf,-2.1683,0.5916,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-0.8519,0.775,-1.9292
1ai5,-2.4636,0.5304,-2.7335,-0.9418,-1.151,-0.1715,-0.971,0.4404,-0.0163,-1.0664,-0.9102,-0.7589
1ajp,-2.5953,0.3963,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223,0.4077,-0.5213,-1.1469,-0.8539,-0.732
1ajq,-1.6362,0.7759,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162,0.0882,-0.5642,-1.2005,-0.5405,-0.8755
1apw,1.3279,1.1354,1.5465,0.5546,0.5276,0.3523,0.094,4.8403,-1.2618,0.5693,1.113,1.7462
1avn,-2.9837,1.4146,-2.5535,-1.9036,-1.2816,-0.385,-1.214,0.1799,-0.6939,-2.005,-0.9834,-2.0581
1ax0,-2.1036,0.4096,-3.3235,-1.04,-1.0548,-1.0849,-1.214,0.5643,-1.2618,-0.9056,0.2312,-0.1896
1axz,-2.5093,0.2462,-3.2535,-1.2969,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.0664,0.1896,-1.9119
1b11,0.8571,0.9081,0.9365,0.2033,0.4965,0.5294,0.107,-0.009,0.9746,-0.6106,0.3705,0.8717
1b39,-2.3677,0.6103,0.4665,0.7508,0.1283,-0.0986,-1.214,-0.607,-0.8678,0.9179,0.842,-0.1511
1b7h,0.4773,0.6161,1.5665,0.7967,0.1463,-1.2671,0.456,3.9892,-1.2618,1.2933,1.8165,0.7738
1b8o,2.9066,0.2802,4.1865,-0.2095,-0.4904,-1.0758,-1.214,-0.3527,-0.3743,-0.1011,0.4346,-0.0323
1b9j,0.1875,0.5202,-0.4935,0.8063,0.1285,-1.3115,0.7134,4.0519,-1.2618,1.2665,2.0541,0.7971
1bcu,-1.4739,0.6677,-3.1735,-0.9025,-0.7021,0.6497,0.1055,-0.35,0.0602,-1.1469,-1.0573,-1.7368
1bma,0.7038,1.6133,-1.8635,0.358,0.7578,1.2558,0.3499,0.3058,0.7858,0.6497,-0.4641,0.986
1bra,-2.2251,0.0800,-4.6335,-1.377,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737,-1.276,-2.0498
1bxo,1.4767,1.6582,3.5465,1.7364,1.4263,0.6615,0.3225,0.538,-0.1586,2.0978,0.7709,1.2168
1c84,-1.1724,0.9129,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157,-0.0342,0.0453,-0.0475,0.2422,-0.4412
1d7j,-1.7953,1.1623,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148,1.2366,-1.2618,-1.9245,-1.0441,-0.6511
1det,-1.6837,1.0452,-2.1535,-0.9319,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,-0.3424,0.682,-0.0224
1df8,0.9494,0.3403,3.2465,-0.3955,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.4497,0.0879,-0.1887
1dhi,0.3429,0.7185,0.8065,0.2853,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.262,0.0458,0.3451
1e1v,-1.2114,1.4841,-1.5335,-0.4022,-0.5833,0.4469,-0.3999,-0.5791,-1.0648,-0.7178,-0.6908,-1.6511
1e5a,-0.5028,1.3382,1.1865,-1.5161,-1.4161,0.997,0.7053,0.2418,-0.4647,-1.9245,-1.276,-2.0683
1e66,0.8267,1.4435,3.4365,0.0352,-0.2118,1.3596,1.2059,-0.5103,0.177,0.1939,-1.276,-1.353
1ela,0.5028,1.5748,-0.0935,0.1162,0.3251,0.5407,1.2059,0.0784,-0.3325,0.0866,-0.1965,0.8574
1elb,0.4585,1.6793,0.6965,0.0673,0.4087,0.7071,1.185,1.1935,-0.3325,0.5157,-0.7219,0.8401
1f4e,-1.7156,0.7047,-3.4935,-0.8778,-0.6455,-0.1681,0.1697,-0.0893,-0.3325,-1.4687,-0.8707,0.2993
1f4f,0.0790,1.6516,-1.8335,0.2608,-0.0808,-1.379,0.9549,-0.1408,-0.3325,-0.1815,-0.9643,0.4433
1f4g,0.6800,1.6754,0.0265,0.9626,0.2873,-1.5311,0.9549,-0.0712,-0.3325,0.9179,-0.2105,0.6771
1f5k,-2.0962,0.0837,-2.7135,-1.364,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.0933,-1.276,-2.0498
1fcx,1.3438,1.6104,0.7365,0.8816,0.4517,1.291,2.0289,-0.4443,1.3075,-0.2888,-0.7195,-0.3302
1fcz,1.8906,1.4849,2.7665,0.666,0.149,1.1866,1.3158,-0.2541,1.1189,-0.4497,-0.6911,0.5617
1fd0,1.3115,1.5694,1.9465,0.9646,0.4873,1.3356,1.8068,-0.4506,1.3075,-0.2352,-0.6376,-0.3276
1fh7,-1.1586,1.0455,-1.2135,-0.6007,-0.7846,-1.6435,-1.214,-0.1141,-1.2618,0.2475,0.3119,-1.6578
1fh8,-0.6994,0.8453,0.4365,-0.8072,-0.8068,-1.3264,-1.214,-0.1349,-1.2618,-0.2888,0.6572,-1.6803
1fh9,-0.9271,0.6728,-0.0235,-0.3638,-0.7775,-1.3927,-1.214,-0.1508,-1.2618,0.7302,1.0052,-1.642
1fkb,1.0359,1.7233,3.2465,0.94,3.5241,1.7675,3.427,-0.0669,0.2216,0.4889,-0.0215,1.6996
1fki,0.1216,1.6827,0.5465,-0.3495,0.4205,1.0845,0.7762,0.2869,-1.2618,-0.6642,-0.7504,0.8311
1fkn,0.9875,1.6602,2.3465,2.3645,2.6978,-2.1261,1.5131,1.6678,-0.1436,2.0173,2.2767,1.3675
