%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 34 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 0.5937657332627665
%.kernel.kernels[0].lengthscales: [0.31932679]
%.kernel.kernels[1].variance: 0.18082900905589777
%.likelihood.variance: 2.772698259912256
%loglikelihood: -7356.2538064608225
%RMSE:1.867
%Pearson_correlation_coefficient:0.585,P-value:0.000
%Spearman_correlation_coefficient:0.589,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2
10gs,0.3247,0.0065,-0.0535,0.1101
1a30,0.2022,0.0062,-2.1535,-0.0856
1a69,-0.2394,0.0059,-1.1535,-0.3204
1abf,-1.1317,0.0079,-1.0335,-1.0165
1ai5,-0.9755,0.0078,-2.7335,-0.9418
1ajp,-1.2330,0.0078,-4.2235,-1.0726
1ajq,-1.7168,0.0107,-2.1435,-1.3603
1apw,0.7185,0.0084,1.5465,0.5546
1avn,-2.1969,0.1312,-2.5535,-1.9036
1ax0,-1.1757,0.0079,-3.3235,-1.04
1axz,-1.5936,0.0092,-3.2535,-1.2969
1b11,0.3199,0.0068,0.9365,0.2033
1b39,0.7258,0.0099,0.4665,0.7508
1b7h,0.6946,0.0104,1.5665,0.7967
1b8o,-0.0374,0.0060,4.1865,-0.2095
1b9j,0.6885,0.0105,-0.4935,0.8063
1bcu,-0.8854,0.0075,-3.1735,-0.9025
1bma,0.4314,0.0076,-1.8635,0.358
1bra,-1.7514,0.0111,-4.6335,-1.377
1bxo,1.9736,0.0214,3.5465,1.7364
1c84,-0.4078,0.0055,-1.4535,-0.6427
1d7j,-2.1617,0.1495,-3.1535,-1.9265
1det,-0.9533,0.0077,-2.1535,-0.9319
1df8,-0.3189,0.0059,3.2465,-0.3955
1dhi,0.3535,0.0072,0.8065,0.2853
1e1v,-0.3234,0.0059,-1.5335,-0.4022
1e5a,-2.0498,0.0150,1.1865,-1.5161
1e66,0.3171,0.0064,3.4365,0.0352
1ela,0.3242,0.0066,-0.0935,0.1162
1elb,0.3245,0.0065,0.6965,0.0673
1f4e,-0.8275,0.0073,-3.4935,-0.8778
1f4f,0.3376,0.0070,-1.8335,0.2608
1f4g,0.6909,0.0121,0.0265,0.9626
1f5k,-1.7245,0.0108,-2.7135,-1.364
1fcx,0.6586,0.0112,0.7365,0.8816
1fcz,0.7650,0.0091,2.7665,0.666
1fd0,0.6927,0.0121,1.9465,0.9646
1fh7,-0.3809,0.0055,-1.2135,-0.6007
1fh8,-0.6654,0.0066,0.4365,-0.8072
1fh9,-0.2919,0.0059,-0.0235,-0.3638
1fkb,0.6735,0.0118,3.2465,0.94
1fki,-0.2765,0.0059,0.5465,-0.3495
1fkn,1.1930,0.0437,2.3465,2.3645
1flr,0.3204,0.0064,3.5465,0.0456
1fo0,1.0362,0.6518,-0.8635,4.4805
1ftm,-0.5934,0.0063,1.1565,-0.7727
1fzk,1.1452,0.0934,1.9465,2.7587
1g7q,2.1188,0.0249,-0.3935,1.9569
1gni,-0.3431,0.0059,1.6165,-0.4417
1gpk,-0.0984,0.0060,-1.0835,-0.2393
1gz9,0.3001,0.0064,-2.9435,0.0016
1h23,1.6160,0.0150,1.8965,1.4138
1ha2,-0.3307,0.0059,-0.9135,-0.4143
1hfs,0.9562,0.1288,2.2465,2.9854
1hi4,-0.3124,0.0059,-1.9635,-0.3868
1hk4,-0.3626,0.0056,-1.1435,-0.5408
1if7,-0.3651,0.0056,4.0665,-0.5533
1j16,-1.7759,0.0114,-2.6135,-1.3886
1j17,0.4289,0.0076,-1.2335,0.3562
1jaq,-0.3480,0.0058,-1.9735,-0.4569
1jq9,1.4249,0.0139,1.9965,1.2966
1jqd,0.3425,0.0071,-1.2935,0.2693
1jqe,0.3221,0.0066,-0.0135,0.1364
1jys,-1.9803,0.0139,-2.9335,-1.4828
1k4g,-0.3568,0.0057,-0.6035,-0.5019
1k9s,0.0515,0.0060,0.0665,-0.1669
1kv1,-0.3101,0.0059,-0.5135,-0.384
1l2s,-0.4267,0.0056,-1.8635,-0.6633
1l83,-2.3082,0.0360,-3.0535,-1.7068
1li3,-1.9351,0.0133,-2.2035,-1.4619
1li6,-2.3033,0.0337,-2.6535,-1.6971
1lol,-0.2615,0.0059,-0.0635,-0.3369
1loq,-0.2835,0.0059,-2.7535,-0.3557
1m0n,0.7505,0.0086,-4.2335,0.595
1m0q,0.3446,0.0071,-2.5635,0.2727
1m2q,-0.1365,0.0059,-0.3535,-0.2589
1mq6,0.7662,0.0089,4.6965,0.646
1n2v,-0.6802,0.0067,-2.3735,-0.8139
1nc1,0.2808,0.0063,-0.3335,-0.0227
1ndw,-0.3158,0.0059,-1.2235,-0.3912
1ndy,0.2690,0.0063,-0.2835,-0.0346
1ndz,1.7626,0.0185,1.6565,1.5653
1nfy,0.3707,0.0073,2.4365,0.3055
1nhu,-0.3616,0.0056,-0.7935,-0.5349
1nja,-0.3447,0.0058,-0.1435,-0.4462
1nje,-0.3487,0.0058,-2.6535,-0.4597
1nny,1.8852,0.0206,1.2065,1.6728
1nvq,0.6879,0.0120,1.7965,0.9592
1nwl,-0.2944,0.0059,-4.0635,-0.3664
1o0h,0.2725,0.0063,-0.5335,-0.0312
1o3f,-0.1419,0.0059,1.5065,-0.2617
1o3p,0.3043,0.0064,0.2065,0.0082
1om1,0.2519,0.0063,0.3165,-0.0498
1p1q,-0.6079,0.0064,-1.5635,-0.78
1pb9,-2.1946,0.0194,-2.8335,-1.5958
1pbq,-0.4870,0.0058,-0.1835,-0.7117
1ppm,1.2148,0.0139,-0.6535,1.2085
1pr5,-0.3754,0.0055,-2.5335,-0.5881
1pxo,0.1657,0.0062,2.2465,-0.1077
1pz5,2.0037,0.0283,-1.0535,2.0405
1q7a,-0.3454,0.0058,0.7365,-0.4483
1q8t,-0.2910,0.0059,-1.6935,-0.363
1rdi,-2.2349,0.0221,-4.3935,-1.6242
1rdj,-2.2587,0.0245,-4.7935,-1.644
1rdl,-2.2028,0.0199,-4.2135,-1.6012
1re8,1.6473,0.0156,3.0665,1.4416
1rnt,-0.3621,0.0056,-1.2635,-0.5375
1s39,-1.3894,0.0077,1.2465,-1.1721
1sl3,1.3746,0.0139,5.3965,1.2735
1slg,1.0647,0.0139,-2.5535,1.1519
1sqa,0.3093,0.0064,2.7565,0.0172
1sv3,-1.6050,0.0094,-2.1035,-1.303
1syh,-0.3229,0.0059,-0.0435,-0.4014
1tmn,0.3216,0.0066,0.8465,0.1415
1toi,-1.3116,0.0076,-2.4035,-1.1212
1toj,-1.2268,0.0078,-3.0635,-1.069
1tok,-1.9245,0.0131,-3.9835,-1.457
1trd,-1.8664,0.0124,-1.0535,-1.4304
1tsy,-0.3603,0.0057,-1.4935,-0.5265
1ttm,-0.5439,0.0061,0.8965,-0.7465
1tyr,-1.5940,0.0092,0.5465,-1.2971
1u1b,0.6675,0.0109,1.3465,0.8462
1u2y,-1.4952,0.0083,-4.7135,-1.2398
1u33,0.6868,0.0120,-1.8535,0.958
1utp,-1.7210,0.0107,-5.0135,-1.3623
1uwt,-0.6433,0.0065,-0.4835,-0.7969
1v2o,-0.3794,0.0055,-1.7235,-0.5976
1v48,0.1994,0.0062,1.3465,-0.0874
1vfn,-1.6315,0.0097,-0.8535,-1.3172
1vzq,0.6793,0.0119,0.9865,0.9485
1x1z,0.3346,0.0070,4.6065,0.255
1xgj,-0.3944,0.0055,-0.4535,-0.6246
1y1m,-1.7881,0.0115,-4.6335,-1.3943
1y6q,0.2102,0.0062,5.2465,-0.0804
1ydt,0.7213,0.0084,0.8665,0.5575
1zc9,-0.4562,0.0057,-3.2335,-0.6892
1zoe,-0.3993,0.0055,0.9465,-0.6317
1zs0,0.4419,0.0076,-0.3035,0.3656
1zvx,0.4535,0.0076,2.7665,0.3738
2aou,0.3221,0.0064,1.2765,0.0526
2ayr,1.1804,0.0139,2.8365,1.1954
2b1v,-0.3142,0.0059,-0.7135,-0.3892
