%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 50 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6508567456571912
%.kernel.kernels[0].lengthscales: [0.36147224 0.30537304 0.64910271 1.00913709 0.30139496 0.55126363 1.86076357 0.7238796  0.27640168 0.52172518]
%.kernel.kernels[1].variance: 0.08517059040920728
%.likelihood.variance: 0.9380203235728295
%loglikelihood: -6787.177963391054
%RMSE:1.641
%Pearson_correlation_coefficient:0.696,P-value:0.000
%Spearman_correlation_coefficient:0.696,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha
10gs,0.2677,1.5754,-0.0535,0.1101,0.348,-0.7059,-0.7281,-0.0081,0.9746,0.6229,0.6441,0.7266,-0.7807
1a30,-0.9723,1.6495,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999,3.3695,-1.2618,0.033,0.2296,0.4142,-0.2683
1a69,0.0533,0.4684,-1.1535,-0.3204,-0.6182,-0.8145,-1.214,-0.4936,-0.5632,-0.0206,-0.1606,-0.1201,0.3949
1abf,-2.0332,0.4649,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-0.8519,0.775,-1.9292,1.6081
1ai5,-2.3067,0.4954,-2.7335,-0.9418,-1.151,-0.1715,-0.971,0.4404,-0.0163,-1.0664,-0.9102,-0.7589,0.3195
1ajp,-2.4849,0.3471,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223,0.4077,-0.5213,-1.1469,-0.8539,-0.732,0.4702
1ajq,-1.4143,0.7999,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162,0.0882,-0.5642,-1.2005,-0.5405,-0.8755,1.1334
1apw,1.3656,1.0458,1.5465,0.5546,0.5276,0.3523,0.094,4.8403,-1.2618,0.5693,1.113,1.7462,0.0256
1avn,-3.2211,1.2860,-2.5535,-1.9036,-1.2816,-0.385,-1.214,0.1799,-0.6939,-2.005,-0.9834,-2.0581,1.1334
1ax0,-2.2200,0.3480,-3.3235,-1.04,-1.0548,-1.0849,-1.214,0.5643,-1.2618,-0.9056,0.2312,-0.1896,1.2087
1axz,-2.4583,0.1977,-3.2535,-1.2969,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.0664,0.1896,-1.9119,1.578
1b11,0.8654,0.7648,0.9365,0.2033,0.4965,0.5294,0.107,-0.009,0.9746,-0.6106,0.3705,0.8717,-0.7958
1b39,-2.3030,0.4545,0.4665,0.7508,0.1283,-0.0986,-1.214,-0.607,-0.8678,0.9179,0.842,-0.1511,0.1537
1b7h,0.5230,0.5409,1.5665,0.7967,0.1463,-1.2671,0.456,3.9892,-1.2618,1.2933,1.8165,0.7738,0.4702
1b8o,2.8300,0.2348,4.1865,-0.2095,-0.4904,-1.0758,-1.214,-0.3527,-0.3743,-0.1011,0.4346,-0.0323,0.4476
1b9j,0.2587,0.4727,-0.4935,0.8063,0.1285,-1.3115,0.7134,4.0519,-1.2618,1.2665,2.0541,0.7971,0.4702
1bcu,-1.7211,0.5759,-3.1735,-0.9025,-0.7021,0.6497,0.1055,-0.35,0.0602,-1.1469,-1.0573,-1.7368,0.0331
