%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 97 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6858093557475486
%.kernel.kernels[0].lengthscales: [ 0.4459262   0.42873226  0.9906523   2.62970555  0.33622558  0.90776844  1.9561593   0.80081986  0.44421837  0.69457334  1.12073376 31.49524015  1.46187927  0.62748511]
%.kernel.kernels[1].variance: 0.05114749959534973
%.likelihood.variance: 0.8742907363780765
%loglikelihood: -6669.2774565980435
%RMSE:1.594
%Pearson_correlation_coefficient:0.717,P-value:0.000
%Spearman_correlation_coefficient:0.718,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1
10gs,-0.2691,1.5635,-0.0535,0.1101,0.348,-0.7059,-0.7281,-0.0081,0.9746,0.6229,0.6441,0.7266,-0.7807,0.9653,0.0081,0.41,0.925
1a30,-1.2021,1.6432,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999,3.3695,-1.2618,0.033,0.2296,0.4142,-0.2683,0.9942,0.1824,0.8981,1.5328
1a69,-0.1131,0.4061,-1.1535,-0.3204,-0.6182,-0.8145,-1.214,-0.4936,-0.5632,-0.0206,-0.1606,-0.1201,0.3949,-0.712,-0.019,-1.2831,0.2439
1abf,-2.1549,0.3270,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-0.8519,0.775,-1.9292,1.6081,-0.777,0.0804,-1.0848,0.252
1ai5,-2.4120,0.4707,-2.7335,-0.9418,-1.151,-0.1715,-0.971,0.4404,-0.0163,-1.0664,-0.9102,-0.7589,0.3195,0.9903,-0.7549,0.0266,-0.6854
1ajp,-2.8726,0.3404,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223,0.4077,-0.5213,-1.1469,-0.8539,-0.732,0.4702,0.9903,-0.902,-0.2878,-0.0582
1ajq,-2.2808,0.7261,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162,0.0882,-0.5642,-1.2005,-0.5405,-0.8755,1.1334,0.99,-0.718,-0.3208,-0.6854
1apw,1.5333,1.0700,1.5465,0.5546,0.5276,0.3523,0.094,4.8403,-1.2618,0.5693,1.113,1.7462,0.0256,-0.8155,-0.1805,1.6732,0.3242
1avn,-3.1766,1.0978,-2.5535,-1.9036,-1.2816,-0.385,-1.214,0.1799,-0.6939,-2.005,-0.9834,-2.0581,1.1334,-1.1079,-0.7338,-0.2716,-0.637
1ax0,-2.3697,0.3074,-3.3235,-1.04,-1.0548,-1.0849,-1.214,0.5643,-1.2618,-0.9056,0.2312,-0.1896,1.2087,-0.712,-0.3934,-0.7545,0.578
1axz,-3.0712,0.2874,-3.2535,-1.2969,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.0664,0.1896,-1.9119,1.578,-0.712,-0.6088,-1.2831,0.5656
1b11,0.7915,0.7151,0.9365,0.2033,0.4965,0.5294,0.107,-0.009,0.9746,-0.6106,0.3705,0.8717,-0.7958,-0.1552,-0.2075,-0.4901,0.289
1b39,-2.3264,0.3320,0.4665,0.7508,0.1283,-0.0986,-1.214,-0.607,-0.8678,0.9179,0.842,-0.1511,0.1537,1.409,1.4705,-1.2831,-0.0241
1b7h,0.5017,0.4240,1.5665,0.7967,0.1463,-1.2671,0.456,3.9892,-1.2618,1.2933,1.8165,0.7738,0.4702,0.9695,0.862,0.4118,1.0185
1b8o,2.8505,0.2347,4.1865,-0.2095,-0.4904,-1.0758,-1.214,-0.3527,-0.3743,-0.1011,0.4346,-0.0323,0.4476,-0.75,-0.5304,-0.9855,0.5842
1b9j,0.3194,0.3650,-0.4935,0.8063,0.1285,-1.3115,0.7134,4.0519,-1.2618,1.2665,2.0541,0.7971,0.4702,0.9695,0.7563,0.4118,1.0185
1bcu,-2.2555,0.5213,-3.1735,-0.9025,-0.7021,0.6497,0.1055,-0.35,0.0602,-1.1469,-1.0573,-1.7368,0.0331,-0.6565,-1.1272,-0.2154,-0.591
1bma,0.7023,1.5781,-1.8635,0.358,0.7578,1.2558,0.3499,0.3058,0.7858,0.6497,-0.4641,0.986,-0.8034,0.1282,-0.1288,0.3165,-0.6413
1bra,-2.2423,0.0713,-4.6335,-1.377,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737,-1.276,-2.0498,0.7716,-1.7141,-0.6662,-1.2831,-1.2932
1bxo,1.7987,1.5804,3.5465,1.7364,1.4263,0.6615,0.3225,0.538,-0.1586,2.0978,0.7709,1.2168,-0.8335,0.0888,0.2194,1.5608,0.3014
1c84,-0.9084,0.8074,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157,-0.0342,0.0453,-0.0475,0.2422,-0.4412,-0.419,0.935,0.1633,-1.0149,0.2483
1d7j,-1.5854,1.5269,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148,1.2366,-1.2618,-1.9245,-1.0441,-0.6511,1.48,-0.6864,-1.2072,-0.3293,-0.9796
1det,-1.5428,0.6722,-2.1535,-0.9319,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,-0.3424,0.682,-0.0224,0.0181,1.236,-0.2125,-1.2831,-0.0241
1df8,0.8940,0.2564,3.2465,-0.3955,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.4497,0.0879,-0.1887,1.0731,0.9943,-0.3668,0.2585,-0.0335
1dhi,-0.0021,0.5392,0.8065,0.2853,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.262,0.0458,0.3451,-1.67,0.9943,-0.4363,0.3459,1.2513
1e1v,-0.9381,0.9750,-1.5335,-0.4022,-0.5833,0.4469,-0.3999,-0.5791,-1.0648,-0.7178,-0.6908,-1.6511,0.3647,0.1825,-0.3466,-0.5562,-0.3458
1e5a,-0.4223,1.2762,1.1865,-1.5161,-1.4161,0.997,0.7053,0.2418,-0.4647,-1.9245,-1.276,-2.0683,2.1055,0.5084,-1.1547,-1.0675,-0.9796
1e66,0.8869,1.2670,3.4365,0.0352,-0.2118,1.3596,1.2059,-0.5103,0.177,0.1939,-1.276,-1.353,0.5983,-0.6649,-0.7236,0.8946,-0.9421
1ela,0.5434,1.0996,-0.0935,0.1162,0.3251,0.5407,1.2059,0.0784,-0.3325,0.0866,-0.1965,0.8574,-0.2156,0.1282,-0.241,0.5598,0.0102
1elb,0.3359,1.5840,0.6965,0.0673,0.4087,0.7071,1.185,1.1935,-0.3325,0.5157,-0.7219,0.8401,-0.2156,0.1282,0.5032,0.4448,0.0353
1f4e,-1.8801,0.9219,-3.4935,-0.8778,-0.6455,-0.1681,0.1697,-0.0893,-0.3325,-1.4687,-0.8707,0.2993,0.7038,0.975,-0.9518,-0.3752,-0.6854
1f4f,-0.1690,1.6190,-1.8335,0.2608,-0.0808,-1.379,0.9549,-0.1408,-0.3325,-0.1815,-0.9643,0.4433,-0.4944,0.9943,0.2971,0.2469,0.8561
1f4g,0.4001,1.5917,0.0265,0.9626,0.2873,-1.5311,0.9549,-0.0712,-0.3325,0.9179,-0.2105,0.6771,-0.8938,0.9943,0.2611,1.4193,1.1821
1f5k,-2.1188,0.0734,-2.7135,-1.364,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.0933,-1.276,-2.0498,0.7716,-1.7141,-0.7557,-1.2831,-1.2932
1fcx,1.4202,1.4292,0.7365,0.8816,0.4517,1.291,2.0289,-0.4443,1.3075,-0.2888,-0.7195,-0.3302,-0.2382,0.9359,-0.7429,-0.2258,-0.3718
1fcz,1.8096,1.0711,2.7665,0.666,0.149,1.1866,1.3158,-0.2541,1.1189,-0.4497,-0.6911,0.5617,-0.2608,0.9359,-0.7215,0.0424,-0.6854
1fd0,1.2700,1.2386,1.9465,0.9646,0.4873,1.3356,1.8068,-0.4506,1.3075,-0.2352,-0.6376,-0.3276,-0.6074,0.9359,-0.6343,0.3106,-0.3656
1fh7,-0.5365,0.8505,-1.2135,-0.6007,-0.7846,-1.6435,-1.214,-0.1141,-1.2618,0.2475,0.3119,-1.6578,1.5177,-0.7738,0.5454,-1.2831,1.1819
1fh8,0.0050,0.7010,0.4365,-0.8072,-0.8068,-1.3264,-1.214,-0.1349,-1.2618,-0.2888,0.6572,-1.6803,1.5478,-0.7738,-0.1363,-0.8437,0.8683
1fh9,-1.1829,0.8972,-0.0235,-0.3638,-0.7775,-1.3927,-1.214,-0.1508,-1.2618,0.7302,1.0052,-1.642,0.9977,-0.54,1.2199,-0.9699,1.5022
1fkb,1.1224,1.7454,3.2465,0.94,3.5241,1.7675,3.427,-0.0669,0.2216,0.4889,-0.0215,1.6996,-0.7807,0.0128,-0.3534,5.0169,1.4023
1fki,0.3829,1.5137,0.5465,-0.3495,0.4205,1.0845,0.7762,0.2869,-1.2618,-0.6642,-0.7504,0.8311,0.312,0.0621,-1.0413,1.584,-0.4109
1fkn,0.8565,1.6206,2.3465,2.3645,2.6978,-2.1261,1.5131,1.6678,-0.1436,2.0173,2.2767,1.3675,-2.8833,0.9943,1.6269,2.3287,3.5013
1flr,1.7844,0.5913,3.5465,0.0456,-0.0416,0.6748,0.0846,-0.4441,1.1203,0.0866,-0.4885,-0.0671,-0.9541,0.9357,-0.5581,0.3637,-0.1007
1fo0,2.1146,1.7446,-0.8635,4.4805,3.3633,-2.1118,0.107,0.5969,0.9746,5.1547,3.7584,1.4624,-3.8705,0.9932,3.3779,2.2589,3.5706
1ftm,0.4063,0.2346,1.1565,-0.7727,-1.0519,-1.0058,-0.9148,0.4506,-0.5843,0.0866,0.9219,-0.3065,0.5832,0.9258,0.1165,-0.6455,-0.0571
1fzk,1.1601,0.6862,1.9465,2.7587,3.3387,-1.3626,2.0474,-0.5839,0.7858,2.3391,0.8222,1.5354,-3.5916,0.9695,1.0548,2.1383,2.8873
1g7q,0.4698,1.7172,-0.3935,1.9569,2.132,-3.603,1.3538,0.4112,-1.2618,3.1972,2.1237,1.3675,-2.4763,0.9932,2.3799,1.7224,3.1316
1gni,0.2717,0.6879,1.6165,-0.4417,-0.2995,1.3341,0.456,2.9722,-0.8835,-1.3614,-1.1641,-0.5412,1.1635,0.9943,-1.0315,1.0531,-0.6854
1gpk,-0.2290,1.1732,-1.0835,-0.2393,-0.4012,0.2579,0.1701,-0.1158,0.5181,-0.8251,-0.7422,-0.0178,0.5456,-1.2405,-0.8402,0.8691,-0.637
1gz9,-1.3200,1.3952,-2.9435,0.0016,0.0633,-2.1533,-0.9148,-0.2456,-1.2618,0.2743,0.5875,-1.2949,1.3067,-0.712,0.0521,-1.0848,3.2968
1h23,1.7882,1.7111,1.8965,1.4138,1.2569,0.9558,1.5405,-0.7908,0.8446,1.3201,-0.4226,0.0878,0.116,-1.2267,0.7109,3.1138,-0.0311
1ha2,-0.4837,0.7241,-0.9135,-0.4143,-0.1425,0.9754,-0.144,-0.2792,1.1115,-1.3078,-1.0205,0.3198,-0.4115,0.5195,-1.0441,-0.2953,-0.7085
1hfs,3.0215,1.7091,2.2465,2.9854,2.3295,1.9564,3.2623,-0.7268,2.6524,2.7145,0.2489,1.4508,-2.2427,0.991,0.4441,2.1095,0.2673
1hi4,-1.6074,0.4545,-1.9635,-0.3868,-0.0838,-0.1346,-1.214,-0.4461,-0.8678,0.462,-0.1578,-0.4335,-0.0573,1.2352,1.0579,-1.2831,-0.3377
1hk4,0.1169,1.7310,-1.1435,-0.5408,-0.56,0.6353,4.0312,-0.2287,0.1139,-0.8251,-1.0453,-0.3627,2.0528,0.9258,-0.0739,-0.8437,0.2697
1if7,1.9405,0.4454,4.0665,-0.5533,0.1935,0.5888,0.8621,-0.5231,0.8048,-1.0933,-0.8331,0.3742,-0.2306,-1.1682,-0.4053,0.5715,-0.6869
1j16,-2.1197,0.0855,-2.6135,-1.3886,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-0.9056,-1.276,-2.0498,0.7716,-1.7141,-0.812,-1.2831,-1.2932
1j17,-0.3654,0.2766,-1.2335,0.3562,0.7813,0.984,1.3966,-0.9165,0.792,0.6497,-1.276,0.8833,-0.2608,-0.9536,-0.3931,2.8506,-0.6916
1jaq,-0.4547,1.6987,-1.9735,-0.4569,-0.6385,-0.6727,-0.379,3.0645,-1.2618,-0.2888,0.2553,0.3908,0.1311,-0.9891,-0.0011,-0.4901,-0.2902
1jq9,-0.1376,1.5243,1.9965,1.2966,1.6616,-1.0833,1.1705,0.3381,0.7858,1.3738,0.7822,1.1709,-1.6549,0.9695,3.7658,0.5869,1.947
1jqd,-1.2438,0.2404,-1.2935,0.2693,-0.1741,-1.2116,-0.9649,-0.5656,-0.8678,0.0598,0.1651,-0.3489,0.2592,0.9259,0.3044,-0.3044,0.9344
1jqe,0.2957,1.4515,-0.0135,0.1364,0.4326,1.2668,1.8239,-0.2759,0.0284,0.4352,-1.276,-1.3764,0.2215,0.4121,-0.3946,0.6275,-0.3761
1jys,-2.9934,0.4309,-2.9335,-1.4828,-1.2174,-0.1567,-1.214,-0.2214,-0.8678,-1.3078,-1.0738,-2.14,0.5154,-0.841,-0.7858,-1.2831,-0.6366
1k4g,-0.2544,0.6689,-0.6035,-0.5019,-0.4364,0.2031,-0.4432,-0.493,-0.0007,-1.0128,-0.1116,0.0707,-0.1101,-0.6561,-0.5741,-0.0066,-0.2855
1k9s,-1.3261,0.3578,0.0665,-0.1669,-0.5348,-0.9012,-1.214,-0.4605,-0.8868,0.1134,0.3632,-1.5672,0.3949,-0.712,-0.0979,-1.2831,0.2895
1kv1,-0.2848,0.5574,-0.5135,-0.384,-0.4689,1.1003,-0.1584,-0.16,0.0175,-1.1469,-0.5399,0.2179,0.2441,-1.4663,-1.0405,0.9148,-0.9673
1l2s,-0.7114,1.0897,-1.8635,-0.6633,-0.7205,0.3457,0.3394,-0.2581,0.1594,-0.7983,0.3934,0.045,0.5757,0.9258,-0.3444,-0.7668,-0.6854
1l83,-2.4957,0.3011,-3.0535,-1.7068,-1.5179,0.3829,-1.214,0.268,-0.1286,-2.005,-1.276,-2.2354,1.1711,-4.3218,-1.3051,-1.2831,-1.2932
1li3,-0.7171,0.2514,-2.2035,-1.4619,-1.4183,0.4935,-0.4223,0.2418,-0.3494,-1.8173,-0.9873,-2.1736,1.2389,0.5338,-1.1941,-1.0409,-0.9796
1li6,-3.6606,0.5789,-2.6535,-1.6971,-1.4327,0.2709,-0.4079,0.179,-0.5132,-1.8709,-1.1169,-2.2022,1.2163,-0.9973,-1.1066,-0.4897,-0.9877
1lol,-0.9994,0.6365,-0.0635,-0.3369,-0.216,-0.7474,-1.214,-0.4515,-0.4135,0.033,0.7586,-0.1188,0.0181,1.2311,0.2478,-1.2831,-0.3752
1loq,-0.9273,0.3342,-2.7535,-0.3557,-0.4945,-0.7093,-1.214,-0.0977,-0.2287,0.1671,1.1847,-0.0502,0.4175,1.2311,0.6474,-0.6942,-0.3752
1m0n,0.3608,1.4109,-4.2335,0.595,-0.1164,0.8876,0.1986,0.1017,-0.5431,1.2397,1.4077,-0.0146,0.2366,1.2338,2.4885,0.5762,-0.9796
1m0q,-1.1067,1.4817,-2.5635,0.2727,-0.3959,0.6028,-0.6155,0.7803,-0.5431,1.1056,1.7488,-0.4271,0.2366,1.2338,2.0859,0.2458,-0.9796
1m2q,-0.2145,0.4581,-0.3535,-0.2589,-0.5198,0.5613,-0.4223,-0.2658,0.3182,-0.3156,-0.8468,0.1639,-0.5697,0.5243,-0.3997,-0.9918,-0.3948
1mq6,1.0477,0.9109,4.6965,0.646,0.4704,1.5376,-0.1884,-0.815,0.8252,0.9983,-0.8771,0.6231,-0.5396,0.3877,-0.4789,0.6638,0.241
1n2v,-1.6578,0.4127,-2.3735,-0.8139,-0.7025,-0.0498,-0.9357,-0.2012,-0.4325,-0.5838,-0.036,-0.2157,0.3647,-1.3258,-0.3251,-0.3811,-0.9877
1nc1,1.6609,0.3659,-0.3335,-0.0227,-0.5308,-0.1381,-0.68,-0.4871,-0.683,0.4084,0.0954,-1.5243,0.7415,-0.7783,0.257,-0.3801,0.2563
1ndw,0.5702,0.9322,-1.2235,-0.3912,-0.5457,0.217,-0.4144,-0.1013,0.4243,0.1671,-0.231,-0.2115,0.1462,-0.7049,0.1788,-0.7212,-0.3481
1ndy,0.6660,0.5610,-0.2835,-0.0346,-0.1097,0.5723,0.0561,-0.4012,0.8021,0.033,-0.2238,-0.1424,-0.2457,-0.7049,-0.0957,-0.7212,-0.3481
1ndz,1.4392,1.4859,1.6565,1.5653,1.1632,0.7932,0.6191,-0.9225,1.1921,2.205,-0.261,0.6244,-1.5871,-0.7049,1.5982,1.577,0.5385
1nfy,1.5451,0.5207,2.4365,0.3055,0.3935,0.1875,0.5837,-0.7882,0.7539,0.5157,-1.006,0.6076,-0.095,-1.3403,-0.6052,0.2573,-0.9924
1nhu,-0.9650,1.2916,-0.7935,-0.5349,0.2219,1.4086,0.8698,-0.3043,2.0141,-1.2273,-0.74,0.7489,-0.5245,0.9693,-0.9114,-0.5956,-0.3846
1nja,-0.7945,0.5086,-0.1435,-0.4462,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.4765,1.0481,-0.0533,0.4476,1.2311,-0.045,-0.5461,-0.3377
1nje,-0.8567,0.3437,-2.6535,-0.4597,-0.5711,-0.3032,-0.9501,-0.1787,-0.5523,-0.1011,1.5687,-0.0533,0.4476,1.2311,0.3659,-0.5461,-0.3377
