%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: False in 31 iterations, b'ABNORMAL_TERMINATION_IN_LNSRCH'
%.kernel.kernels[0].variance: 1.660455887014283
%.kernel.kernels[0].lengthscales: [3.17801323e+00 1.28041633e-07]
%.kernel.kernels[1].variance: 0.6947877751626392
%.likelihood.variance: 1.2007128939040717
%loglikelihood: -7158.109631654662
%RMSE:1.784
%Pearson_correlation_coefficient:0.632,P-value:0.000
%Spearman_correlation_coefficient:0.644,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT
10gs,0.0985,1.6607,-0.0535,0.1101,0.348
1a30,-0.0738,1.6608,-2.1535,-0.0856,-0.3613
1a69,-0.0461,0.6969,-1.1535,-0.3204,-0.6182
1abf,-2.7046,0.4411,-1.0335,-1.0165,-1.2766
1ai5,-0.8977,1.6617,-2.7335,-0.9418,-1.151
1ajp,-2.5606,0.3019,-4.2235,-1.0726,-1.2087
1ajq,-1.3059,1.6623,-2.1435,-1.3603,-1.3558
1apw,0.5332,1.6608,1.5465,0.5546,0.5276
1avn,0.6372,0.4608,-2.5535,-1.9036,-1.2816
1ax0,-2.3502,0.2098,-3.3235,-1.04,-1.0548
1axz,-0.7947,0.7063,-3.2535,-1.2969,-1.2721
1b11,0.9418,0.6969,0.9365,0.2033,0.4965
1b39,-1.0035,0.0806,0.4665,0.7508,0.1283
1b7h,0.7845,1.6622,1.5665,0.7967,0.1463
1b8o,2.3145,0.2532,4.1865,-0.2095,-0.4904
1b9j,0.7945,1.6623,-0.4935,0.8063,0.1285
1bcu,-0.0450,0.6917,-3.1735,-0.9025,-0.7021
1bma,0.3315,1.6613,-1.8635,0.358,0.7578
1bra,-2.1994,0.1135,-4.6335,-1.377,-1.2488
1bxo,1.6762,1.6634,3.5465,1.7364,1.4263
1c84,-0.6144,1.6610,-1.4535,-0.6427,-0.7245
1d7j,-1.8617,1.6641,-3.1535,-1.9265,-1.5142
1det,-1.6703,0.5140,-2.1535,-0.9319,-0.2728
1df8,1.4170,0.1197,3.2465,-0.3955,-0.8944
1dhi,-0.2163,0.2265,0.8065,0.2853,0.2714
1e1v,-0.3806,1.6608,-1.5335,-0.4022,-0.5833
1e5a,-0.1457,0.7272,1.1865,-1.5161,-1.4161
1e66,0.0412,1.6607,3.4365,0.0352,-0.2118
1ela,0.1052,1.6607,-0.0935,0.1162,0.3251
1elb,0.0543,1.6609,0.6965,0.0673,0.4087
1f4e,-0.8496,1.6612,-3.4935,-0.8778,-0.6455
1f4f,0.2607,1.6609,-1.8335,0.2608,-0.0808
1f4g,0.9445,1.6625,0.0265,0.9626,0.2873
1f5k,-2.1979,0.1180,-2.7135,-1.364,-1.2488
1fcx,0.8593,1.6616,0.7365,0.8816,0.4517
1fcz,0.6549,1.6616,2.7665,0.666,0.149
1fd0,0.9404,1.6618,1.9465,0.9646,0.4873
1fh7,-1.1619,0.6970,-1.2135,-0.6007,-0.7846
1fh8,0.1921,0.6863,0.4365,-0.8072,-0.8068
1fh9,-0.3367,1.6614,-0.0235,-0.3638,-0.7775
1fkb,0.8239,1.6892,3.2465,0.94,3.5241
1fki,-0.3588,1.6626,0.5465,-0.3495,0.4205
1fkn,2.2596,1.6674,2.3465,2.3645,2.6978
1flr,1.9065,0.4467,3.5465,0.0456,-0.0416
1fo0,4.3348,1.6806,-0.8635,4.4805,3.3633
1ftm,0.6146,0.4366,1.1565,-0.7727,-1.0519
1fzk,1.6025,0.4418,1.9465,2.7587,3.3387
1g7q,1.8731,1.6648,-0.3935,1.9569,2.132
1gni,0.2342,0.3270,1.6165,-0.4417,-0.2995
1gpk,-0.2248,1.6607,-1.0835,-0.2393,-0.4012
1gz9,-1.1539,0.7016,-2.9435,0.0016,0.0633
1h23,1.3618,1.6624,1.8965,1.4138,1.2569
1ha2,-0.4059,1.6608,-0.9135,-0.4143,-0.1425
1hfs,2.8856,1.6692,2.2465,2.9854,2.3295
1hi4,-1.3309,0.5009,-1.9635,-0.3868,-0.0838
1hk4,-0.5185,1.6608,-1.1435,-0.5408,-0.56
1if7,1.7134,0.6998,4.0665,-0.5533,0.1935
1j16,-2.2097,0.1004,-2.6135,-1.3886,-1.2488
1j17,-0.6476,0.3084,-1.2335,0.3562,0.7813
1jaq,-0.4331,1.6609,-1.9735,-0.4569,-0.6385
1jq9,1.2335,1.6632,1.9965,1.2966,1.6616
1jqd,-1.0184,0.0855,-1.2935,0.2693,-0.1741
1jqe,0.1220,1.6608,-0.0135,0.1364,0.4326
1jys,-2.1821,0.4411,-2.9335,-1.4828,-1.2174
1k4g,-0.4837,1.6607,-0.6035,-0.5019,-0.4364
1k9s,-0.1491,1.6611,0.0665,-0.1669,-0.5348
1kv1,-0.2109,0.6969,-0.5135,-0.384,-0.4689
1l2s,-0.6350,1.6610,-1.8635,-0.6633,-0.7205
1l83,-2.6085,0.4412,-3.0535,-1.7068,-1.5179
1li3,0.1956,0.4883,-2.2035,-1.4619,-1.4183
1li6,-1.6371,1.6632,-2.6535,-1.6971,-1.4327
1lol,-0.0606,0.7074,-0.0635,-0.3369,-0.216
1loq,-2.0837,0.1556,-2.7535,-0.3557,-0.4945
1m0n,0.5927,1.6623,-4.2335,0.595,-0.1164
1m0q,0.2820,1.6620,-2.5635,0.2727,-0.3959
1m2q,-0.2406,1.6609,-0.3535,-0.2589,-0.5198
1mq6,0.6255,1.6609,4.6965,0.646,0.4704
1n2v,-1.7588,0.6992,-2.3735,-0.8139,-0.7025
1nc1,-0.6167,0.7086,-0.3335,-0.0227,-0.5308
1ndw,-0.3708,1.6608,-1.2235,-0.3912,-0.5457
1ndy,-0.0309,1.6605,-0.2835,-0.0346,-0.1097
1ndz,1.5147,1.6629,1.6565,1.5653,1.1632
1nfy,0.2906,1.6606,2.4365,0.3055,0.3935
1nhu,-0.5364,1.6625,-0.7935,-0.5349,0.2219
1nja,-0.6862,0.6969,-0.1435,-0.4462,-0.5711
1nje,-0.6996,0.6969,-2.6535,-0.4597,-0.5711
1nny,1.5895,1.6653,1.2065,1.6728,2.208
1nvq,0.9112,1.6621,1.7965,0.9592,1.2758
1nwl,-0.3653,1.6612,-4.0635,-0.3664,0.0813
1o0h,-1.4858,0.0545,-0.5335,-0.0312,-0.1291
1o3f,-0.2106,0.6989,1.5065,-0.2617,0.1494
1o3p,0.0060,1.6605,0.2065,0.0082,0.0703
1om1,-0.0468,1.6605,0.3165,-0.0498,-0.0829
1p1q,0.6074,0.4366,-1.5635,-0.78,-1.0519
1pb9,-1.5358,1.6629,-2.8335,-1.5958,-1.4668
1pbq,-0.6749,1.6614,-0.1835,-0.7117,-0.982
1ppm,1.1602,1.6619,-0.6535,1.2085,1.2043
1pr5,-0.3202,0.7121,-2.5335,-0.5881,-0.6269
1pxo,-0.0951,1.6608,2.2465,-0.1077,-0.3792
1pz5,1.9254,1.6716,-1.0535,2.0405,3.1383
1q7a,-0.4381,1.6608,0.7365,-0.4483,-0.1916
1q8t,-0.3419,1.6608,-1.6935,-0.363,-0.5788
1rdi,-1.2838,0.2083,-4.3935,-1.6242,-1.1983
1rdj,-3.2990,0.4797,-4.7935,-1.644,-1.2766
1rdl,-1.1030,0.7369,-4.2135,-1.6012,-1.2721
1re8,1.4064,1.6636,3.0665,1.4416,0.6968
1rnt,-1.2973,0.4601,-1.2635,-0.5375,-0.2728
1s39,-1.1305,1.6618,1.2465,-1.1721,-0.9942
1sl3,1.2441,1.6631,5.3965,1.2735,0.5592
1slg,1.0685,1.6690,-2.5535,1.1519,2.3798
1sqa,0.0010,1.6615,2.7565,0.0172,0.5274
1sv3,-1.2521,1.6621,-2.1035,-1.303,-1.2607
1syh,-0.3770,1.6610,-0.0435,-0.4014,-0.6758
1tmn,0.1147,1.6624,0.8465,0.1415,0.8381
1toi,-1.0743,1.6618,-2.4035,-1.1212,-1.1866
1toj,-1.0225,1.6618,-3.0635,-1.069,-1.1866
1tok,-1.3955,1.6628,-3.9835,-1.457,-1.5596
1trd,-0.3679,0.1386,-1.0535,-1.4304,-1.3868
1tsy,-0.9944,0.1807,-1.4935,-0.5265,-0.5168
1ttm,-0.7309,1.6615,0.8965,-0.7465,-0.275
1tyr,-1.2169,0.8457,0.5465,-1.2971,-0.21
1u1b,0.7802,1.6664,1.3465,0.8462,1.9049
1u2y,-2.1578,0.3249,-4.7135,-1.2398,-1.197
1u33,0.9410,1.6626,-1.8535,0.958,0.2531
1utp,-1.9759,0.6972,-5.0135,-1.3623,-1.0187
1uwt,-1.7507,0.3102,-0.4835,-0.7969,-1.197
1v2o,-1.9590,0.3232,-1.7235,-0.5976,0.3213
1v48,-0.0758,1.6608,1.3465,-0.0874,-0.3549
1vfn,-0.6658,0.7267,-0.8535,-1.3172,-1.1655
1vzq,0.9209,1.6615,0.9865,0.9485,0.6058
1x1z,0.2670,1.6624,4.6065,0.255,-0.4763
1xgj,-0.6009,1.6608,-0.4535,-0.6246,-0.5808
1y1m,-1.3408,1.6624,-4.6335,-1.3943,-1.3146
1y6q,2.8511,0.2524,5.2465,-0.0804,-0.3795
1ydt,0.5437,1.6609,0.8665,0.5575,0.2757
1zc9,-0.6578,1.6611,-3.2335,-0.6892,-0.814
1zoe,-0.5962,1.6615,0.9465,-0.6317,-0.9669
1zs0,0.3596,1.6608,-0.3035,0.3656,0.0788
1zvx,0.3677,1.6608,2.7665,0.3738,0.0788
2aou,0.0502,1.6605,1.2765,0.0526,0.0606
2ayr,1.1474,1.6619,2.8365,1.1954,1.1983
2b1v,-0.3701,1.6607,-0.7135,-0.3892,-0.5026
2b7d,0.5632,1.6614,2.2465,0.5968,0.9154
2baj,0.3577,1.6610,1.9465,0.3602,-0.0325
2bak,1.2995,1.6627,0.9765,1.3596,1.5439
2bok,0.3586,1.6606,0.0965,0.3754,0.4303
2brb,-0.1774,1.6606,-1.5935,-0.1793,-0.0044
2brm,-0.1474,1.6606,-0.5635,-0.1474,0.0454
2bz6,0.5487,1.6611,0.6365,0.5595,0.1753
2bzz,-0.0549,1.1498,-0.0235,1.7001,1.8861
2c02,-1.7639,0.0881,-2.4135,-0.3694,-0.1291
2ceq,-0.5866,0.1869,0.8265,-0.6656,-1.0165
2cer,0.1433,1.6612,2.7665,0.1345,-0.3332
2cet,0.0452,1.6610,1.5665,0.0354,-0.3332
2cgr,-0.0760,1.6606,0.8265,-0.0725,0.1376
2ctc,-0.9209,1.6618,-2.5635,-0.9657,-1.165
2d0k,-0.0271,1.6607,-1.4335,-0.0202,0.2332
2d1o,1.2450,0.7044,1.2465,0.6458,0.7374
2d3u,-0.1664,1.6606,0.4665,-0.1676,0.0129
2d3z,-0.2086,1.6605,0.1865,-0.214,-0.1089
2drc,-0.5181,0.2699,3.4365,-0.0375,0.2714
2er9,2.2760,1.6715,0.9465,2.3991,3.2866
2f01,1.4038,0.1197,6.5465,-0.4089,-0.8944
2f80,2.9572,0.0563,1.7265,1.3327,1.0178
2fai,-0.3339,1.6606,-0.2135,-0.3496,-0.4066
2fdp,1.2747,1.6623,1.1365,1.3288,1.3567
2flb,-0.1595,1.6605,-0.7135,-0.1624,-0.042
2fzc,-0.7290,1.6611,-3.7535,-0.7618,-0.8361
2g5u,-0.6048,1.6617,2.0365,-0.6419,-1.0185
2g8r,-0.6875,1.6618,-2.4635,-0.6984,-0.1343
2g94,1.7551,1.6636,3.0665,1.8212,1.5943
2gss,-0.9876,1.6615,-1.5135,-1.0226,-0.8261
2hdq,-1.5428,1.6629,-5.0535,-1.602,-1.436
2i0d,1.6300,1.6633,5.6465,1.695,1.5969
2j77,-1.1622,0.1066,-1.5635,-1.0918,-1.2037
2j78,-1.7181,0.3102,-0.0335,-0.7641,-1.197
2qwb,0.3637,0.3642,-3.7135,-0.4501,-0.7588
2qwd,-0.4309,1.6611,-1.6035,-0.4574,-0.7254
2qwe,-0.4748,0.4436,1.0265,-0.0538,-0.5432
2rkm,-0.1348,1.6610,-2.5535,-0.1517,-0.5096
2std,2.3627,0.6969,3.3965,-0.2077,-0.5807
2usn,-0.3535,1.6609,0.0565,-0.3581,-0.0366
3gss,0.5339,1.6608,-0.6335,0.5531,0.4548
3pce,-1.0605,1.6619,-4.4535,-1.1085,-1.2254
