%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 76 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.511584253769103
%.kernel.kernels[0].lengthscales: [1.78804003e+00 2.40481870e-01 1.95671292e-05]
%.kernel.kernels[1].variance: 0.47761458505927107
%.likelihood.variance: 1.176843187747037
%loglikelihood: -7059.3539879851005
%RMSE:1.698
%Pearson_correlation_coefficient:0.679,P-value:0.000
%Spearman_correlation_coefficient:0.680,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP
10gs,-0.2485,1.5124,-0.0535,0.1101,0.348,-0.7059
1a30,-0.8654,1.5151,-2.1535,-0.0856,-0.3613,-1.9753
1a69,-0.5775,1.5125,-1.1535,-0.3204,-0.6182,-0.8145
1abf,-2.7353,0.4262,-1.0335,-1.0165,-1.2766,-0.8126
1ai5,-2.5364,0.6749,-2.7335,-0.9418,-1.151,-0.1715
1ajp,-2.5476,0.3166,-4.2235,-1.0726,-1.2087,-0.3246
1ajq,-1.2787,1.5134,-2.1435,-1.3603,-1.3558,-0.1242
1apw,0.6549,1.5119,1.5465,0.5546,0.5276,0.3523
1avn,0.4412,0.4942,-2.5535,-1.9036,-1.2816,-0.385
1ax0,-2.4119,0.2120,-3.3235,-1.04,-1.0548,-1.0849
1axz,-1.0322,0.7248,-3.2535,-1.2969,-1.2721,-1.1292
1b11,0.9866,0.6627,0.9365,0.2033,0.4965,0.5294
1b39,-1.1173,0.0923,0.4665,0.7508,0.1283,-0.0986
1b7h,0.3045,1.5144,1.5665,0.7967,0.1463,-1.2671
1b8o,2.2287,0.2485,4.1865,-0.2095,-0.4904,-1.0758
1b9j,0.3062,0.6671,-0.4935,0.8063,0.1285,-1.3115
1bcu,0.0515,0.6644,-3.1735,-0.9025,-0.7021,0.6497
1bma,0.7750,1.5135,-1.8635,0.358,0.7578,1.2558
1bra,-2.2483,0.0924,-4.6335,-1.377,-1.2488,-0.3983
1bxo,1.9065,1.5146,3.5465,1.7364,1.4263,0.6615
1c84,-0.7667,1.5122,-1.4535,-0.6427,-0.7245,-0.4782
1d7j,-1.8794,1.5150,-3.1535,-1.9265,-1.5142,-0.1497
1det,-1.7764,0.6113,-2.1535,-0.9319,-0.2728,-0.6584
1df8,1.3780,0.1302,3.2465,-0.3955,-0.8944,-0.3025
1dhi,-0.2796,0.2463,0.8065,0.2853,0.2714,-0.8765
1e1v,-0.1361,1.5122,-1.5335,-0.4022,-0.5833,0.4469
1e5a,-0.9596,1.5149,1.1865,-1.5161,-1.4161,0.997
1e66,0.6599,1.5137,3.4365,0.0352,-0.2118,1.3596
1ela,0.2943,1.5120,-0.0935,0.1162,0.3251,0.5407
1elb,0.2953,1.5123,0.6965,0.0673,0.4087,0.7071
1f4e,-0.9076,1.5123,-3.4935,-0.8778,-0.6455,-0.1681
1f4f,-0.2863,1.5135,-1.8335,0.2608,-0.0808,-1.379
1f4g,0.3462,1.5154,0.0265,0.9626,0.2873,-1.5311
1f5k,-2.2327,0.0927,-2.7135,-1.364,-1.2488,-0.3983
1fcx,1.4286,1.5143,0.7365,0.8816,0.4517,1.291
1fcz,1.2070,1.5142,2.7665,0.666,0.149,1.1866
1fd0,1.5317,1.5146,1.9465,0.9646,0.4873,1.3356
1fh7,-1.3526,0.4440,-1.2135,-0.6007,-0.7846,-1.6435
1fh8,-0.0890,0.6741,0.4365,-0.8072,-0.8068,-1.3264
1fh9,-0.8405,1.5138,-0.0235,-0.3638,-0.7775,-1.3927
1fkb,1.0937,1.5393,3.2465,0.94,3.5241,1.7675
1fki,-0.0031,1.5143,0.5465,-0.3495,0.4205,1.0845
1fkn,1.1572,1.5241,2.3465,2.3645,2.6978,-2.1261
1flr,1.9553,0.4395,3.5465,0.0456,-0.0416,0.6748
1fo0,3.3530,1.5356,-0.8635,4.4805,3.3633,-2.1118
1ftm,0.4991,0.4247,1.1565,-0.7727,-1.0519,-1.0058
1fzk,1.3818,0.4389,1.9465,2.7587,3.3387,-1.3626
1g7q,0.1912,1.5299,-0.3935,1.9569,2.132,-3.603
1gni,0.3378,0.3194,1.6165,-0.4417,-0.2995,1.3341
1gpk,-0.1805,1.4888,-1.0835,-0.2393,-0.4012,0.2579
1gz9,-1.5093,0.6756,-2.9435,0.0016,0.0633,-2.1533
1h23,1.7114,1.5140,1.8965,1.4138,1.2569,0.9558
1ha2,-0.0104,1.5127,-0.9135,-0.4143,-0.1425,0.9754
1hfs,3.6511,1.5228,2.2465,2.9854,2.3295,1.9564
1hi4,-1.8427,0.2268,-1.9635,-0.3868,-0.0838,-0.1346
1hk4,-0.2123,1.5123,-1.1435,-0.5408,-0.56,0.6353
1if7,1.7211,0.6684,4.0665,-0.5533,0.1935,0.5888
1j16,-2.2621,0.0922,-2.6135,-1.3886,-1.2488,-0.3983
1j17,-0.5560,0.3130,-1.2335,0.3562,0.7813,0.984
1jaq,-0.6627,1.5123,-1.9735,-0.4569,-0.6385,-0.6727
1jq9,0.6340,1.5159,1.9965,1.2966,1.6616,-1.0833
1jqd,-1.0522,0.0897,-1.2935,0.2693,-0.1741,-1.2116
1jqe,0.6050,1.5132,-0.0135,0.1364,0.4326,1.2668
1jys,-2.1761,0.4251,-2.9335,-1.4828,-1.2174,-0.1567
1k4g,-0.3781,1.5119,-0.6035,-0.5019,-0.4364,0.2031
1k9s,-0.4625,1.5127,0.0665,-0.1669,-0.5348,-0.9012
1kv1,-0.0003,0.6650,-0.5135,-0.384,-0.4689,1.1003
1l2s,-0.4387,1.5122,-1.8635,-0.6633,-0.7205,0.3457
1l83,-2.5269,0.4245,-3.0535,-1.7068,-1.5179,0.3829
1li3,-1.1145,1.5140,-2.2035,-1.4619,-1.4183,0.4935
1li6,-1.4645,1.5143,-2.6535,-1.6971,-1.4327,0.2709
1lol,-0.2344,0.6914,-0.0635,-0.3369,-0.216,-0.7474
1loq,-2.1215,0.1614,-2.7535,-0.3557,-0.4945,-0.7093
1m0n,1.0537,1.5144,-4.2335,0.595,-0.1164,0.8876
1m0q,0.6331,1.5134,-2.5635,0.2727,-0.3959,0.6028
1m2q,0.0574,1.5124,-0.3535,-0.2589,-0.5198,0.5613
1mq6,1.2719,1.5141,4.6965,0.646,0.4704,1.5376
1n2v,-1.6060,0.6561,-2.3735,-0.8139,-0.7025,-0.0498
1nc1,-0.5618,0.6878,-0.3335,-0.0227,-0.5308,-0.1381
1ndw,-0.2295,1.5120,-1.2235,-0.3912,-0.5457,0.217
1ndy,0.2277,1.5119,-0.2835,-0.0346,-0.1097,0.5723
1ndz,1.8266,1.5144,1.6565,1.5653,1.1632,0.7932
1nfy,0.9028,0.6753,2.4365,0.3055,0.3935,0.1875
1nhu,-0.0292,1.5149,-0.7935,-0.5349,0.2219,1.4086
1nja,-0.7123,0.6620,-0.1435,-0.4462,-0.5711,-0.3032
1nje,-0.7271,0.6618,-2.6535,-0.4597,-0.5711,-0.3032
1nny,1.5465,1.5162,1.2065,1.6728,2.208,0.34
1nvq,1.1138,1.5133,1.7965,0.9592,1.2758,0.7317
1nwl,-0.5072,1.5124,-4.0635,-0.3664,0.0813,-0.2099
