%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 33 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.4354262967144813
%.kernel.kernels[0].lengthscales: [0.35769563 0.14212666 0.29459135 0.68249169 0.07183749 0.31920441]
%.kernel.kernels[1].variance: 0.22461774677860483
%.likelihood.variance: 1.1740472301302096
%loglikelihood: -6930.2314834093095
%RMSE:1.682
%Pearson_correlation_coefficient:0.677,P-value:0.000
%Spearman_correlation_coefficient:0.674,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7
10gs,-0.3702,1.4406,-0.0535,0.1101,0.348,-0.7059,-0.7281,-0.0081,0.9746
1a30,-0.8948,1.4473,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999,3.3695,-1.2618
1a69,-0.7073,0.4015,-1.1535,-0.3204,-0.6182,-0.8145,-1.214,-0.4936,-0.5632
1abf,-1.9933,0.3135,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148,0.4337,-1.2618
1ai5,-2.4075,0.5975,-2.7335,-0.9418,-1.151,-0.1715,-0.971,0.4404,-0.0163
1ajp,-2.4577,0.3331,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223,0.4077,-0.5213
1ajq,-0.6842,0.8267,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162,0.0882,-0.5642
1apw,0.6271,1.3247,1.5465,0.5546,0.5276,0.3523,0.094,4.8403,-1.2618
1avn,-1.4004,1.2087,-2.5535,-1.9036,-1.2816,-0.385,-1.214,0.1799,-0.6939
1ax0,-2.3213,0.3825,-3.3235,-1.04,-1.0548,-1.0849,-1.214,0.5643,-1.2618
1axz,-2.0058,0.2974,-3.2535,-1.2969,-1.2721,-1.1292,-1.214,0.4478,-1.2618
1b11,0.8463,0.6615,0.9365,0.2033,0.4965,0.5294,0.107,-0.009,0.9746
1b39,-1.6405,0.1575,0.4665,0.7508,0.1283,-0.0986,-1.214,-0.607,-0.8678
1b7h,0.1428,1.3810,1.5665,0.7967,0.1463,-1.2671,0.456,3.9892,-1.2618
1b8o,2.7211,0.2554,4.1865,-0.2095,-0.4904,-1.0758,-1.214,-0.3527,-0.3743
1b9j,0.1700,1.1307,-0.4935,0.8063,0.1285,-1.3115,0.7134,4.0519,-1.2618
1bcu,-1.1444,0.4792,-3.1735,-0.9025,-0.7021,0.6497,0.1055,-0.35,0.0602
1bma,0.5192,1.4391,-1.8635,0.358,0.7578,1.2558,0.3499,0.3058,0.7858
1bra,-2.2388,0.0881,-4.6335,-1.377,-1.2488,-0.3983,-0.6862,0.3726,-0.1436
1bxo,1.4059,1.4444,3.5465,1.7364,1.4263,0.6615,0.3225,0.538,-0.1586
1c84,-1.4300,1.0177,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157,-0.0342,0.0453
