%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 43 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6987664050046531
%.kernel.kernels[0].lengthscales: [0.26275007 0.18902306 0.45261416 0.81496066 0.27270384 0.34497881 0.85431058 0.40591977]
%.kernel.kernels[1].variance: 0.11380940522221586
%.likelihood.variance: 0.9049941630862828
%loglikelihood: -6872.570316075564
%RMSE:1.699
%Pearson_correlation_coefficient:0.663,P-value:0.000
%Spearman_correlation_coefficient:0.666,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen
10gs,-0.1738,1.7027,-0.0535,0.1101,0.348,-0.7059,-0.7281,-0.0081,0.9746,0.6229,0.6441
1a30,-0.9056,1.7154,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999,3.3695,-1.2618,0.033,0.2296
1a69,-0.7736,0.7123,-1.1535,-0.3204,-0.6182,-0.8145,-1.214,-0.4936,-0.5632,-0.0206,-0.1606
1abf,-2.9556,0.6679,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-0.8519,0.775
1ai5,-1.9575,0.5583,-2.7335,-0.9418,-1.151,-0.1715,-0.971,0.4404,-0.0163,-1.0664,-0.9102
1ajp,-2.2647,0.4438,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223,0.4077,-0.5213,-1.1469,-0.8539
1ajq,0.0532,0.6909,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162,0.0882,-0.5642,-1.2005,-0.5405
1apw,1.1514,1.2899,1.5465,0.5546,0.5276,0.3523,0.094,4.8403,-1.2618,0.5693,1.113
1avn,-2.4562,1.5682,-2.5535,-1.9036,-1.2816,-0.385,-1.214,0.1799,-0.6939,-2.005,-0.9834
1ax0,-2.4583,0.5159,-3.3235,-1.04,-1.0548,-1.0849,-1.214,0.5643,-1.2618,-0.9056,0.2312
1axz,-2.4922,0.3400,-3.2535,-1.2969,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.0664,0.1896
1b11,0.7565,1.1994,0.9365,0.2033,0.4965,0.5294,0.107,-0.009,0.9746,-0.6106,0.3705
1b39,-2.4509,0.8018,0.4665,0.7508,0.1283,-0.0986,-1.214,-0.607,-0.8678,0.9179,0.842
1b7h,0.5281,0.7333,1.5665,0.7967,0.1463,-1.2671,0.456,3.9892,-1.2618,1.2933,1.8165
1b8o,2.8737,0.3987,4.1865,-0.2095,-0.4904,-1.0758,-1.214,-0.3527,-0.3743,-0.1011,0.4346
1b9j,0.3221,0.6226,-0.4935,0.8063,0.1285,-1.3115,0.7134,4.0519,-1.2618,1.2665,2.0541
1bcu,-1.4184,0.5840,-3.1735,-0.9025,-0.7021,0.6497,0.1055,-0.35,0.0602,-1.1469,-1.0573
1bma,0.6267,1.6989,-1.8635,0.358,0.7578,1.2558,0.3499,0.3058,0.7858,0.6497,-0.4641
1bra,-2.2271,0.0858,-4.6335,-1.377,-1.2488,-0.3983,-0.6862,0.3726,-0.1436,-1.1737,-1.276
1bxo,1.3064,1.7105,3.5465,1.7364,1.4263,0.6615,0.3225,0.538,-0.1586,2.0978,0.7709
1c84,-0.9813,1.3168,-1.4535,-0.6427,-0.7245,-0.4782,-0.2157,-0.0342,0.0453,-0.0475,0.2422
1d7j,-1.9863,0.9242,-3.1535,-1.9265,-1.5142,-0.1497,-0.9148,1.2366,-1.2618,-1.9245,-1.0441
1det,-1.8833,1.1049,-2.1535,-0.9319,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,-0.3424,0.682
1df8,1.2111,0.4452,3.2465,-0.3955,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.4497,0.0879
1dhi,0.1835,0.8376,0.8065,0.2853,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.262,0.0458
1e1v,-0.4294,1.5775,-1.5335,-0.4022,-0.5833,0.4469,-0.3999,-0.5791,-1.0648,-0.7178,-0.6908
1e5a,-0.4063,1.5732,1.1865,-1.5161,-1.4161,0.997,0.7053,0.2418,-0.4647,-1.9245,-1.276
1e66,0.6936,1.4937,3.4365,0.0352,-0.2118,1.3596,1.2059,-0.5103,0.177,0.1939,-1.276
1ela,0.3659,1.6486,-0.0935,0.1162,0.3251,0.5407,1.2059,0.0784,-0.3325,0.0866,-0.1965
