%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 10 iterations, b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL'
%.kernel.kernels[0].variance: 1.0203602958978084
%.kernel.kernels[0].lengthscales: [4.13160447e+02 2.24585695e+04 1.10353569e+04 2.67031700e+03 3.05050898e+02 8.39384968e+02 1.23834292e+03 6.71884050e+03 1.25873608e+04 1.65943947e-03 1.11855117e+03 1.11012230e+03 2.32240972e+04 2.18262978e+04 4.01639348e-02 6.65786102e+01 2.96995688e+02 6.60301091e+01 3.06956825e-05 2.70215813e+04]
%.kernel.kernels[1].variance: 0.061932268025518225
%.likelihood.variance: 1.0521858074236754
%loglikelihood: -187.1749526459022
%RMSE:1.890
%Pearson_correlation_coefficient:0.544,P-value:0.000
%Spearman_correlation_coefficient:0.565,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.2683,1.2576,-0.0319,0.2341,0.3775,-0.903,-0.7151,0.0315,0.9539,0.6816,0.6704,0.8258,-0.7365,0.9845,-0.0503,0.4964,1.2723,0.6287,-0.9181,0.4154,1.5325,-0.6442,1.0882
1a30,-1.7146,1.4428,-2.1319,0.0445,-0.3052,-2.4279,-0.4001,3.8866,-1.2621,0.124,0.264,0.518,-0.2805,1.0117,0.0564,1.0124,2.0011,1.2637,-0.9181,0.9041,-0.4205,-0.6442,-0.6576
1a69,-0.6939,1.1081,-1.1319,-0.1831,-0.5524,-1.0335,-1.1817,-0.5225,-0.5698,0.0733,-0.1186,-0.0081,0.3097,-0.5904,-0.0669,-1.2938,0.4556,0.3112,-0.2495,0.4154,-0.9934,-0.3802,-0.0756
1abf,-2.1335,1.1770,-1.0119,-0.8576,-1.1861,-1.0312,-0.8944,0.5358,-1.2621,-0.7125,0.7988,-1.7897,1.3895,-0.6514,-0.006,-1.0842,0.4653,0.3112,-0.9181,-0.562,-0.9934,-0.6442,-0.6576
1ai5,-1.5208,1.1346,-2.7119,-0.7852,-1.0652,-0.261,-0.9484,0.5435,-0.028,-0.9153,-0.8535,-0.6372,0.2426,1.008,-0.5172,0.091,-0.6588,-0.6414,-0.9181,-0.562,-0.4882,-0.6442,-0.6576
1ajp,-1.7096,1.0988,-4.2019,-0.912,-1.1207,-0.445,-0.4216,0.5061,-0.5284,-0.9914,-0.7984,-0.6107,0.3768,1.0079,-0.6072,-0.2414,0.0933,-0.0064,-0.9181,-0.8063,-0.9934,-0.3802,-0.6576
1ajq,-1.8163,1.1065,-2.1219,-1.1908,-1.2623,-0.2043,-0.7037,0.1415,-0.5709,-1.0421,-0.491,-0.752,0.967,1.0076,-0.4946,-0.2764,-0.6588,-0.6414,-0.9181,-1.295,-0.7408,-0.6442,-0.6576
1apw,-0.0723,1.8967,1.5681,0.6649,0.5504,0.3682,0.0742,5.5653,-1.2621,0.6309,1.1302,1.8298,-0.0189,-0.6876,-0.1657,1.832,0.5519,0.3112,-0.9181,0.4154,1.298,-0.6442,-0.6576
1avn,-1.9520,1.1984,-2.5319,-1.7173,-1.1909,-0.5176,-1.1817,0.2461,-0.6993,-1.8025,-0.9253,-1.9166,0.967,-0.9621,-0.5043,-0.2244,-0.6008,-1.2764,-0.2495,-1.0507,-0.9934,-0.3802,0.5063
1ax0,-1.5503,0.5648,-3.3019,-0.8804,-0.9726,-1.3584,-1.1817,0.6849,-1.2621,-0.7632,0.2655,-0.0766,1.034,-0.5904,-0.296,-0.7349,0.8562,0.6287,-0.9181,-0.0733,-0.9934,-0.3802,-0.0756
