%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: False in 21 iterations, b'ABNORMAL_TERMINATION_IN_LNSRCH'
%.kernel.kernels[0].variance: 1.8523911650416651
%.kernel.kernels[0].lengthscales: [4.13159144e+02 2.24585695e+04 1.10353569e+04 2.67031699e+03 3.05039548e+02 8.39384827e+02 1.23834284e+03 6.71884050e+03 1.25873608e+04 5.02569839e-03 1.11855101e+03 1.11012221e+03 2.32240972e+04 2.18262978e+04 4.01653992e-02 6.62375040e+01 2.96994921e+02 6.55094245e+01 3.05620361e-05 2.70215813e+04]
%.kernel.kernels[1].variance: 0.06642008179383219
%.likelihood.variance: 0.605953502810004
%loglikelihood: -4385.639119321197
%RMSE:1.769
%Pearson_correlation_coefficient:0.626,P-value:0.000
%Spearman_correlation_coefficient:0.648,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.2584,1.8745,-0.0331,0.1075,0.3513,-0.7395,-0.7274,-0.0041,0.9336,0.6214,0.668,0.7007,-0.7809,0.9932,0.012,0.405,0.9908,0.4006,-0.8537,0.2798,1.5219,-0.6256,1.4818
1a30,-0.9021,1.7108,-2.1331,-0.0873,-0.3554,-2.0268,-0.3968,3.3681,-1.2583,0.0268,0.25,0.3904,-0.2636,1.0226,0.204,0.8975,1.6266,0.9505,-0.8537,0.7312,-0.3625,-0.6256,-0.7155
1a69,0.0036,0.4591,-1.1331,-0.321,-0.6114,-0.8496,-1.2171,-0.4887,-0.5736,-0.0272,-0.1435,-0.1402,0.4058,-0.7124,-0.0178,-1.3034,0.2784,0.1256,-0.2678,0.2798,-0.9152,-0.3835,0.0169
1abf,-2.3634,0.2640,-1.0131,-1.0138,-1.2674,-0.8478,-0.9155,0.437,-1.2583,-0.8651,0.8,-1.9367,1.6306,-0.7785,0.0917,-1.1034,0.2869,0.1256,-0.8537,-0.6231,-0.9152,-0.6256,-0.7155
1ai5,-0.4067,0.4552,-2.7131,-0.9395,-1.1422,-0.1976,-0.9722,0.4437,-0.0376,-1.0813,-0.8994,-0.7745,0.3298,1.0186,-0.8283,0.0181,-0.6938,-0.6993,-0.8537,-0.6231,-0.4278,-0.6256,-0.7155
1ajp,-1.3754,1.8599,-4.2031,-1.0697,-1.1997,-0.3528,-0.4193,0.4111,-0.5325,-1.1624,-0.8427,-0.7478,0.4819,1.0186,-0.9904,-0.2991,-0.0376,-0.1493,-0.8537,-0.8488,-0.9152,-0.3835,-0.7155
1ajq,-1.7802,1.7180,-2.1231,-1.356,-1.3463,-0.1497,-0.7155,0.0921,-0.5746,-1.2165,-0.5265,-0.8903,1.1513,1.0182,-0.7877,-0.3325,-0.6938,-0.6993,-0.8537,-1.3002,-0.6715,-0.6256,-0.7155
1apw,0.2169,1.9119,1.5669,0.5499,0.5303,0.3336,0.1009,4.8364,-1.2583,0.5674,1.1409,1.7133,0.0331,-0.8177,-0.1957,1.6796,0.3624,0.1256,-0.8537,0.2798,1.2957,-0.6256,-0.7155
1avn,-1.6380,1.8672,-2.5331,-1.8967,-1.2724,-0.4141,-1.2171,0.1836,-0.7017,-2.0273,-0.9732,-2.0647,1.1513,-1.115,-0.8051,-0.2828,-0.6431,-1.2492,-0.2678,-1.0745,-0.9152,-0.3835,0.7493
1ax0,-1.3403,0.4601,-3.3031,-1.0372,-1.0464,-1.1239,-1.2171,0.5674,-1.2583,-0.9192,0.2516,-0.2092,1.2274,-0.7124,-0.4302,-0.7701,0.6278,0.4006,-0.8537,-0.1716,-0.9152,-0.3835,0.0169
