%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 15 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.0362799639165527
%.kernel.kernels[0].lengthscales: [4.13159133e+02 2.24585695e+04 1.10353569e+04 2.67031699e+03 3.05039532e+02 8.39384826e+02 1.23834284e+03 6.71884050e+03 1.25873608e+04 4.41397606e-03 1.11855101e+03 1.11012221e+03 2.32240972e+04 2.18262978e+04 4.01654155e-02 6.62361728e+01 2.96994917e+02 6.55064201e+01 3.05619805e-05 2.70215813e+04]
%.kernel.kernels[1].variance: 0.058512782221909365
%.likelihood.variance: 0.482757287382866
%loglikelihood: -4443.7890008101795
%RMSE:1.760
%Pearson_correlation_coefficient:0.634,P-value:0.000
%Spearman_correlation_coefficient:0.654,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.0658,2.0558,-0.0961,0.0877,0.3239,-0.6845,-0.7353,-0.0362,0.9664,0.5924,0.6266,0.7164,-0.7676,0.9724,0.0015,0.3788,0.8838,0.3735,-0.8076,0.2507,1.5292,-0.6591,1.3859
1a30,-1.4476,1.9472,-2.1961,-0.1033,-0.3683,-1.928,-0.4148,3.2121,-1.2505,0.0186,0.2227,0.4107,-0.2656,1.0009,0.1693,0.86,1.4742,0.9054,-0.8076,0.6792,-0.3649,-0.6591,-0.725
1a69,-0.0050,0.3925,-1.1961,-0.3325,-0.6189,-0.7908,-1.21,-0.5031,-0.558,-0.0336,-0.1575,-0.1122,0.384,-0.679,-0.0246,-1.2907,0.2222,0.1076,-0.216,0.2507,-0.9205,-0.4239,-0.0214
1abf,-0.4623,0.1527,-1.0761,-1.0119,-1.2614,-0.789,-0.9177,0.3887,-1.2505,-0.8421,0.7542,-1.8824,1.5724,-0.743,0.0712,-1.0952,0.2301,0.1076,-0.8076,-0.6062,-0.9205,-0.6591,-0.725
1ai5,-0.4154,0.3955,-2.7761,-0.9389,-1.1388,-0.161,-0.9726,0.3951,-0.0159,-1.0507,-0.8878,-0.7372,0.3101,0.997,-0.7331,0.0007,-0.6806,-0.6903,-0.8076,-0.6062,-0.4305,-0.6591,-0.725
1ajp,-1.4689,2.0439,-4.2661,-1.0667,-1.1951,-0.311,-0.4366,0.3637,-0.5165,-1.129,-0.833,-0.7109,0.4578,0.997,-0.8748,-0.3093,-0.0713,-0.1584,-0.8076,-0.8205,-0.9205,-0.4239,-0.725
1ajq,-1.3098,2.0434,-2.1861,-1.3474,-1.3387,-0.1147,-0.7237,0.0565,-0.559,-1.1812,-0.5276,-0.8513,1.1074,0.9967,-0.6976,-0.3419,-0.6806,-0.6903,-0.8076,-1.2489,-0.6755,-0.6591,-0.725
1apw,-0.0135,2.0927,1.5039,0.5216,0.4991,0.3521,0.0677,4.6265,-1.2505,0.5402,1.0836,1.7141,0.0223,-0.781,-0.1801,1.6243,0.3002,0.1076,-0.8076,0.2507,1.3018,-0.6591,-0.725
1avn,-1.4810,2.0511,-2.5961,-1.8777,-1.2663,-0.3702,-1.21,0.1446,-0.6875,-1.9636,-0.9592,-2.0085,1.1074,-1.0688,-0.7128,-0.2934,-0.6335,-1.2222,-0.216,-1.0347,-0.9205,-0.4239,0.6823
1ax0,-1.4649,0.3938,-3.3661,-1.0348,-1.0449,-1.0558,-1.21,0.5143,-1.2505,-0.8943,0.2243,-0.1802,1.1812,-0.6791,-0.385,-0.7695,0.5467,0.3735,-0.8076,-0.1777,-0.9205,-0.4239,-0.0214
