%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 223 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.386281133172231
%.kernel.kernels[0].lengthscales: [ 0.35127213  5.1621627   0.81253531  1.67020432  0.83318444  1.25564558  0.68146455  0.39366367  1.42774363 15.92590417  3.44624953  0.09065917  1.68933499  0.75442503  0.42951812  3.63269367  0.49035745  2.15220337  0.85470835  1.86052418]
%.kernel.kernels[1].variance: 0.06860270451148942
%.likelihood.variance: 1.0000001348630065e-06
%loglikelihood: 851.7430119250384
%RMSE:1.653
%Pearson_correlation_coefficient:0.693,P-value:0.000
%Spearman_correlation_coefficient:0.703,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.0222,2.3674,-0.1087,0.079,0.3184,-0.6553,-0.7234,0.0204,0.9384,0.5725,0.6126,0.6981,-0.7452,0.9365,-0.0306,0.4132,0.8505,0.3398,-0.8195,0.2113,1.5055,-0.6305,1.5092
1a30,-1.4688,2.4173,-2.2087,-0.1123,-0.3814,-1.8965,-0.3917,3.5073,-1.2741,-0.0087,0.1988,0.3918,-0.2388,0.9653,0.1069,0.9016,1.4337,0.8601,-0.8195,0.6435,-0.3564,-0.6305,-0.7279
1a69,-0.3475,2.0929,-1.2087,-0.3419,-0.6348,-0.7615,-1.2145,-0.4807,-0.583,-0.0616,-0.1906,-0.1318,0.4165,-0.7347,-0.052,-1.2812,0.197,0.0796,-0.2434,0.2113,-0.9025,-0.3994,0.0178
1abf,-1.1514,2.1806,-1.0887,-1.0224,-1.2844,-0.7597,-0.9121,0.4765,-1.2741,-0.8806,0.7433,-1.9048,1.6155,-0.7994,0.0264,-1.0828,0.2048,0.0796,-0.8195,-0.6531,-0.9025,-0.6305,-0.7279
1ai5,-3.2610,0.8959,-2.7887,-0.9493,-1.1604,-0.1328,-0.9689,0.4834,-0.042,-1.0919,-0.9388,-0.7578,0.342,0.9614,-0.6324,0.0295,-0.6947,-0.7008,-0.8195,-0.6531,-0.4209,-0.6305,-0.7279
1ajp,-0.7592,1.5048,-4.2787,-1.0773,-1.2174,-0.2825,-0.4143,0.4497,-0.5416,-1.1712,-0.8826,-0.7315,0.491,0.9613,-0.7485,-0.2851,-0.0929,-0.1805,-0.8195,-0.8692,-0.9025,-0.3994,-0.7279
1ajq,-3.0990,1.5679,-2.1987,-1.3585,-1.3625,-0.0866,-0.7114,0.1199,-0.584,-1.224,-0.5697,-0.8721,1.1463,0.961,-0.6034,-0.3182,-0.6947,-0.7008,-0.8195,-1.3014,-0.6617,-0.6305,-0.7279
1apw,0.9227,2.2945,1.4913,0.5136,0.4956,0.3794,0.1075,5.0256,-1.2741,0.5197,1.0806,1.6973,0.0516,-0.8378,-0.1794,1.6774,0.2741,0.0796,-0.8195,0.2113,1.282,-0.6305,-0.7279
1avn,-2.2675,2.3465,-2.6087,-1.8896,-1.2893,-0.3416,-1.2145,0.2145,-0.7123,-2.0166,-1.0119,-2.0311,1.1463,-1.1291,-0.6158,-0.269,-0.6482,-1.2211,-0.2434,-1.0853,-0.9025,-0.3994,0.7635
1ax0,-2.1853,2.0297,-3.3787,-1.0453,-1.0655,-1.0259,-1.2145,0.6114,-1.2741,-0.9334,0.2004,-0.1999,1.2208,-0.7347,-0.3473,-0.7523,0.5176,0.3398,-0.8195,-0.2209,-0.9025,-0.3994,0.0178
1axz,-2.9063,1.9696,-3.3087,-1.2965,-1.2799,-1.0693,-1.2145,0.4911,-1.2741,-1.0919,0.1589,-1.8879,1.5857,-0.7347,-0.5172,-1.2812,0.5057,0.3398,-0.8195,-0.437,-0.9025,-0.3994,-0.7279
1b11,0.7617,1.6857,0.8813,0.1701,0.4649,0.5525,0.1206,0.0195,0.9384,-0.6428,0.3395,0.8403,-0.7601,-0.1799,-0.2007,-0.4876,0.2403,0.0796,-0.2653,-0.0048,2.0517,-0.6305,-0.7279
1b39,-0.6807,2.4059,0.4113,0.7055,0.1016,-0.0615,-1.2145,-0.5979,-0.8843,0.8631,0.8101,-0.1621,0.1782,1.3785,1.1229,-1.2812,-0.0601,2.1608,3.0195,2.1563,-0.9025,-0.3994,-0.7279
1b7h,0.6150,0.6984,1.5113,0.7503,0.1193,-1.2041,0.4734,4.147,-1.2741,1.233,1.7827,0.7443,0.491,0.9406,0.643,0.415,0.9403,-0.1805,-0.8195,0.2113,-0.1215,4.916,0.0178
1b8o,0.6571,2.2804,4.1313,-0.2334,-0.5087,-1.017,-1.2145,-0.3353,-0.3961,-0.1408,0.4034,-0.0457,0.4686,-0.7725,-0.4554,-0.9834,0.5235,-0.1805,-0.2434,-0.0048,-0.9025,0.9872,0.7635
1b9j,0.9040,2.0055,-0.5487,0.7597,0.1018,-1.2475,0.7336,4.2118,-1.2741,1.2066,2.0199,0.7671,0.491,0.9406,0.5595,0.415,0.9403,-0.1805,-0.8195,0.2113,-0.3564,4.6849,0.0178
1bcu,-1.5834,1.3605,-3.2287,-0.9109,-0.7176,0.6701,0.1191,-0.3325,0.0338,-1.1712,-1.0856,-1.7163,0.059,-0.6793,-0.9261,-0.2127,-0.6041,-1.2211,-0.2434,-1.0853,-0.4209,-0.6305,-0.7279
