%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: False in 250 iterations, b'STOP: TOTAL NO. of ITERATIONS REACHED LIMIT'
%.kernel.kernels[0].variance: 2.4443224491306688
%.kernel.kernels[0].lengthscales: [0.37280939 2.96381727 4.65495465 1.55365759 1.02152544 1.1912184  0.44419039 0.05312786 3.90055123 1.10357733 1.20451551 0.76784478 1.98044862 0.78367374 6.55237327 2.78378283 8.33733636 2.00487506 0.63544319 8.01517042]
%.kernel.kernels[1].variance: 0.03874623105420871
%.likelihood.variance: 1.0000000004030377e-06
%loglikelihood: 1130.569111875785
%RMSE:1.714
%Pearson_correlation_coefficient:0.658,P-value:0.000
%Spearman_correlation_coefficient:0.662,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.1878,2.4601,-0.0601,0.1108,0.3455,-0.7333,-0.7688,0.0043,0.9444,0.6491,0.6792,0.7129,-0.7823,0.9823,-0.0073,0.4044,0.9079,0.3775,-0.8027,0.2717,1.5589,-0.6247,1.532
1a30,-1.2063,2.4722,-2.1601,-0.0855,-0.375,-1.9999,-0.4394,3.3918,-1.2941,0.0573,0.2572,0.3973,-0.2636,1.0122,0.1439,0.8999,1.5022,0.9067,-0.8027,0.7077,-0.3801,-0.6247,-0.7293
1a69,-1.2085,2.1398,-1.1601,-0.3211,-0.6359,-0.8416,-1.2567,-0.4826,-0.5949,0.0034,-0.1401,-0.1424,0.4077,-0.7543,-0.0308,-1.3144,0.2419,0.1128,-0.2221,0.2717,-0.9489,-0.3932,0.0245
1abf,-1.4697,2.4339,-1.0401,-1.0195,-1.3046,-0.8397,-0.9563,0.4474,-1.2941,-0.8306,0.8125,-1.9696,1.6358,-0.8216,0.0554,-1.1132,0.2498,0.1128,-0.8027,-0.6004,-0.9489,-0.6247,-0.7293
1ai5,-2.0139,1.7512,-2.7401,-0.9445,-1.177,-0.2,-1.0128,0.4541,-0.0475,-1.0458,-0.9032,-0.7876,0.3314,1.0081,-0.6691,0.0152,-0.6668,-0.681,-0.8027,-0.6004,-0.4473,-0.6247,-0.7293
1ajp,-2.0062,1.8913,-4.2301,-1.0758,-1.2356,-0.3528,-0.4619,0.4213,-0.5529,-1.1265,-0.8459,-0.7604,0.4839,1.0081,-0.7967,-0.304,-0.0535,-0.1518,-0.8027,-0.8184,-0.9489,-0.3932,-0.7293
1ajq,-2.8897,1.9062,-2.1501,-1.3644,-1.385,-0.1529,-0.7569,0.1009,-0.5959,-1.1803,-0.5268,-0.9053,1.1552,1.0078,-0.6371,-0.3376,-0.6668,-0.681,-0.8027,-1.2545,-0.6981,-0.6247,-0.7293
1apw,0.7037,2.5082,1.5399,0.5568,0.5279,0.3227,0.0564,4.8669,-1.2941,0.5953,1.1566,1.7427,0.0339,-0.8615,-0.1709,1.6868,0.3204,0.1128,-0.8027,0.2717,1.3261,-0.6247,-0.7293
1avn,-2.2365,2.1703,-2.5601,-1.9095,-1.3097,-0.4131,-1.2567,0.1928,-0.7257,-1.9874,-0.9777,-2.0997,1.1552,-1.1642,-0.6508,-0.2876,-0.6195,-1.2103,-0.2221,-1.0364,-0.9489,-0.3932,0.7783
1ax0,-1.7918,2.1708,-3.3301,-1.043,-1.0793,-1.1115,-1.2567,0.5784,-1.2941,-0.8844,0.2588,-0.2126,1.2315,-0.7544,-0.3555,-0.7779,0.5686,0.3775,-0.8027,-0.1644,-0.9489,-0.3932,0.0245
1axz,-2.0129,2.4252,-3.2601,-1.3008,-1.3,-1.1557,-1.2567,0.4615,-1.2941,-1.0458,0.2165,-1.9522,1.6052,-0.7544,-0.5424,-1.3144,0.5565,0.3775,-0.8027,-0.3824,-0.9489,-0.3932,-0.7293
1b11,0.0726,2.4360,0.9299,0.2043,0.4963,0.4993,0.0694,0.0034,0.9444,-0.5884,0.4007,0.8595,-0.7976,-0.1778,-0.1943,-0.5094,0.286,0.1128,-0.2442,0.0536,2.1276,-0.6247,-0.7293
1b39,-0.3210,2.0333,0.4599,0.7537,0.1223,-0.1272,-1.2567,-0.5964,-0.8997,0.9451,0.8807,-0.1736,0.1636,1.4417,1.2612,-1.3144,-0.0202,2.2299,3.0659,2.2338,-0.9489,-0.3932,-0.7293
1b7h,1.0894,2.3194,1.5599,0.7997,0.1405,-1.2933,0.4198,4.0133,-1.2941,1.3217,1.8728,0.7605,0.4839,0.9866,0.7334,0.4062,0.9994,-0.1518,-0.8027,0.2717,-0.1355,4.9329,0.0245
1b8o,-0.1908,2.4173,4.1799,-0.2098,-0.5061,-1.1024,-1.2567,-0.3413,-0.4058,-0.0773,0.4659,-0.0536,0.461,-0.7937,-0.4744,-1.0123,0.5746,-0.1518,-0.2221,0.0536,-0.9489,0.9962,0.7783
1b9j,0.3573,2.0315,-0.5001,0.8093,0.1225,-1.3376,0.6782,4.0762,-1.2941,1.2948,2.1147,0.784,0.4839,0.9866,0.6417,0.4062,0.9994,-0.1518,-0.8027,0.2717,-0.3801,4.7013,0.0245
1bcu,-1.7840,1.1206,-3.1801,-0.9051,-0.7211,0.6194,0.0679,-0.3386,0.0292,-1.1265,-1.0529,-1.7753,0.0415,-0.6968,-0.992,-0.2306,-0.5745,-1.2103,-0.2221,-1.0364,-0.4473,-0.6247,-0.7293
1bma,0.9607,2.3242,-1.8701,0.3595,0.7616,1.2242,0.3133,0.3191,0.7554,0.676,-0.449,0.9748,-0.8052,0.1156,-0.126,0.3095,-0.6237,-0.4164,-0.2678,-0.1644,1.944,-0.6247,0.0245
1bra,-2.7142,0.1200,-4.6401,-1.3812,-1.2763,-0.4263,-0.7268,0.386,-0.1749,-1.1534,-1.2756,-2.0914,0.7891,-1.7918,-0.5921,-1.3144,-1.2612,-1.2103,-0.8027,-1.2545,-0.1966,-0.6247,1.532
1bxo,1.3308,2.4699,3.5399,1.7425,1.4405,0.6312,0.2858,0.552,-0.1898,2.1288,0.8083,1.2079,-0.8357,0.0748,0.176,1.5728,0.2981,1.1714,0.8193,1.1437,1.7604,-0.6247,-0.7293
1c84,-2.1811,2.0957,-1.4601,-0.6444,-0.7438,-0.506,-0.2545,-0.0219,0.0142,-0.0235,0.2701,-0.4667,-0.4162,0.9509,0.1274,-1.0422,0.2462,0.1128,-0.8027,-0.3824,0.0542,-0.1616,0.0245
1d7j,-1.9395,2.3964,-3.1601,-1.9325,-1.5459,-0.1783,-0.9563,1.2526,-1.2941,-1.9067,-1.0395,-0.6787,1.5061,-0.7278,-1.0614,-0.3461,-0.9545,-0.681,-0.8027,-1.2545,-0.9489,-0.6247,-0.7293
1det,-1.6094,2.1373,-2.1601,-0.9347,-0.2851,-0.6859,-1.2567,-0.4061,-0.773,-0.3194,0.7178,-0.0437,0.0263,1.2625,-0.1986,-1.3144,-0.0202,0.9067,0.3048,1.1437,-0.9489,0.7647,-0.7293
1df8,-0.2381,2.3140,3.2399,-0.3965,-0.9164,-0.3307,-0.4184,-0.2185,-1.2941,-0.427,0.113,-0.2116,1.0942,1.0123,-0.3325,0.2506,-0.0294,-0.4164,-0.2442,-0.6004,-0.6844,-0.3932,0.0245
1dhi,0.4108,2.2064,0.7999,0.2866,0.2676,-0.9034,0.3619,-0.5381,0.0074,-0.2387,0.0701,0.3276,-1.6824,1.0122,-0.3928,0.3393,1.227,0.1128,0.3584,1.1437,-0.9489,0.3015,0.7783
