%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: False in 250 iterations, b'STOP: TOTAL NO. of ITERATIONS REACHED LIMIT'
%.kernel.kernels[0].variance: 2.402364053228206
%.kernel.kernels[0].lengthscales: [ 0.30518124  0.19666346  0.97779713 13.26798481  0.53001665  0.39212533  0.70286877  0.32236439  2.70124653  7.38872695  9.40294832  0.53990243  3.82562944  1.26324179  0.50758864  8.21798742  0.7226894   2.37835181  0.69845439  0.78727973]
%.kernel.kernels[1].variance: 0.05560490916618319
%.likelihood.variance: 1.0000014789483752e-06
%loglikelihood: 1011.7504090055577
%RMSE:1.641
%Pearson_correlation_coefficient:0.694,P-value:0.000
%Spearman_correlation_coefficient:0.690,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.0662,2.4298,-0.0042,0.1063,0.3432,-0.6851,-0.7084,0.0087,0.988,0.5871,0.6542,0.746,-0.7718,0.9644,-0.0049,0.4249,0.8703,0.3092,-0.791,0.2117,1.5361,-0.64,1.4651
1a30,-1.3199,2.4380,-2.1042,-0.0871,-0.364,-1.9488,-0.3806,3.4072,-1.2745,0.0121,0.2327,0.4298,-0.2591,0.9939,0.1612,0.9113,1.4615,0.8136,-0.791,0.6341,-0.3255,-0.64,-0.7123
1a69,-0.7688,2.1784,-1.1042,-0.3192,-0.6201,-0.7932,-1.1939,-0.4797,-0.5677,-0.0402,-0.1641,-0.1109,0.4043,-0.7486,-0.0307,-1.2627,0.2079,0.057,-0.2391,0.2117,-0.8715,-0.4136,0.0135
1abf,-0.9377,1.5938,-0.9842,-1.0072,-1.2766,-0.7913,-0.8949,0.4533,-1.2745,-0.8503,0.7873,-1.9417,1.618,-0.8149,0.064,-1.0651,0.2157,0.057,-0.791,-0.6332,-0.8715,-0.64,-0.7123
1ai5,-3.5782,0.3876,-2.6842,-0.9334,-1.1513,-0.153,-0.9511,0.46,-0.0145,-1.0594,-0.9263,-0.7574,0.3289,0.9899,-0.732,0.0428,-0.6961,-0.6996,-0.791,-0.6332,-0.39,-0.64,-0.7123
1ajp,-2.1761,1.0398,-4.1742,-1.0627,-1.2088,-0.3055,-0.403,0.4271,-0.5254,-1.1378,-0.8691,-0.7301,0.4797,0.9898,-0.8722,-0.2706,-0.086,-0.1952,-0.791,-0.8444,-0.8715,-0.4136,-0.7123
1ajq,-1.7232,1.6812,-2.0942,-1.347,-1.3555,-0.106,-0.6966,0.1057,-0.5688,-1.1901,-0.5503,-0.8754,1.1431,0.9895,-0.6969,-0.3036,-0.6961,-0.6996,-0.791,-1.2669,-0.6307,-0.64,-0.7123
1apw,0.4313,2.4371,1.5958,0.5457,0.5223,0.3684,0.1128,4.887,-1.2745,0.5348,1.131,1.7778,0.0349,-0.8543,-0.1846,1.6839,0.2859,0.057,-0.791,0.2117,1.3126,-0.64,-0.7123
1avn,-2.0861,2.3193,-2.5042,-1.884,-1.2815,-0.3656,-1.1939,0.1979,-0.7,-1.9741,-1.0008,-2.0721,1.1431,-1.1528,-0.712,-0.2545,-0.6491,-1.204,-0.2391,-1.0557,-0.8715,-0.4136,0.7393
1ax0,-1.6504,2.2672,-3.2742,-1.0304,-1.0554,-1.0624,-1.1939,0.5847,-1.2745,-0.9026,0.2343,-0.1813,1.2184,-0.7486,-0.3875,-0.7358,0.5328,0.3092,-0.791,-0.2108,-0.8715,-0.4136,0.0135
