%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: False in 250 iterations, b'STOP: TOTAL NO. of ITERATIONS REACHED LIMIT'
%.kernel.kernels[0].variance: 2.2982850545415885
%.kernel.kernels[0].lengthscales: [ 0.29236913 14.87986555  0.79772976  1.61798856  0.72798943  1.10572484  0.43254196  0.25648878  1.3646157   2.39926884 17.91711466  0.22430146  2.34896038  0.71372214  1.72585395  1.30990093  1.12771255 34.57703563  0.50219868  4.00578593]
%.kernel.kernels[1].variance: 0.052194489315812866
%.likelihood.variance: 1.0000003179307778e-06
%loglikelihood: 1095.3897495285264
%RMSE:1.705
%Pearson_correlation_coefficient:0.661,P-value:0.000
%Spearman_correlation_coefficient:0.669,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.5839,2.2672,-0.0973,0.132,0.3516,-0.7322,-0.7178,0.009,0.9434,0.6262,0.6314,0.7454,-0.7757,0.975,0.0041,0.4355,0.9965,0.3885,-0.8063,0.2627,1.5418,-0.6715,1.378
1a30,-1.1827,2.3309,-2.1973,-0.0647,-0.3536,-2.0279,-0.3909,3.4445,-1.274,0.0286,0.2234,0.4363,-0.2601,1.004,0.1727,0.927,1.6231,0.9252,-0.8063,0.7032,-0.3558,-0.6715,-0.7216
1a69,-0.3869,2.1268,-1.1973,-0.3008,-0.6089,-0.843,-1.2019,-0.4848,-0.5813,-0.0257,-0.1606,-0.092,0.4072,-0.7081,-0.0221,-1.2695,0.2943,0.1201,-0.2482,0.2627,-0.9124,-0.421,-0.0217
1abf,-1.4998,2.1954,-1.0773,-1.0005,-1.2635,-0.8411,-0.9038,0.4584,-1.274,-0.8677,0.7603,-1.8811,1.628,-0.7732,0.0741,-1.0699,0.3026,0.1201,-0.8063,-0.6184,-0.9124,-0.6715,-0.7216
1ai5,-1.5386,1.5066,-2.7773,-0.9254,-1.1386,-0.1866,-0.9599,0.4652,-0.0391,-1.0849,-0.8983,-0.7238,0.3314,1.0001,-0.7339,0.0494,-0.6639,-0.685,-0.8063,-0.6184,-0.4215,-0.6715,-0.7216
1ajp,-1.5552,1.4354,-4.2673,-1.0569,-1.1959,-0.3429,-0.4132,0.4319,-0.5398,-1.1664,-0.8429,-0.6971,0.483,1.0,-0.8763,-0.2672,-0.0172,-0.1483,-0.8063,-0.8387,-0.9124,-0.421,-0.7216
1ajq,-4.3246,1.3305,-2.1873,-1.346,-1.3422,-0.1384,-0.706,0.107,-0.5824,-1.2207,-0.5344,-0.839,1.1503,0.9997,-0.6983,-0.3005,-0.6639,-0.685,-0.8063,-1.2792,-0.667,-0.6715,-0.7216
1apw,0.7483,2.3281,1.5027,0.5788,0.5301,0.348,0.1012,4.9404,-1.274,0.5719,1.0929,1.7537,0.0356,-0.8119,-0.1784,1.7076,0.3771,0.1201,-0.8063,0.2627,1.314,-0.6715,-0.7216
1avn,-2.0325,2.0935,-2.5973,-1.8921,-1.2684,-0.4046,-1.2019,0.2002,-0.7109,-2.0356,-0.9704,-2.0085,1.1503,-1.1053,-0.7136,-0.251,-0.6139,-1.2218,-0.2482,-1.059,-0.9124,-0.421,0.6781
1ax0,-0.8587,2.0818,-3.3673,-1.0241,-1.0429,-1.1191,-1.2019,0.5912,-1.274,-0.922,0.225,-0.1608,1.2261,-0.7081,-0.3843,-0.7373,0.6387,0.3885,-0.8063,-0.1779,-0.9124,-0.421,-0.0217
1axz,-1.4362,2.0952,-3.2973,-1.2823,-1.2589,-1.1643,-1.2019,0.4727,-1.274,-1.0849,0.1841,-1.864,1.5976,-0.7081,-0.5927,-1.2695,0.626,0.3885,-0.8063,-0.3981,-0.9124,-0.421,-0.7216
1b11,0.1969,2.2974,0.8927,0.2256,0.4992,0.5288,0.1141,0.0081,0.9434,-0.6232,0.3622,0.8889,-0.7908,-0.1493,-0.2045,-0.471,0.3408,0.1201,-0.2694,0.0424,2.0984,-0.6715,-0.7216
1b39,-0.7918,2.2336,0.4227,0.776,0.1332,-0.1122,-1.2019,-0.6002,-0.8833,0.9249,0.8262,-0.1226,0.1645,1.4202,1.4188,-1.2695,0.018,2.2671,2.9128,2.2451,-0.9124,-0.421,-0.7216
1b7h,0.8601,2.1835,1.5227,0.8221,0.151,-1.305,0.4618,4.0747,-1.274,1.3052,1.7852,0.792,0.483,0.9792,0.8302,0.4373,1.0929,-0.1483,-0.8063,0.2627,-0.1164,5.3402,-0.0217
1b8o,0.7762,2.0739,4.1427,-0.1893,-0.4818,-1.1097,-1.2019,-0.3415,-0.3941,-0.1072,0.4252,-0.0051,0.4603,-0.7462,-0.5168,-0.9699,0.6451,-0.1483,-0.2482,0.0424,-0.9124,1.0819,0.6781
1b9j,0.9084,1.8893,-0.5373,0.8318,0.1333,-1.3504,0.7183,4.1386,-1.274,1.278,2.0191,0.815,0.483,0.9792,0.7279,0.4373,1.0929,-0.1483,-0.8063,0.2627,-0.3558,5.0897,-0.0217
1bcu,-0.6543,1.4533,-3.2173,-0.8859,-0.6923,0.6516,0.1126,-0.3387,0.0368,-1.1664,-1.043,-1.6909,0.0432,-0.6523,-1.0942,-0.1944,-0.5665,-1.2218,-0.2482,-1.059,-0.4215,-0.6715,-0.7216
1bma,0.6487,2.2384,-1.9073,0.3812,0.7589,1.2703,0.3561,0.3283,0.7562,0.6533,-0.4592,1.0018,-0.7984,0.135,-0.1283,0.3414,-0.6184,-0.4167,-0.2921,-0.1779,1.9188,-0.6715,-0.0217
1bra,-2.7131,0.2177,-4.6773,-1.3628,-1.2358,-0.4182,-0.6761,0.3962,-0.1653,-1.1936,-1.2583,-2.0003,0.7863,-1.7135,-0.6482,-1.2695,-1.2905,-1.2218,-0.8063,-1.2792,-0.1761,-0.6715,1.378
1bxo,1.1586,2.3250,3.5027,1.7667,1.4234,0.6637,0.3288,0.5644,-0.1801,2.12,0.7562,1.2301,-0.8288,0.0955,0.2085,1.5944,0.3535,1.1936,0.753,1.1438,1.7391,-0.6715,-0.7216
1c84,-1.0377,2.0597,-1.4973,-0.6247,-0.7146,-0.4997,-0.2074,-0.0176,0.022,-0.0528,0.2359,-0.4095,-0.4117,0.9446,0.1543,-0.9995,0.2988,0.1201,-0.8063,-0.3981,0.0693,-0.1705,-0.0217
1d7j,-1.7828,2.2618,-3.1973,-1.9152,-1.4996,-0.1644,-0.9038,1.275,-1.274,-1.9541,-1.0301,-0.6171,1.4991,-0.6824,-1.1715,-0.309,-0.9672,-0.685,-0.8063,-1.2792,-0.9124,-0.6715,-0.7216
1det,-1.7562,2.2683,-2.1973,-0.9155,-0.2656,-0.6837,-1.2019,-0.4072,-0.7578,-0.3516,0.6687,0.0046,0.0281,1.2466,-0.2092,-1.2695,0.018,0.9252,0.2583,1.1438,-0.9124,0.8314,-0.7216
1df8,0.1578,1.2352,3.2027,-0.3763,-0.8834,-0.3203,-0.3701,-0.2169,-1.274,-0.4602,0.084,-0.1598,1.0896,1.0041,-0.3586,0.2829,0.0083,-0.4167,-0.2694,-0.6184,-0.6535,-0.421,-0.0217
1dhi,-0.2239,2.3103,0.7627,0.3081,0.2754,-0.9063,0.4043,-0.541,0.0152,-0.2701,0.0426,0.3681,-1.6704,1.0041,-0.4258,0.3709,1.333,0.1201,0.3099,1.1438,-0.9124,0.3305,0.6781
1e1v,0.0664,2.0638,-1.5773,-0.383,-0.5743,0.4446,-0.3909,-0.5718,-1.0787,-0.7318,-0.6824,-1.6061,0.3769,0.1895,-0.339,-0.5375,-0.3137,-0.9534,-0.2482,-0.3981,-0.1359,1.3324,0.6781
