%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 172 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.396219006602543
%.kernel.kernels[0].lengthscales: [ 0.43585934 14.95081432  2.26821002  1.5933667   1.33791206  3.1689208   0.92533147  0.39274923  0.38131953  2.04241598 17.36997921  0.2184089   0.96767677  0.60314546  0.55978234  1.40871139  0.46241778 34.45097078  0.73202572  2.39459955]
%.kernel.kernels[1].variance: 0.05660151195367333
%.likelihood.variance: 1.000000071808653e-06
%loglikelihood: 1115.3879940928505
%RMSE:1.605
%Pearson_correlation_coefficient:0.715,P-value:0.000
%Spearman_correlation_coefficient:0.716,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.0451,2.2901,-0.0326,0.0984,0.3224,-0.7385,-0.7375,0.0093,0.8973,0.6303,0.6746,0.7109,-0.7392,0.9489,0.0523,0.3992,0.9655,0.358,-0.826,0.2511,1.4652,-0.6215,1.4724
1a30,-1.3470,2.4281,-2.1326,-0.0939,-0.3696,-2.0094,-0.4161,3.4741,-1.2469,0.0351,0.2581,0.4049,-0.2349,0.9777,0.2558,0.8761,1.5939,0.8906,-0.826,0.6867,-0.3514,-0.6215,-0.732
1a69,-0.1475,2.0375,-1.1326,-0.3247,-0.6203,-0.8472,-1.2135,-0.4887,-0.5771,-0.019,-0.134,-0.1183,0.4178,-0.7216,0.0206,-1.2553,0.2614,0.0917,-0.2411,0.2511,-0.8842,-0.3819,0.0028
1abf,-0.1438,1.0823,-1.0126,-1.0088,-1.2627,-0.8454,-0.9204,0.4625,-1.2469,-0.8577,0.8062,-1.8901,1.6118,-0.7863,0.1367,-1.0616,0.2698,0.0917,-0.826,-0.6201,-0.8842,-0.6215,-0.732
1ai5,-2.2040,1.9697,-2.7126,-0.9353,-1.1401,-0.2035,-0.9755,0.4694,-0.0528,-1.0742,-0.8871,-0.744,0.3436,0.9738,-0.8385,0.0245,-0.6994,-0.7072,-0.826,-0.6201,-0.4143,-0.6215,-0.732
1ajp,-3.4070,1.1983,-4.2026,-1.0639,-1.1964,-0.3568,-0.438,0.4358,-0.537,-1.1553,-0.8306,-0.7176,0.4919,0.9738,-1.0103,-0.2827,-0.0509,-0.1746,-0.826,-0.8379,-0.8842,-0.3819,-0.732
1ajq,-1.5371,1.6605,-2.1226,-1.3466,-1.3399,-0.1562,-0.7259,0.1081,-0.5781,-1.2094,-0.5156,-0.8581,1.1446,0.9735,-0.7955,-0.315,-0.6994,-0.7072,-0.826,-1.2736,-0.6493,-0.6215,-0.732
1apw,0.7186,2.4587,1.5674,0.5352,0.4977,0.3209,0.0677,4.9829,-1.2469,0.5762,1.1458,1.7095,0.0544,-0.8247,-0.1679,1.6336,0.3444,0.0917,-0.826,0.2511,1.2471,-0.6215,-0.732
1avn,-3.0693,2.1850,-2.5326,-1.8805,-1.2675,-0.4173,-1.2135,0.2021,-0.7024,-2.0211,-0.9607,-2.0163,1.1446,-1.1159,-0.8139,-0.2669,-0.6493,-1.2397,-0.2411,-1.0558,-0.8842,-0.3819,0.7376
1ax0,-1.0631,2.2535,-3.3026,-1.0318,-1.0462,-1.118,-1.2135,0.5965,-1.2469,-0.9118,0.2597,-0.1864,1.2188,-0.7216,-0.4165,-0.7388,0.6068,0.358,-0.826,-0.1845,-0.8842,-0.3819,0.0028
