%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 231 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.4417473420597444
%.kernel.kernels[0].lengthscales: [ 0.38820483 15.0333202   0.96345875  2.39664189  1.12132377 26.03707641  0.59646161  0.20279892  1.56285374  1.42044346  3.35652153  0.1184589   1.58421866  1.78713772  0.52674451  1.17788458  0.56701248 33.36963075  1.05739724  1.25136995]
%.kernel.kernels[1].variance: 0.053788734530919105
%.likelihood.variance: 1.0000003121233613e-06
%loglikelihood: 1337.4502204530454
%RMSE:1.669
%Pearson_correlation_coefficient:0.690,P-value:0.000
%Spearman_correlation_coefficient:0.698,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.1350,2.4342,-0.1255,0.0925,0.3331,-0.7238,-0.7358,-0.0152,0.9575,0.5921,0.6153,0.7008,-0.7583,0.9846,-0.0042,0.3996,0.9687,0.3706,-0.8147,0.2427,1.5277,-0.6318,1.4969
1a30,-1.5182,2.4751,-2.2255,-0.1019,-0.3693,-2.021,-0.4078,3.3391,-1.2621,0.0097,0.2052,0.3844,-0.2538,1.0135,0.1914,0.8856,1.5988,0.9135,-0.8147,0.6848,-0.3647,-0.6318,-0.7354
1a69,-0.5699,2.4148,-1.2255,-0.3351,-0.6236,-0.8348,-1.2216,-0.4973,-0.5687,-0.0432,-0.1809,-0.1566,0.3991,-0.6935,-0.0346,-1.2864,0.2627,0.0992,-0.2486,0.2427,-0.9197,-0.4032,0.0087
1abf,-0.8024,1.4905,-1.1055,-1.0265,-1.2756,-0.8329,-0.9224,0.4235,-1.2621,-0.8638,0.7448,-1.9884,1.5937,-0.7585,0.077,-1.089,0.2711,0.0992,-0.8147,-0.6415,-0.9197,-0.6318,-0.7354
1ai5,-3.3334,1.1304,-2.8055,-0.9523,-1.1512,-0.1777,-0.9787,0.4302,-0.026,-1.0756,-0.9224,-0.8034,0.325,1.0096,-0.8602,0.0178,-0.7008,-0.7151,-0.8147,-0.6415,-0.4303,-0.6318,-0.7354
1ajp,-1.5558,1.9093,-4.2955,-1.0822,-1.2083,-0.3342,-0.4301,0.3977,-0.5272,-1.155,-0.8668,-0.7762,0.4733,1.0095,-1.0253,-0.2953,-0.0505,-0.1722,-0.8147,-0.8625,-0.9197,-0.4032,-0.7354
1ajq,-3.4070,1.6154,-2.2155,-1.3679,-1.354,-0.1294,-0.7239,0.0805,-0.5697,-1.2079,-0.5566,-0.9215,1.1263,1.0092,-0.8189,-0.3282,-0.7008,-0.7151,-0.8147,-1.3046,-0.675,-0.6318,-0.7354
1apw,0.7794,2.4450,1.4745,0.534,0.511,0.3575,0.086,4.7998,-1.2621,0.5392,1.0792,1.7332,0.0356,-0.7971,-0.2158,1.6574,0.3459,0.0992,-0.8147,0.2427,1.3005,-0.6318,-0.7354
1avn,-1.9196,2.4174,-2.6255,-1.9075,-1.2805,-0.3959,-1.2216,0.1715,-0.6984,-2.002,-0.9949,-2.1189,1.1263,-1.0896,-0.8366,-0.2792,-0.6506,-1.2579,-0.2486,-1.0836,-0.9197,-0.4032,0.7528
1ax0,-3.0025,1.3638,-3.3955,-1.0498,-1.0559,-1.1112,-1.2216,0.5533,-1.2621,-0.9167,0.2068,-0.227,1.2005,-0.6935,-0.4546,-0.7601,0.609,0.3706,-0.8147,-0.1994,-0.9197,-0.4032,0.0087
1axz,-1.4707,2.2774,-3.3255,-1.3049,-1.2711,-1.1564,-1.2216,0.4376,-1.2621,-1.0756,0.1656,-1.971,1.564,-0.6935,-0.6964,-1.2864,0.5962,0.3706,-0.8147,-0.4204,-0.9197,-0.4032,-0.7354
1b11,0.0841,2.3011,0.8645,0.185,0.4802,0.5385,0.099,-0.0161,0.9575,-0.6256,0.3446,0.8477,-0.7732,-0.1364,-0.2461,-0.4968,0.3094,0.0992,-0.2701,0.0216,2.0828,-0.6318,-0.7354
1b39,-0.7874,2.4614,0.3945,0.7289,0.1156,-0.1032,-1.2216,-0.61,-0.871,0.8833,0.8111,-0.188,0.1617,1.4285,1.6368,-1.2864,-0.0152,2.2706,2.9573,2.2321,-0.9197,-0.4032,-0.7354
1b7h,0.7631,1.0867,1.4945,0.7744,0.1333,-1.2974,0.4479,3.9545,-1.2621,1.2539,1.7751,0.7485,0.4733,0.9888,0.9541,0.4014,1.0657,-0.1722,-0.8147,0.2427,-0.1259,4.8539,0.0087
1b8o,-0.0740,2.4229,4.1145,-0.2249,-0.497,-1.1019,-1.2216,-0.3574,-0.3813,-0.1226,0.408,-0.0677,0.4511,-0.7315,-0.6084,-0.9901,0.6154,-0.1722,-0.2486,0.0216,-0.9197,0.9682,0.7528
1b9j,1.0711,2.0842,-0.5655,0.784,0.1157,-1.3427,0.7052,4.0169,-1.2621,1.2274,2.0102,0.7721,0.4733,0.9888,0.8354,0.4014,1.0657,-0.1722,-0.8147,0.2427,-0.3647,4.6253,0.0087
1bcu,-1.6026,1.4740,-3.2455,-0.9132,-0.7067,0.6614,0.0975,-0.3547,0.05,-1.155,-1.0679,-1.7937,0.043,-0.638,-1.2781,-0.2233,-0.6029,-1.2579,-0.2486,-1.0836,-0.4303,-0.6318,-0.7354
1bma,0.9598,2.2451,-1.9355,0.3387,0.7389,1.2808,0.3419,0.2965,0.7701,0.6186,-0.4811,0.9634,-0.7806,0.1471,-0.1577,0.3065,-0.6551,-0.4436,-0.2931,-0.1994,1.9036,-0.6318,0.0087
1bra,-1.2211,1.8366,-4.7055,-1.3845,-1.248,-0.4095,-0.694,0.3628,-0.1523,-1.1814,-1.2843,-2.1106,0.7701,-1.696,-0.7607,-1.2864,-1.3309,-1.2579,-0.8147,-1.3046,-0.1855,-0.6318,1.4969
1bxo,1.1193,2.4288,3.4745,1.7078,1.4008,0.6735,0.3145,0.5271,-0.1671,2.048,0.7407,1.1971,-0.8103,0.1077,0.2329,1.5456,0.3222,1.1849,0.7668,1.1269,1.7244,-0.6318,-0.7354
1c84,-1.1528,2.3463,-1.5255,-0.6552,-0.7289,-0.4911,-0.2236,-0.0411,0.0352,-0.0697,0.2177,-0.4817,-0.4022,0.9543,0.1701,-1.0193,0.2672,0.0992,-0.8147,-0.4204,0.0592,-0.1747,0.0087
1d7j,-2.3415,2.1811,-3.2255,-1.9303,-1.5108,-0.1555,-0.9224,1.2209,-1.2621,-1.9226,-1.0549,-0.6943,1.4676,-0.6679,-1.3677,-0.3366,-1.0058,-0.7151,-0.8147,-1.3046,-0.9197,-0.6318,-0.7354
1det,-1.7004,2.4606,-2.2255,-0.9425,-0.2816,-0.6753,-1.2216,-0.4215,-0.7454,-0.3609,0.6528,-0.0577,0.0282,1.2554,-0.2516,-1.2864,-0.0152,0.9135,0.2651,1.1269,-0.9197,0.7396,-0.7354
1df8,0.4402,1.6737,3.1745,-0.4097,-0.8971,-0.3116,-0.3869,-0.2358,-1.2621,-0.4667,0.065,-0.226,1.0669,1.0135,-0.4248,0.2487,-0.025,-0.4436,-0.2701,-0.6415,-0.6616,-0.4032,0.0087
