%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 245 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.569307440748603
%.kernel.kernels[0].lengthscales: [2.30453027e-01 2.34038050e+01 9.20339804e-01 1.54998221e+00 1.38563322e+00 3.45639549e+01 5.49399757e-01 6.52216985e-02 1.47270647e+00 4.73961676e+02 4.63178617e+00 4.47218919e-01 1.57517100e+00 1.46466663e+00 9.80296595e-01 2.61767625e+00 6.77235526e-01 2.38410432e+01 6.75961310e-01 1.39063659e+00]
%.kernel.kernels[1].variance: 0.05946137248296579
%.likelihood.variance: 1.0000000000000434e-06
%loglikelihood: 1178.3507479394939
%RMSE:1.714
%Pearson_correlation_coefficient:0.657,P-value:0.000
%Spearman_correlation_coefficient:0.669,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.0014,2.5666,-0.0908,0.0776,0.3181,-0.6683,-0.7164,-0.0158,0.9574,0.6063,0.6109,0.6949,-0.7749,0.9947,0.0014,0.3873,0.885,0.3563,-0.8245,0.2319,1.576,-0.6469,1.4172
1a30,-1.3649,2.6002,-2.1908,-0.1166,-0.3746,-1.9151,-0.4009,3.3079,-1.2307,0.0093,0.1978,0.3868,-0.2628,1.0242,0.2063,0.8805,1.4881,0.8964,-0.8245,0.6756,-0.3498,-0.6469,-0.6969
1a69,-0.7592,2.4928,-1.1908,-0.3497,-0.6254,-0.7749,-1.1837,-0.4935,-0.5472,-0.045,-0.191,-0.1399,0.3999,-0.7138,-0.0304,-1.3237,0.2092,0.0863,-0.2379,0.2319,-0.9146,-0.4053,0.0078
1abf,-0.6596,2.4523,-1.0708,-1.0405,-1.2684,-0.7731,-0.896,0.4189,-1.2307,-0.8863,0.7414,-1.9234,1.6124,-0.78,0.0864,-1.1234,0.2172,0.0863,-0.8245,-0.6556,-0.9146,-0.6469,-0.6969
1ai5,-1.6016,1.8065,-2.7708,-0.9663,-1.1457,-0.1433,-0.9501,0.4255,-0.0121,-1.1034,-0.938,-0.7697,0.3246,1.0202,-0.895,-0.0002,-0.713,-0.7238,-0.8245,-0.6556,-0.4165,-0.6469,-0.6969
1ajp,-2.6804,1.5352,-4.2608,-1.0962,-1.2021,-0.2937,-0.4225,0.3934,-0.5062,-1.1848,-0.882,-0.7431,0.4752,1.0201,-1.0679,-0.3179,-0.0906,-0.1837,-0.8245,-0.8775,-0.9146,-0.4053,-0.6969
1ajq,-3.3348,1.6312,-2.1808,-1.3816,-1.3457,-0.0969,-0.705,0.079,-0.5482,-1.2391,-0.5696,-0.8846,1.138,1.0198,-0.8517,-0.3513,-0.713,-0.7238,-0.8245,-1.3212,-0.6656,-0.6469,-0.6969
1apw,0.7074,2.6352,1.5092,0.5187,0.4935,0.3712,0.074,4.7552,-1.2307,0.552,1.0782,1.7001,0.0309,-0.8193,-0.2202,1.6639,0.2888,0.0863,-0.8245,0.2319,1.3448,-0.6469,-0.6969
1avn,-2.0468,2.5184,-2.5908,-1.9208,-1.2733,-0.3531,-1.1837,0.1692,-0.675,-2.0532,-1.011,-2.0505,1.138,-1.117,-0.8703,-0.3016,-0.665,-1.2638,-0.2379,-1.0993,-0.9146,-0.4053,0.7125
1ax0,-1.8545,2.1979,-3.3608,-1.0638,-1.0518,-1.0406,-1.1837,0.5475,-1.2307,-0.9405,0.1994,-0.2084,1.2133,-0.7138,-0.4703,-0.7896,0.5406,0.3563,-0.8245,-0.2118,-0.9146,-0.4053,0.0078
