%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 88 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.479937375277011
%.kernel.kernels[0].lengthscales: [2.22612683e-01 2.33886690e+01 1.61838060e+00 8.19896102e-01 5.57590468e-01 3.45303932e+01 5.49734854e-01 2.40901280e-01 1.22817139e+00 4.73961668e+02 7.55992462e-01 5.37632058e-01 5.99800116e+00 3.86027075e+00 1.00943508e+00 4.80146919e+00 5.20843099e-01 2.36910325e+01 7.13698770e-01 3.10976922e+00]
%.kernel.kernels[1].variance: 0.043068354926111455
%.likelihood.variance: 1.0000000000142898e-06
%loglikelihood: 1272.0089048488203
%RMSE:1.648
%Pearson_correlation_coefficient:0.695,P-value:0.000
%Spearman_correlation_coefficient:0.697,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.3847,2.3004,-0.0171,0.1207,0.3686,-0.6925,-0.7199,0.0129,0.9878,0.6319,0.647,0.7538,-0.8083,0.9599,0.0124,0.4197,0.9015,0.3645,-0.798,0.2533,1.5271,-0.6368,1.4232
1a30,-1.4108,2.5146,-2.1171,-0.0789,-0.349,-1.9583,-0.3852,3.4966,-1.2711,0.0358,0.231,0.4368,-0.2856,0.9885,0.2062,0.9033,1.4952,0.8929,-0.798,0.6869,-0.3429,-0.6368,-0.7075
1a69,-0.7071,2.3811,-1.1171,-0.3183,-0.6088,-0.8008,-1.2156,-0.4878,-0.5654,-0.0183,-0.1606,-0.1053,0.3909,-0.6977,-0.0178,-1.2579,0.2361,0.1003,-0.2354,0.2533,-0.8914,-0.4039,0.0027
1abf,-2.0377,2.3960,-0.9971,-1.0282,-1.2749,-0.7989,-0.9103,0.4685,-1.2711,-0.8582,0.7784,-1.9406,1.6286,-0.7619,0.0928,-1.0615,0.244,0.1003,-0.798,-0.6139,-0.8914,-0.6368,-0.7075
1ai5,-0.8146,1.9398,-2.6971,-0.952,-1.1478,-0.1595,-0.9677,0.4755,-0.0131,-1.075,-0.9128,-0.7534,0.314,0.9846,-0.8359,0.0398,-0.6718,-0.6923,-0.798,-0.6139,-0.4077,-0.6368,-0.7075
1ajp,-0.5601,1.2875,-4.1871,-1.0854,-1.2061,-0.3122,-0.408,0.4417,-0.5231,-1.1563,-0.8564,-0.726,0.4678,0.9846,-0.9995,-0.2717,-0.059,-0.1639,-0.798,-0.8307,-0.8914,-0.4039,-0.7075
1ajq,-2.7932,1.3289,-2.1071,-1.3787,-1.3549,-0.1124,-0.7078,0.1122,-0.5665,-1.2105,-0.5418,-0.8716,1.1443,0.9843,-0.795,-0.3044,-0.6718,-0.6923,-0.798,-1.2643,-0.6496,-0.6368,-0.7075
1apw,0.3719,2.5523,1.5829,0.574,0.5502,0.3628,0.1186,5.0135,-1.2711,0.5777,1.1176,1.7882,0.0142,-0.8,-0.1973,1.6714,0.3146,0.1003,-0.798,0.2533,1.3026,-0.6368,-0.7075
1avn,-1.8587,2.4686,-2.5171,-1.9328,-1.2799,-0.3725,-1.2156,0.2068,-0.6974,-2.0232,-0.9864,-2.0714,1.1443,-1.0889,-0.8125,-0.2557,-0.6245,-1.2207,-0.2354,-1.0475,-0.8914,-0.4039,0.7129
1ax0,-1.6719,2.3112,-3.2871,-1.0521,-1.0505,-1.0705,-1.2156,0.6033,-1.2711,-0.9124,0.2326,-0.1758,1.2211,-0.6977,-0.434,-0.7342,0.5625,0.3645,-0.798,-0.1803,-0.8914,-0.4039,0.0027
