%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 170 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.4408818209733085
%.kernel.kernels[0].lengthscales: [2.69717150e-01 2.33289401e+01 2.71773999e+00 2.12778908e+00 1.73589830e+00 3.44334926e+01 4.48059783e-01 5.37586079e-01 4.07972690e-01 4.73961644e+02 3.63433476e+00 3.20392195e-01 1.67155014e+00 9.07442734e-01 2.83797727e-01 3.36428252e+00 3.64825904e-01 2.32673595e+01 4.68134224e-01 3.33398010e+00]
%.kernel.kernels[1].variance: 0.05377302537866863
%.likelihood.variance: 1.000003997399691e-06
%loglikelihood: 1017.8437098774434
%RMSE:1.657
%Pearson_correlation_coefficient:0.689,P-value:0.000
%Spearman_correlation_coefficient:0.689,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.8331,2.3740,-0.1101,0.0948,0.3319,-0.761,-0.7479,0.0063,0.9426,0.6312,0.6585,0.6941,-0.7664,0.954,0.0314,0.3743,0.9751,0.4019,-0.8183,0.2661,1.5022,-0.6294,1.4692
1a30,-1.5236,2.4720,-2.2101,-0.1038,-0.3845,-2.0585,-0.415,3.3075,-1.3096,0.0304,0.2417,0.3764,-0.2423,0.9826,0.2066,0.8652,1.6021,0.9453,-0.8183,0.7119,-0.3757,-0.6294,-0.738
1a69,-0.6823,1.8057,-1.2101,-0.3423,-0.6439,-0.872,-1.2409,-0.4681,-0.606,-0.0242,-0.1508,-0.1669,0.4359,-0.7051,0.0042,-1.3285,0.2726,0.1302,-0.2495,0.2661,-0.9265,-0.3856,-0.0023
1abf,-0.7203,1.9149,-1.0901,-1.0489,-1.3089,-0.8701,-0.9373,0.4381,-1.3096,-0.8707,0.7902,-2.0064,1.6767,-0.7694,0.1041,-1.1291,0.2809,0.1302,-0.8183,-0.6255,-0.9265,-0.6294,-0.738
1ai5,-4.0896,0.6862,-2.7901,-0.9731,-1.182,-0.2147,-0.9944,0.4447,-0.0553,-1.0892,-0.9045,-0.8165,0.3588,0.9787,-0.7353,-0.0113,-0.6861,-0.6848,-0.8183,-0.6255,-0.4407,-0.6294,-0.738
1ajp,-1.8299,1.5589,-4.2801,-1.1059,-1.2403,-0.3712,-0.4377,0.4127,-0.5639,-1.1711,-0.848,-0.7891,0.513,0.9787,-0.8831,-0.3275,-0.0391,-0.1415,-0.8183,-0.8485,-0.9265,-0.3856,-0.738
1ajq,-2.9352,1.2461,-2.2001,-1.398,-1.3889,-0.1664,-0.7359,0.1005,-0.6071,-1.2257,-0.5327,-0.935,1.1912,0.9784,-0.6983,-0.3607,-0.6861,-0.6848,-0.8183,-1.2943,-0.6836,-0.6294,-0.738
1apw,0.5996,2.4737,1.4899,0.5461,0.5133,0.3207,0.086,4.745,-1.3096,0.5766,1.1301,1.7308,0.0583,-0.8075,-0.1581,1.6448,0.3554,0.1302,-0.8183,0.2661,1.2768,-0.6294,-0.738
1avn,-1.9668,2.3831,-2.6101,-1.9495,-1.314,-0.433,-1.2409,0.1901,-0.7377,-2.0449,-0.9782,-2.1375,1.1912,-1.0967,-0.7141,-0.3113,-0.6361,-1.2282,-0.2495,-1.0714,-0.9265,-0.3856,0.7335
1ax0,-2.0240,1.6715,-3.3801,-1.0728,-1.0849,-1.1484,-1.2409,0.5658,-1.3096,-0.9253,0.2433,-0.2376,1.2682,-0.7052,-0.372,-0.7969,0.6172,0.4019,-0.8183,-0.1797,-0.9265,-0.3856,-0.0023
