%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 126 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.3381470367477237
%.kernel.kernels[0].lengthscales: [3.43320744e-01 2.20308096e+01 4.27319698e+02 1.02270710e+00 4.78215673e-01 1.82852570e+01 3.24106587e-01 2.29915667e-01 2.95315233e+00 4.73960166e+02 6.96161636e+02 5.16529747e-01 1.33994610e+00 1.08039302e+00 2.32033908e-01 1.19034331e+03 3.54404965e-01 8.90127980e-01 9.40392210e-01 1.58498592e+00]
%.kernel.kernels[1].variance: 0.05243770013130295
%.likelihood.variance: 1e-06
%loglikelihood: 1939.443407180568
%RMSE:1.699
%Pearson_correlation_coefficient:0.666,P-value:0.000
%Spearman_correlation_coefficient:0.669,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.2715,2.3608,-0.0484,0.1182,0.3627,-0.7188,-0.7216,-0.0179,0.9709,0.6342,0.6612,0.7204,-0.8184,0.9846,0.0082,0.4029,0.9616,0.3936,-0.8404,0.274,1.53,-0.6433,1.304
1a30,-1.4140,2.3689,-2.1484,-0.079,-0.3555,-1.9918,-0.3986,3.3338,-1.2334,0.045,0.2425,0.4094,-0.2982,1.0138,0.1792,0.89,1.5798,0.9379,-0.8404,0.7257,-0.3481,-0.6433,-0.7257
1a69,-0.9387,2.2952,-1.1484,-0.3157,-0.6156,-0.8277,-1.2,-0.4997,-0.5448,-0.0086,-0.1515,-0.1225,0.3751,-0.7092,-0.0183,-1.2868,0.2689,0.1215,-0.2517,0.274,-0.899,-0.4067,-0.0491
1abf,-1.4173,1.9507,-1.0284,-1.0173,-1.2823,-0.8258,-0.9054,0.4205,-1.2334,-0.8389,0.7934,-1.9235,1.6069,-0.7748,0.0792,-1.089,0.2772,0.1215,-0.8404,-0.6296,-0.899,-0.6433,-0.7257
1ai5,-1.9286,1.8493,-2.7284,-0.942,-1.1551,-0.1828,-0.9608,0.4271,-0.0058,-1.0532,-0.9085,-0.7585,0.2986,1.0099,-0.7401,0.0203,-0.6762,-0.6949,-0.8404,-0.6296,-0.4132,-0.6433,-0.7257
1ajp,-1.1862,2.1641,-4.2184,-1.0739,-1.2135,-0.3364,-0.4206,0.3947,-0.5036,-1.1335,-0.8517,-0.7317,0.4516,1.0098,-0.8844,-0.2935,-0.0383,-0.1506,-0.8404,-0.8554,-0.899,-0.4067,-0.7257
1ajq,-2.9036,1.7679,-2.1384,-1.3638,-1.3625,-0.1354,-0.7099,0.0777,-0.5459,-1.1871,-0.5351,-0.8745,1.1249,1.0095,-0.704,-0.3265,-0.6762,-0.6949,-0.8404,-1.3072,-0.6561,-0.6433,-0.7257
1apw,0.7511,2.3692,1.5516,0.5662,0.5446,0.3425,0.0877,4.7933,-1.2334,0.5806,1.1348,1.7355,0.0002,-0.8137,-0.1768,1.6636,0.3506,0.1215,-0.8404,0.274,1.3045,-0.6433,-0.7257
1avn,-1.9799,2.3325,-2.5484,-1.9113,-1.2874,-0.397,-1.2,0.1686,-0.6737,-1.9906,-0.9825,-2.0518,1.1249,-1.1089,-0.7194,-0.2774,-0.627,-1.2392,-0.2517,-1.0813,-0.899,-0.4067,0.6274
1ax0,-1.8885,2.1504,-3.3184,-1.0409,-1.0577,-1.0989,-1.2,0.5501,-1.2334,-0.8925,0.2442,-0.1917,1.2014,-0.7092,-0.3856,-0.7594,0.6087,0.3936,-0.8404,-0.1778,-0.899,-0.4067,-0.0491
