%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 29 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.4688356166227385
%.kernel.kernels[0].lengthscales: [3.42031958e-01 2.21100742e+01 4.27319846e+02 1.31619805e+00 8.51175881e-01 1.52161354e+01 6.26910318e-01 3.08662733e-01 1.04860148e+00 4.73960223e+02 6.96161782e+02 3.11903238e-01 9.68000414e-01 7.18601728e-01 4.00058429e-01 1.19034322e+03 4.38402386e-01 7.60027196e-01 1.02050955e+00 8.14839052e-01]
%.kernel.kernels[1].variance: 0.058103226692495916
%.likelihood.variance: 1.0000021407208448e-06
%loglikelihood: 1934.7201432648308
%RMSE:1.643
%Pearson_correlation_coefficient:0.695,P-value:0.000
%Spearman_correlation_coefficient:0.695,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.1165,2.4945,-0.0450,0.1222,0.3574,-0.7053,-0.7351,-0.0262,0.9888,0.6408,0.643,0.7324,-0.7981,0.9611,0.0246,0.4259,0.9051,0.3639,-0.8216,0.2626,1.5408,-0.6117,1.4524
1a30,-1.3477,2.5014,-2.1450,-0.0709,-0.3436,-1.9746,-0.405,3.3566,-1.2566,0.0498,0.2299,0.4233,-0.2856,0.9902,0.2237,0.9189,1.4977,0.8917,-0.8216,0.6942,-0.342,-0.6117,-0.7196
1a69,-0.5302,2.3356,-1.1450,-0.3026,-0.5975,-0.8139,-1.2241,-0.5124,-0.5552,-0.004,-0.1589,-0.105,0.3776,-0.7274,-0.0063,-1.2846,0.2411,0.1,-0.2354,0.2626,-0.8943,-0.3826,0.0044
1abf,-0.7792,2.2397,-1.0250,-0.9893,-1.2483,-0.812,-0.923,0.4163,-1.2566,-0.8368,0.7735,-1.894,1.591,-0.7928,0.1073,-1.0844,0.249,0.1,-0.8216,-0.6007,-0.8943,-0.6117,-0.7196
1ai5,-3.5869,0.5230,-2.7250,-0.9155,-1.1241,-0.1709,-0.9796,0.423,-0.0061,-1.0517,-0.9059,-0.7367,0.3023,0.9862,-0.8469,0.0385,-0.6649,-0.6918,-0.8216,-0.6007,-0.4073,-0.6117,-0.7196
1ajp,-1.9370,1.9224,-4.2150,-1.0447,-1.1812,-0.324,-0.4275,0.3902,-0.5131,-1.1323,-0.8498,-0.7101,0.453,0.9862,-1.015,-0.2791,-0.0534,-0.164,-0.8216,-0.8165,-0.8943,-0.3826,-0.7196
1ajq,-3.6809,1.2882,-2.1350,-1.3284,-1.3266,-0.1237,-0.7232,0.0703,-0.5562,-1.1861,-0.5374,-0.852,1.1162,0.9859,-0.8048,-0.3125,-0.6649,-0.6918,-0.8216,-1.2481,-0.6508,-0.6117,-0.7196
1apw,0.4575,2.5215,1.5550,0.5607,0.535,0.3528,0.092,4.8296,-1.2566,0.5871,1.1103,1.7407,0.0083,-0.8316,-0.1908,1.702,0.3194,0.1,-0.8216,0.2626,1.3148,-0.6117,-0.7196
1avn,-1.9370,2.3884,-2.5450,-1.8644,-1.2532,-0.3845,-1.2241,0.1621,-0.6864,-1.992,-0.9789,-2.0215,1.1162,-1.1259,-0.8229,-0.2628,-0.6177,-1.2196,-0.2354,-1.0323,-0.8943,-0.3826,0.7284
1ax0,-2.4837,0.9720,-3.3150,-1.0124,-1.029,-1.0843,-1.2241,0.5471,-1.2566,-0.8905,0.2315,-0.1738,1.1916,-0.7274,-0.434,-0.7507,0.5668,0.3639,-0.8216,-0.1691,-0.8943,-0.3826,0.0044
