%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 29 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.454453636177722
%.kernel.kernels[0].lengthscales: [3.44461734e-01 2.21089666e+01 4.27319846e+02 2.14781972e+00 7.02173955e-01 1.52162904e+01 1.28938834e+00 2.57751482e-01 1.07626254e+00 4.73960223e+02 6.96161782e+02 2.33795918e-01 9.38334801e-01 1.10836107e+00 3.64983804e-01 1.19034322e+03 3.83978778e-01 1.23332467e+00 7.57570481e-01 1.07296781e+00]
%.kernel.kernels[1].variance: 0.04586403291737862
%.likelihood.variance: 1.000002813943959e-06
%loglikelihood: 2430.5112250685306
%RMSE:1.648
%Pearson_correlation_coefficient:0.694,P-value:0.000
%Spearman_correlation_coefficient:0.704,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.1014,2.4663,0.0038,0.1228,0.359,-0.7112,-0.7239,-0.0071,0.9632,0.6383,0.6493,0.7218,-0.7745,0.9479,0.0298,0.406,0.9469,0.372,-0.8361,0.2619,1.4854,-0.6245,1.4805
1a30,-1.3078,2.4864,-2.0962,-0.0742,-0.3505,-1.9742,-0.3942,3.462,-1.2617,0.0352,0.2352,0.4106,-0.2661,0.9773,0.2281,0.8944,1.5641,0.9142,-0.8361,0.7058,-0.3547,-0.6245,-0.7231
1a69,-0.8570,2.3974,-1.0962,-0.3106,-0.6074,-0.8192,-1.2122,-0.5057,-0.5667,-0.0196,-0.1546,-0.1215,0.3918,-0.7567,-0.001,-1.2881,0.2553,0.1009,-0.2318,0.2619,-0.8944,-0.399,0.0114
1abf,-0.1722,1.4525,-0.9762,-1.0113,-1.266,-0.8174,-0.9115,0.4467,-1.2617,-0.8695,0.7801,-1.9232,1.5954,-0.8227,0.1121,-1.0897,0.2635,0.1009,-0.8361,-0.6259,-0.8944,-0.6245,-0.7231
1ai5,-2.3652,1.7212,-2.6762,-0.9361,-1.1404,-0.1795,-0.968,0.4536,-0.0227,-1.0889,-0.9033,-0.7577,0.317,0.9733,-0.8378,0.0224,-0.6884,-0.7125,-0.8361,-0.6259,-0.4184,-0.6245,-0.7231
1ajp,-0.8579,1.3588,-4.1662,-1.0679,-1.1981,-0.3318,-0.4167,0.42,-0.5251,-1.1711,-0.8472,-0.7309,0.4665,0.9732,-1.0051,-0.2921,-0.0515,-0.1702,-0.8361,-0.8479,-0.8944,-0.399,-0.7231
1ajq,-2.7016,1.7933,-2.0862,-1.3574,-1.3452,-0.1325,-0.712,0.0919,-0.5677,-1.2259,-0.534,-0.8738,1.1244,0.9729,-0.7959,-0.3252,-0.6884,-0.7125,-0.8361,-1.2918,-0.6564,-0.6245,-0.7231
1apw,0.4611,2.5184,1.6038,0.5703,0.5387,0.3417,0.1021,4.9726,-1.2617,0.5835,1.1177,1.7372,0.0254,-0.8619,-0.1846,1.67,0.3368,0.1009,-0.8361,0.2619,1.2645,-0.6245,-0.7231
1avn,-2.2715,2.3430,-2.4962,-1.9043,-1.271,-0.3919,-1.2122,0.186,-0.6967,-2.0484,-0.9765,-2.0516,1.1244,-1.159,-0.8139,-0.276,-0.6392,-1.2547,-0.2318,-1.0699,-0.8944,-0.399,0.746
1ax0,-1.7724,2.2594,-3.2662,-1.0349,-1.0441,-1.0883,-1.2122,0.5808,-1.2617,-0.9244,0.2368,-0.1908,1.1991,-0.7567,-0.4267,-0.7592,0.5945,0.372,-0.8361,-0.182,-0.8944,-0.399,0.0114
1axz,-2.9968,1.6076,-3.1962,-1.2936,-1.2615,-1.1324,-1.2122,0.4612,-1.2617,-1.0889,0.1952,-1.906,1.5654,-0.7567,-0.6717,-1.2881,0.582,0.372,-0.8361,-0.404,-0.8944,-0.399,-0.7231
1b11,1.1236,0.8947,0.9938,0.2166,0.5076,0.5178,0.1151,-0.008,0.9632,-0.6228,0.376,0.8663,-0.7894,-0.1908,-0.2153,-0.4946,0.3011,0.1009,-0.2548,0.04,2.0251,-0.6245,-0.7231
1b39,-0.6895,2.4727,0.5238,0.7678,0.1393,-0.1069,-1.2122,-0.6222,-0.8697,0.9399,0.847,-0.1524,0.1525,1.3988,1.6931,-1.2881,-0.0168,2.2698,3.1909,2.2596,-0.8944,-0.399,-0.7231
1b7h,0.9894,2.2395,1.6238,0.814,0.1572,-1.2696,0.4658,4.0984,-1.2617,1.3237,1.8204,0.7687,0.4665,0.9521,1.0011,0.4078,1.0419,-0.1702,-0.8361,0.2619,-0.1225,4.7883,0.0114
1b8o,1.1866,2.0334,4.2438,-0.1989,-0.4796,-1.0792,-1.2122,-0.361,-0.3788,-0.1019,0.44,-0.034,0.4441,-0.7953,-0.5826,-0.9903,0.6008,-0.1702,-0.2318,0.04,-0.8944,0.9542,0.746
1b9j,0.9999,1.9891,-0.4362,0.8236,0.1394,-1.3138,0.7245,4.1629,-1.2617,1.2963,2.0578,0.7919,0.4665,0.9521,0.8808,0.4078,1.0419,-0.1702,-0.8361,0.2619,-0.3547,4.5628,0.0114
1bcu,-0.7975,0.9095,-3.1162,-0.8965,-0.6914,0.6375,0.1137,-0.3582,0.0535,-1.1711,-1.0503,-1.7317,0.0329,-0.7003,-1.2613,-0.2198,-0.5925,-1.2547,-0.2318,-1.0699,-0.4184,-0.6245,-0.7231
1bma,0.6648,2.3793,-1.8062,0.3724,0.7689,1.2406,0.3593,0.3153,0.7753,0.6658,-0.4577,0.98,-0.7969,0.0972,-0.1258,0.3125,-0.6436,-0.4414,-0.2793,-0.182,1.8509,-0.6245,0.0114
1bra,-1.7817,1.9219,-4.5762,-1.3742,-1.2382,-0.4052,-0.6818,0.3839,-0.1493,-1.1985,-1.2688,-2.0433,0.7655,-1.775,-0.737,-1.2881,-1.3056,-1.2547,-0.8361,-1.2918,-0.1804,-0.6245,1.4805
1bxo,1.2741,2.4145,3.6038,1.76,1.4375,0.6493,0.3317,0.5538,-0.1642,2.1462,0.7759,1.2099,-0.8268,0.0571,0.2702,1.5576,0.3137,1.1854,0.8523,1.1498,1.6767,-0.6245,-0.7231
1c84,0.1936,2.1396,-1.3962,-0.635,-0.7137,-0.4846,-0.2091,-0.0339,0.0386,-0.0471,0.2479,-0.4413,-0.4156,0.9171,0.2065,-1.0197,0.2598,0.1009,-0.8361,-0.404,0.0575,-0.1735,0.0114
1d7j,-1.8080,2.4135,-3.0962,-1.9274,-1.5036,-0.1578,-0.9115,1.2713,-1.2617,-1.9662,-1.0371,-0.6504,1.4683,-0.7307,-1.3522,-0.3337,-0.9871,-0.7125,-0.8361,-1.2918,-0.8944,-0.6245,-0.7231
1det,-1.6007,2.4447,-2.0962,-0.9262,-0.262,-0.664,-1.2122,-0.4273,-0.7438,-0.3486,0.6872,-0.0243,0.018,1.2229,-0.221,-1.2881,-0.0168,0.9142,0.3167,1.1498,-0.8944,0.7287,-0.7231
1df8,0.8473,1.2252,3.3038,-0.3862,-0.8837,-0.3098,-0.3732,-0.2352,-1.2617,-0.4583,0.0937,-0.1898,1.0646,0.9773,-0.3965,0.2544,-0.0264,-0.4414,-0.2548,-0.6259,-0.6434,-0.399,0.0114
1dhi,0.4357,1.4700,0.8638,0.2992,0.2824,-0.8809,0.4078,-0.5624,0.0318,-0.2664,0.0516,0.3418,-1.6566,0.9773,-0.4755,0.3419,1.2783,0.1009,0.3725,1.1498,-0.8944,0.2776,0.746
1e1v,0.4160,2.2045,-1.4762,-0.3929,-0.5726,0.4358,-0.3942,-0.5935,-1.0657,-0.7325,-0.6843,-1.6463,0.3618,0.1523,-0.3735,-0.5608,-0.3435,-0.9836,-0.2318,-0.404,-0.1414,1.1798,0.746
1e5a,-2.3615,0.8709,1.2438,-1.5142,-1.4055,0.9831,0.7163,0.2495,-0.4687,-1.9662,-1.2688,-2.0617,2.0888,0.4836,-1.2926,-1.0723,-0.9871,-0.9836,-0.8361,-1.5138,-0.267,-0.6245,-0.7231
1e66,0.6873,2.2585,3.4938,0.0474,-0.201,1.3438,1.2193,-0.5229,0.1697,0.1997,-1.2688,-1.3493,0.5936,-0.7088,-0.8022,0.8909,-0.949,-1.2547,-0.8361,-1.2918,0.2902,0.0521,-0.7231
1ela,1.3323,2.0817,-0.0362,0.1289,0.3361,0.5291,1.2193,0.0817,-0.3372,0.09,-0.1904,0.852,-0.2138,0.0972,-0.2534,0.5559,0.018,-0.4414,-0.8361,-0.182,0.1213,-0.6245,0.746
1elb,0.5339,2.4714,0.7538,0.0797,0.4197,0.6946,1.1983,1.2271,-0.3372,0.5287,-0.7153,0.8347,-0.2138,0.0972,0.593,0.4409,0.0435,-0.4414,-0.8361,-0.182,0.661,-0.1735,0.746
