%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 55 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.4864756352853465
%.kernel.kernels[0].lengthscales: [2.96540405e-01 2.21077140e+01 4.27319843e+02 2.34455447e+00 1.14475719e+00 1.51679122e+01 1.18278508e+00 1.15978342e-01 5.93500234e-01 4.73960222e+02 6.96161780e+02 6.15097285e-01 1.75754590e+00 5.41690995e-01 4.57798902e-01 1.19034322e+03 4.76543316e-01 1.96739974e+00 4.77060680e-01 1.00556959e+00]
%.kernel.kernels[1].variance: 0.050873354031659046
%.likelihood.variance: 1.0000102610510083e-06
%loglikelihood: 2852.1217710733963
%RMSE:1.648
%Pearson_correlation_coefficient:0.695,P-value:0.000
%Spearman_correlation_coefficient:0.699,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.3635,2.4923,-0.0457,0.1034,0.3356,-0.7,-0.7249,-0.0016,0.9828,0.6257,0.6621,0.7251,-0.7793,0.9623,0.0013,0.4016,0.9066,0.3426,-0.8207,0.2301,1.5417,-0.6382,1.4633
1a30,-1.2270,2.5177,-2.1457,-0.0944,-0.3717,-1.9638,-0.3975,3.4141,-1.2816,0.0274,0.2406,0.4149,-0.2668,0.9911,0.1862,0.8848,1.5031,0.8659,-0.8207,0.6621,-0.3568,-0.6382,-0.7497
1a69,-0.9738,2.4376,-1.1457,-0.3318,-0.6279,-0.8081,-1.2097,-0.4925,-0.5743,-0.027,-0.1562,-0.1156,0.3965,-0.7059,-0.0274,-1.2745,0.2382,0.081,-0.2385,0.2301,-0.9137,-0.3964,-0.012
1abf,-0.4556,1.3289,-1.0257,-1.0353,-1.2845,-0.8063,-0.9112,0.4452,-1.2816,-0.8701,0.7953,-1.9117,1.6099,-0.7705,0.078,-1.0783,0.2461,0.081,-0.8207,-0.634,-0.9137,-0.6382,-0.7497
1ai5,-3.3492,0.8182,-2.7257,-0.9598,-1.1592,-0.1679,-0.9673,0.452,-0.0205,-1.0877,-0.9185,-0.7498,0.3211,0.9871,-0.808,0.0221,-0.674,-0.7038,-0.8207,-0.634,-0.4226,-0.6382,-0.7497
1ajp,-1.6206,2.0881,-4.2157,-1.092,-1.2168,-0.3204,-0.4198,0.4189,-0.5319,-1.1693,-0.8613,-0.7231,0.4719,0.9871,-0.964,-0.2892,-0.0584,-0.1806,-0.8207,-0.85,-0.9137,-0.3964,-0.7497
1ajq,-2.8145,1.9123,-2.1357,-1.3827,-1.3635,-0.1209,-0.713,0.0958,-0.5753,-1.2237,-0.5425,-0.8656,1.1351,0.9868,-0.7689,-0.3219,-0.674,-0.7038,-0.8207,-1.282,-0.6681,-0.6382,-0.7497
1apw,0.3314,2.5459,1.5543,0.5526,0.5148,0.3536,0.0953,4.9015,-1.2816,0.5713,1.139,1.7374,0.0272,-0.8088,-0.1987,1.6522,0.317,0.081,-0.8207,0.2301,1.3138,-0.6382,-0.7497
1avn,-2.3411,2.3656,-2.5457,-1.9318,-1.2895,-0.3805,-1.2097,0.1885,-0.7066,-2.0395,-0.993,-2.0397,1.1351,-1.0995,-0.7856,-0.2732,-0.6264,-1.2271,-0.2385,-1.066,-0.9137,-0.3964,0.7257
1ax0,-1.7619,2.3254,-3.3157,-1.059,-1.0633,-1.0774,-1.2097,0.5773,-1.2816,-0.9245,0.2422,-0.1846,1.2105,-0.7059,-0.4245,-0.7513,0.566,0.3426,-0.8207,-0.2019,-0.9137,-0.3964,-0.012
1axz,-2.5099,2.2995,-3.2457,-1.3186,-1.28,-1.1215,-1.2097,0.4595,-1.2816,-1.0877,0.1999,-1.8946,1.5798,-0.7059,-0.6531,-1.2745,0.5539,0.3426,-0.8207,-0.418,-0.9137,-0.3964,-0.7497
1b11,0.5227,1.2667,0.9443,0.1975,0.4838,0.5298,0.1082,-0.0025,0.9828,-0.6253,0.3839,0.8692,-0.7944,-0.1521,-0.2274,-0.4895,0.2824,0.081,-0.2606,0.0141,2.0986,-0.6382,-0.7497
1b39,-1.9009,2.1784,0.4743,0.751,0.1165,-0.0953,-1.2097,-0.6073,-0.8826,0.9248,0.8634,-0.1464,0.1553,1.4036,1.5527,-1.2745,-0.0249,2.174,3.0591,2.1742,-0.9137,-0.3964,-0.7497
1b7h,1.0081,2.1154,1.5743,0.7973,0.1345,-1.2588,0.4565,4.0408,-1.2816,1.3056,1.8544,0.7719,0.4719,0.9665,0.9072,0.4034,0.9984,-0.1806,-0.8207,0.2301,-0.1173,5.1641,-0.012
1b8o,2.0492,2.1127,4.1943,-0.2197,-0.5004,-1.0683,-1.2097,-0.3501,-0.383,-0.1086,0.449,-0.0284,0.4492,-0.7436,-0.5699,-0.9799,0.5721,-0.1806,-0.2385,0.0141,-0.9137,1.0542,0.7257
1b9j,0.1449,1.5930,-0.4857,0.807,0.1167,-1.303,0.7133,4.1043,-1.2816,1.2784,2.096,0.795,0.4719,0.9665,0.795,0.4034,0.9984,-0.1806,-0.8207,0.2301,-0.3568,4.9224,-0.012
1bcu,-0.4515,1.0489,-3.1657,-0.92,-0.7116,0.6496,0.1068,-0.3473,0.057,-1.1693,-1.0681,-1.7208,0.0347,-0.6506,-1.203,-0.2176,-0.5813,-1.2271,-0.2385,-1.066,-0.4226,-0.6382,-0.7497
1bma,0.3383,2.1397,-1.8557,0.3539,0.7443,1.2531,0.3507,0.3158,0.7916,0.6529,-0.4648,0.9826,-0.8019,0.1298,-0.1438,0.3091,-0.6307,-0.4422,-0.2843,-0.2019,1.9188,-0.6382,-0.012
