%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 39 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.3868182365853934
%.kernel.kernels[0].lengthscales: [2.29766902e-01 2.21064245e+01 4.27319843e+02 1.50861476e+00 8.64735219e-01 1.51637570e+01 4.22557713e-01 1.53200204e-01 1.13942733e+00 4.73960221e+02 6.96161779e+02 4.29461208e-01 1.54113508e+00 6.96874833e-01 2.47556981e-01 1.19034322e+03 5.13150046e-01 1.60362942e+00 9.94204225e-01 2.05687315e+00]
%.kernel.kernels[1].variance: 0.05722036629563176
%.likelihood.variance: 1.0000027901166493e-06
%loglikelihood: 3127.854417811134
%RMSE:1.631
%Pearson_correlation_coefficient:0.704,P-value:0.000
%Spearman_correlation_coefficient:0.711,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.2612,2.4043,-0.0396,0.1053,0.3475,-0.6487,-0.726,-0.0244,0.9844,0.607,0.6423,0.7274,-0.7837,0.9973,-0.0131,0.4156,0.8449,0.3396,-0.8193,0.2168,1.56,-0.6402,1.4204
1a30,-1.4457,2.4138,-2.1396,-0.0893,-0.3641,-1.88,-0.3906,3.2401,-1.2507,0.0207,0.234,0.4197,-0.2693,1.0259,0.1485,0.9025,1.4139,0.8536,-0.8193,0.6496,-0.3406,-0.6402,-0.7308
1a69,-0.8384,2.3443,-1.1396,-0.3228,-0.6218,-0.754,-1.2227,-0.4936,-0.5525,-0.0326,-0.1504,-0.1064,0.3963,-0.6656,-0.0383,-1.2734,0.2073,0.0825,-0.2354,0.2168,-0.898,-0.4052,-0.0137
1abf,-0.6813,2.2565,-1.0196,-1.015,-1.2823,-0.7522,-0.9168,0.4026,-1.2507,-0.8587,0.7712,-1.8877,1.6141,-0.73,0.0539,-1.0757,0.2148,0.0825,-0.8193,-0.6486,-0.898,-0.6402,-0.7308
1ai5,-3.5158,0.9195,-2.7196,-0.9407,-1.1563,-0.1303,-0.9743,0.4091,-0.006,-1.0719,-0.8886,-0.7354,0.3207,1.022,-0.7208,0.0331,-0.6628,-0.6886,-0.8193,-0.6486,-0.4064,-0.6402,-0.7308
1ajp,-3.1735,1.1549,-4.2096,-1.0709,-1.2142,-0.2789,-0.4135,0.3775,-0.5107,-1.1519,-0.8333,-0.7088,0.472,1.022,-0.8573,-0.2805,-0.0756,-0.1745,-0.8193,-0.865,-0.898,-0.4052,-0.7308
1ajq,-3.1875,1.2211,-2.1296,-1.3569,-1.3618,-0.0845,-0.7138,0.0687,-0.5535,-1.2052,-0.5245,-0.8501,1.1376,1.0217,-0.6866,-0.3135,-0.6628,-0.6886,-0.8193,-1.2977,-0.6522,-0.6402,-0.7308
1apw,0.7585,2.4445,1.5604,0.5474,0.5276,0.3777,0.1143,4.6616,-1.2507,0.5537,1.1041,1.7313,0.0257,-0.7682,-0.1881,1.6757,0.2824,0.0825,-0.8193,0.2168,1.3318,-0.6402,-0.7308
1avn,-2.3625,2.3048,-2.5396,-1.8971,-1.2873,-0.3375,-1.2227,0.1573,-0.6831,-2.0046,-0.9608,-2.0146,1.1376,-1.058,-0.7013,-0.2644,-0.6175,-1.2026,-0.2354,-1.0813,-0.898,-0.4052,0.7033
1ax0,-1.9164,1.7397,-3.3096,-1.0383,-1.0598,-1.0163,-1.2227,0.5289,-1.2507,-0.912,0.2355,-0.1748,1.2132,-0.6656,-0.3855,-0.7462,0.52,0.3396,-0.8193,-0.2159,-0.898,-0.4052,-0.0137
