%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 36 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.4816068856186715
%.kernel.kernels[0].lengthscales: [2.52661282e-01 2.21056377e+01 4.27319842e+02 1.28836150e+00 1.67684940e+00 1.51682630e+01 4.37730582e-01 3.62363867e-01 9.11507566e-01 4.73960221e+02 6.96161779e+02 2.16669644e-01 1.41050412e+00 7.98173207e-01 2.74742858e-01 1.19034322e+03 4.23549335e-01 8.64054980e-01 7.01264957e-01 1.39049338e+00]
%.kernel.kernels[1].variance: 0.05705748879183804
%.likelihood.variance: 1.0000023391885907e-06
%loglikelihood: 3188.4814065511146
%RMSE:1.662
%Pearson_correlation_coefficient:0.688,P-value:0.000
%Spearman_correlation_coefficient:0.689,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.1083,2.4975,-0.0507,0.1144,0.3562,-0.6977,-0.7194,-0.0168,0.9946,0.6409,0.6243,0.7425,-0.8082,0.9702,0.0027,0.4119,0.9169,0.3667,-0.8234,0.2541,1.47,-0.6446,1.4635
1a30,-1.5480,2.5067,-2.1507,-0.081,-0.3531,-1.9526,-0.3911,3.3003,-1.2542,0.0416,0.2133,0.4324,-0.2913,0.9988,0.1751,0.8993,1.5261,0.9082,-0.8234,0.6941,-0.3457,-0.6446,-0.725
1a69,-0.6510,2.4566,-1.1507,-0.3155,-0.61,-0.805,-1.2056,-0.4935,-0.5517,-0.0129,-0.1737,-0.0977,0.3778,-0.6885,-0.024,-1.2788,0.2343,0.096,-0.2293,0.2541,-0.8783,-0.3917,0.0045
1abf,-0.6948,1.9518,-1.0307,-1.0107,-1.2684,-0.8032,-0.9062,0.4171,-1.2542,-0.8573,0.7542,-1.8928,1.6018,-0.7527,0.0743,-1.0808,0.2424,0.096,-0.8234,-0.6258,-0.8783,-0.6446,-0.725
1ai5,-1.8149,1.9673,-2.7307,-0.936,-1.1428,-0.1693,-0.9625,0.4237,-0.0018,-1.0752,-0.917,-0.7316,0.3018,0.9949,-0.7516,0.0291,-0.6972,-0.7162,-0.8234,-0.6258,-0.4086,-0.6446,-0.725
1ajp,-2.8308,1.5301,-4.2207,-1.0667,-1.2005,-0.3207,-0.4135,0.3916,-0.5096,-1.157,-0.8613,-0.7049,0.4538,0.9949,-0.897,-0.2848,-0.0685,-0.1747,-0.8234,-0.8458,-0.8783,-0.3917,-0.725
1ajq,-3.0929,1.3189,-2.1407,-1.354,-1.3476,-0.1226,-0.7075,0.0779,-0.5528,-1.2114,-0.5504,-0.8473,1.1229,0.9946,-0.7152,-0.3179,-0.6972,-0.7162,-0.8234,-1.2857,-0.6434,-0.6446,-0.725
1apw,0.6922,2.4712,1.5493,0.5583,0.5358,0.3485,0.1031,4.7446,-1.2542,0.5864,1.0894,1.7542,0.0053,-0.7909,-0.1837,1.6733,0.3148,0.096,-0.8234,0.2541,1.252,-0.6446,-0.725
1avn,-2.0954,2.4413,-2.5507,-1.8965,-1.2734,-0.3804,-1.2056,0.1679,-0.6831,-2.0287,-0.9897,-2.0207,1.1229,-1.0799,-0.7308,-0.2688,-0.6487,-1.2577,-0.2293,-1.0658,-0.8783,-0.3917,0.734
1ax0,-2.3760,1.3506,-3.3207,-1.0341,-1.0466,-1.0724,-1.2056,0.5454,-1.2542,-0.9118,0.2148,-0.1667,1.1989,-0.6885,-0.3942,-0.751,0.5691,0.3667,-0.8234,-0.1859,-0.8783,-0.3917,0.0045
1axz,-1.8631,2.2841,-3.2507,-1.2907,-1.2639,-1.1162,-1.2056,0.431,-1.2542,-1.0752,0.1736,-1.8757,1.5714,-0.6885,-0.6072,-1.2788,0.5568,0.3667,-0.8234,-0.4058,-0.8783,-0.3917,-0.725
1b11,0.2764,2.3548,0.9393,0.2075,0.5047,0.5236,0.1161,-0.0176,0.9946,-0.6122,0.353,0.8865,-0.8234,-0.1378,-0.2104,-0.4869,0.2795,0.096,-0.2518,0.0341,2.0025,-0.6446,-0.725
1b39,-1.1055,2.4684,0.4693,0.7543,0.1365,-0.0972,-1.2056,-0.6049,-0.858,0.9405,0.8206,-0.1284,0.1345,1.409,1.4487,-1.2788,-0.0343,2.2618,3.136,2.2339,-0.8783,-0.3917,-0.725
1b7h,0.8061,1.8620,1.5693,0.8001,0.1544,-1.2525,0.4653,3.9088,-1.2542,1.3219,1.787,0.7893,0.4538,0.9743,0.8471,0.4137,1.0107,-0.1747,-0.8234,0.2541,-0.1166,5.4262,0.0045
1b8o,1.8121,1.9812,4.1893,-0.2047,-0.4822,-1.0634,-1.2056,-0.3552,-0.3618,-0.0946,0.4166,-0.0105,0.431,-0.7261,-0.5297,-0.9816,0.5754,-0.1747,-0.2293,0.0341,-0.8783,1.126,0.734
1b9j,0.6083,1.8656,-0.4907,0.8097,0.1366,-1.2964,0.7228,3.9704,-1.2542,1.2947,2.0226,0.8124,0.4538,0.9743,0.7425,0.4137,1.0107,-0.1747,-0.8234,0.2541,-0.3457,5.1733,0.0045
1bcu,-0.8310,1.6429,-3.1707,-0.8968,-0.6939,0.6425,0.1146,-0.3525,0.0751,-1.157,-1.0629,-1.7019,0.0129,-0.6336,-1.1197,-0.2126,-0.6025,-1.2577,-0.2293,-1.0658,-0.4086,-0.6446,-0.725
1bma,0.5697,2.4173,-1.8607,0.362,0.7659,1.2418,0.3592,0.2915,0.8047,0.6681,-0.4746,0.9998,-0.8311,0.1424,-0.1326,0.3186,-0.653,-0.4455,-0.276,-0.1859,1.8306,-0.6446,0.0045
1bra,-2.2122,1.4256,-4.6307,-1.3707,-1.2406,-0.3935,-0.6775,0.3571,-0.1298,-1.1842,-1.2798,-2.0125,0.7579,-1.6794,-0.6639,-1.2788,-1.3064,-1.2577,-0.8234,-1.2857,-0.1738,-0.6446,1.4635
1bxo,1.1834,2.4992,3.5493,1.7386,1.4343,0.6543,0.3318,0.5195,-0.1449,2.1391,0.7501,1.2288,-0.8615,0.1034,0.2117,1.5611,0.2919,1.1789,0.8366,1.134,1.6587,-0.6446,-0.725
1c84,-1.1524,2.3236,-1.4507,-0.6373,-0.7163,-0.4725,-0.2068,-0.0424,0.0601,-0.0401,0.2258,-0.4163,-0.4433,0.9402,0.1563,-1.0109,0.2387,0.096,-0.8234,-0.4058,0.061,-0.1387,0.0045
1d7j,-1.9646,2.1080,-3.1507,-1.9194,-1.506,-0.1478,-0.9062,1.2056,-1.2542,-1.9469,-1.0498,-0.6246,1.4726,-0.6632,-1.1988,-0.3263,-0.9921,-0.7162,-0.8234,-1.2857,-0.8783,-0.6446,-0.725
1det,-1.6992,2.4346,-2.1507,-0.9262,-0.2647,-0.6507,-1.2056,-0.4186,-0.7307,-0.3398,0.662,-0.0008,-0.0024,1.2378,-0.2153,-1.2788,-0.0343,0.9082,0.3101,1.134,-0.8783,0.8731,-0.725
1df8,2.0204,1.1066,3.2493,-0.3905,-0.8862,-0.2988,-0.3701,-0.2349,-1.2542,-0.4487,0.0728,-0.1657,1.062,0.9988,-0.3679,0.2606,-0.0438,-0.4455,-0.2518,-0.6258,-0.6306,-0.3917,0.0045
1dhi,-0.0464,1.6371,0.8093,0.2894,0.2796,-0.8663,0.4075,-0.5478,0.0532,-0.258,0.031,0.3639,-1.7054,0.9988,-0.4366,0.3479,1.2441,0.096,0.3649,1.134,-0.8783,0.3672,0.734
1e1v,-0.0409,2.4837,-1.5307,-0.3972,-0.5752,0.442,-0.3911,-0.5775,-1.0561,-0.7211,-0.6995,-1.6169,0.3474,0.196,-0.3479,-0.5529,-0.3568,-0.9869,-0.2293,-0.4058,-0.1353,1.379,0.734
