%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 9 iterations, b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL'
%.kernel.kernels[0].variance: 2.116922304944794
%.kernel.kernels[0].lengthscales: [0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2]
%.kernel.kernels[1].variance: 0.04561346153198747
%.likelihood.variance: 0.27743333108366147
%loglikelihood: -97.41322412248672
%RMSE:1.987
%Pearson_correlation_coefficient:0.472,P-value:0.000
%Spearman_correlation_coefficient:0.529,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,1.0285,2.5498,0.2872,0.303,0.5889,-0.7166,-0.638,-0.0279,0.9015,0.7449,0.8983,0.8251,-1.0205,0.9088,0.1004,0.6746,1.8754,1.1731,-0.8109,0.7467,1.481,-0.4746,2.358
1a30,0.0959,2.9579,-1.8128,0.1124,-0.1367,-2.1185,-0.2305,3.7932,-1.207,0.1634,0.4114,0.5188,-0.4513,0.9374,0.3241,1.2571,2.8675,2.1346,-0.8109,1.3794,-0.3809,-0.4746,-0.8
1a69,-0.3266,2.2908,-0.8128,-0.1163,-0.3995,-0.8365,-1.2415,-0.5771,-0.5484,0.1105,-0.047,-0.0051,0.2855,-0.7488,0.0656,-1.3461,0.7636,0.6923,-0.0768,0.7467,-0.9271,-0.2194,0.2526
1abf,-0.8685,2.3873,-0.6928,-0.7942,-1.073,-0.8344,-0.8699,0.4719,-1.207,-0.709,1.0521,-1.7789,1.6334,-0.813,0.1932,-1.1095,0.7768,0.6923,-0.8109,-0.5189,-0.9271,-0.4746,-0.8
1ai5,-1.0864,2.2394,-2.3928,-0.7214,-0.9445,-0.1263,-0.9398,0.4795,-0.0328,-0.9204,-0.9275,-0.6315,0.2018,0.9335,-0.8788,0.217,-0.7535,-0.75,-0.8109,-0.5189,-0.4454,-0.4746,-0.8
1ajp,-1.1285,2.2339,-3.8828,-0.8489,-1.0035,-0.2954,-0.2583,0.4425,-0.5089,-0.9997,-0.8614,-0.6051,0.3692,0.9334,-1.0676,-0.1582,0.2704,0.2115,-0.8109,-0.8352,-0.9271,-0.2194,-0.8
1ajq,-1.3125,2.2307,-1.8028,-1.129,-1.154,-0.0742,-0.6233,0.0811,-0.5493,-1.0526,-0.4932,-0.7458,1.1059,0.9331,-0.8315,-0.1977,-0.7535,-0.75,-0.8109,-1.468,-0.6862,-0.4746,-0.8
1apw,0.9229,3.3451,1.8872,0.7359,0.7726,0.4521,0.3828,5.457,-1.207,0.692,1.4491,1.8249,-0.1247,-0.8511,-0.1417,2.1822,0.8947,0.6923,-0.8109,0.7467,1.2575,-0.4746,-0.8
1avn,-1.2148,2.4329,-2.2128,-1.6581,-1.0781,-0.3622,-1.2415,0.1847,-0.6716,-1.8456,-1.0135,-1.9053,1.1059,-1.14,-0.8518,-0.139,-0.6744,-1.7115,-0.0768,-1.1516,-0.9271,-0.2194,1.3053
1ax0,-0.7165,2.3602,-2.9828,-0.8171,-0.8461,-1.1352,-1.2415,0.6197,-1.207,-0.7618,0.4132,-0.0733,1.1897,-0.7488,-0.4149,-0.7153,1.3089,1.1731,-0.8109,0.1139,-0.9271,-0.2194,0.2526
1axz,-1.1685,2.4294,-2.9128,-1.0673,-1.0684,-1.1841,-1.2415,0.4879,-1.207,-0.9204,0.3644,-1.762,1.5999,-0.7488,-0.6914,-1.3461,1.2888,1.1731,-0.8109,-0.2025,-0.9271,-0.2194,-0.8
1b11,0.5025,2.3522,1.2772,0.3937,0.7408,0.6477,0.3989,-0.0289,0.9015,-0.471,0.577,0.9674,-1.0373,-0.1985,-0.1763,-0.3997,0.8373,0.6923,-0.1047,0.4303,2.0272,-0.4746,-0.8
1b39,0.3831,3.4564,0.8072,0.9271,0.3642,-0.0458,-1.2415,-0.7055,-0.8355,1.0357,1.1308,-0.0355,0.0176,1.3473,1.9773,-1.3461,0.3261,4.5385,4.081,3.5941,-0.9271,-0.2194,-0.8
1b7h,-0.1734,3.6703,1.9072,0.9717,0.3825,-1.3364,0.8324,4.4942,-1.207,1.4057,2.2755,0.8713,0.3692,0.9129,1.1964,0.6767,2.0281,0.2115,-0.8109,0.7467,-0.146,5.6491,0.2526
1b8o,-0.3882,2.3079,4.5272,-0.0083,-0.2687,-1.1251,-1.2415,-0.4177,-0.3703,0.0312,0.6522,0.081,0.3441,-0.7863,-0.5907,-0.991,1.3191,0.2115,-0.0768,0.4303,-0.9271,1.3115,1.3053
1b9j,-0.1500,3.6802,-0.1528,0.981,0.3643,-1.3854,1.1521,4.5652,-1.207,1.3793,2.5546,0.8942,0.3692,0.9129,1.0607,0.6767,2.0281,0.2115,-0.8109,0.7467,-0.3809,5.3939,0.2526
1bcu,-0.6660,2.3107,-2.8328,-0.6832,-0.4853,0.7806,0.3971,-0.4147,0.0394,-0.9997,-1.1003,-1.5903,-0.1164,-0.6939,-1.3567,-0.0719,-0.5993,-1.7115,-0.0768,-1.1516,-0.4454,-0.4746,-0.8
1bma,0.9481,2.2789,-1.5228,0.5445,1.0081,1.45,0.7007,0.3272,0.7234,0.7713,-0.4034,1.0794,-1.0457,0.0815,-0.0753,0.5631,-0.6815,-0.2692,-0.1345,0.1139,1.8509,-0.4746,0.2526
1bra,-0.8810,2.6185,-4.2928,-1.1453,-1.0445,-0.3768,-0.5861,0.4027,-0.1528,-1.0262,-1.3572,-1.8972,0.7041,-1.7391,-0.765,-1.3461,-1.7457,-1.7115,-0.8109,-1.468,-0.2046,-0.4746,2.358
1bxo,2.1957,2.5993,3.8872,1.8869,1.6919,0.7937,0.6667,0.5899,-0.1669,2.1988,1.0472,1.3057,-1.0792,0.0426,0.3716,2.0482,0.8574,2.6154,1.2401,2.0122,1.6746,-0.4746,-0.8
1c84,-0.3259,2.2327,-1.1128,-0.4301,-0.5082,-0.4651,-0.0018,-0.0575,0.0253,0.0841,0.4263,-0.3199,-0.6187,0.8788,0.2997,-1.026,0.7708,0.6923,-0.8109,-0.2025,0.0362,0.0357,0.2526
1d7j,-1.6368,2.3458,-2.8128,-1.6805,-1.316,-0.1023,-0.8699,1.3802,-1.207,-1.7663,-1.0848,-0.5258,1.4911,-0.7235,-1.4593,-0.2077,-1.2337,-0.75,-0.8109,-1.468,-0.9271,-0.4746,-0.8
1det,-0.9155,2.5126,-1.8128,-0.7119,-0.0462,-0.6641,-1.2415,-0.4908,-0.7161,-0.2067,0.9429,0.0907,-0.1331,1.1763,-0.1827,-1.3461,0.3261,2.1346,0.5895,2.0122,-0.9271,1.0563,-0.8
1df8,-0.3600,2.2466,3.5872,-0.1894,-0.682,-0.271,-0.2046,-0.2792,-1.207,-0.3124,0.2449,-0.0723,1.039,0.9374,-0.3808,0.4938,0.3107,-0.2692,-0.1047,-0.5189,-0.6731,-0.2194,0.2526
1dhi,0.5327,2.5652,1.1472,0.4737,0.5106,-0.9049,0.7607,-0.6397,0.0189,-0.1274,0.1955,0.4511,-2.0084,0.9374,-0.47,0.5981,2.4082,0.6923,0.6573,2.0122,-0.9271,0.546,1.3053
1e1v,-0.5369,2.3646,-1.1928,-0.1959,-0.3638,0.5566,-0.2305,-0.6739,-1.0212,-0.5768,-0.6699,-1.5063,0.252,0.1351,-0.3548,-0.4786,-0.1991,-1.2308,-0.0768,-0.2025,-0.1651,1.5666,1.3053
1e5a,-1.5372,2.5104,1.5272,-1.2807,-1.2157,1.1642,1.1419,0.2547,-0.4555,-1.7663,-1.3572,-1.9153,2.1859,0.4573,-1.392,-1.0888,-1.2337,-1.2308,-0.8109,-1.7844,-0.2922,-0.4746,-0.8
1e66,0.3229,2.5016,3.7772,0.23,0.0162,1.5646,1.7636,-0.5961,0.1495,0.322,-1.3572,-1.2139,0.5115,-0.7022,-0.8386,1.2529,-1.1725,-1.7115,-0.8109,-1.468,0.2717,0.2909,-0.8
1ela,0.8499,2.3400,0.2472,0.3089,0.5655,0.6602,1.7636,0.0699,-0.3308,0.2162,-0.0891,0.9534,-0.3926,0.0815,-0.2193,0.8534,0.382,-0.2692,-0.8109,0.1139,0.1007,-0.4746,1.3053
1elb,0.9029,2.4308,1.0372,0.2614,0.651,0.844,1.7377,1.3315,-0.3308,0.6392,-0.7064,0.9364,-0.3926,0.0815,0.7358,0.7162,0.4231,-0.2692,-0.8109,0.1139,0.6468,0.0357,1.3053
1f4e,-0.8761,2.2782,-3.1528,-0.6591,-0.4274,-0.1226,0.4769,-0.1197,-0.3308,-1.3169,-0.8812,0.4062,0.6287,0.9183,-1.1315,-0.2625,-0.7535,0.2115,0.429,-0.5189,-0.2237,-0.4746,-0.8
1f4f,0.3467,2.6270,-1.4928,0.4497,0.1502,-1.4599,1.452,-0.1781,-0.3308,-0.0481,-0.9911,0.5473,-0.7024,0.9374,0.4713,0.4799,1.763,2.6154,0.429,1.3794,-0.9271,0.2909,-0.8
1f4g,1.1448,2.7382,0.3672,1.1333,0.5268,-1.6279,1.452,-0.0993,-0.3308,1.0357,-0.1055,0.7765,-1.1461,0.9374,0.4252,1.8793,2.2951,3.0962,0.429,2.0122,-0.9271,0.546,-0.8
1f5k,-1.1224,2.4577,-2.3728,-1.1327,-1.0445,-0.3768,-0.5861,0.4027,-0.1528,-0.9469,-1.3572,-1.8972,0.7041,-1.7391,-0.8799,-1.3461,-1.7457,-1.7115,-0.8109,-1.468,-0.2046,-0.4746,0.2526
1fcx,0.5524,2.5361,1.0772,1.0544,0.695,1.4889,2.7857,-0.5213,1.2153,-0.1538,-0.7035,-0.2111,-0.4178,0.8797,-0.8635,-0.0843,-0.2415,-0.2692,-0.8109,-1.1516,1.8509,-0.2194,-0.8
1fcz,0.3887,2.3934,3.1072,0.8444,0.3853,1.3736,1.9002,-0.3062,1.0375,-0.3124,-0.6701,0.6634,-0.4429,0.8797,-0.836,0.2358,-0.7535,-0.2692,-0.8109,-1.1516,1.8513,-0.4746,-0.8
1fd0,0.7029,2.4624,2.2872,1.1352,0.7314,1.5382,2.5099,-0.5285,1.2153,-0.101,-0.6073,-0.2086,-0.828,0.8797,-0.724,0.5559,-0.2314,-0.2692,-0.8109,-0.8352,1.8156,0.0357,-0.8
1fh7,-0.5474,2.5174,-0.8728,-0.3893,-0.5697,-1.7521,-1.2415,-0.1478,-1.207,0.3748,0.508,-1.5128,1.5329,-0.8098,0.79,-1.3461,2.2948,1.6538,-0.8109,0.4303,-0.9271,2.0769,0.2526
