%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 28 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.3378235771956453
%.kernel.kernels[0].lengthscales: [0.19999967 0.20000038 0.20000002 0.19999841 0.19999994 0.2        0.19999875 0.20000005 0.19999973 0.19999991 0.19999986 0.20000019 0.19999999 0.20000059 0.20000043 0.2000005  0.19999918 0.1999999  0.1999999  0.19999969]
%.kernel.kernels[1].variance: 0.03653296442482081
%.likelihood.variance: 1.0000003066525527e-06
%loglikelihood: -88.86712712193759
%RMSE:2.108
%Pearson_correlation_coefficient:0.484,P-value:0.000
%Spearman_correlation_coefficient:0.519,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.0314,2.6743,-0.7090,0.0745,0.3245,-0.8716,-0.8943,0.0858,0.9149,0.6626,1.2214,0.7605,-0.8267,1.1459,0.179,0.3793,1.3898,0.7731,-0.8955,0.4238,1.8567,-0.8874,1.4481
1a30,-0.6690,2.7337,-2.8090,-0.1566,-0.456,-2.1925,-0.5138,2.6697,-1.6783,0.0316,0.6943,0.4644,-0.1875,1.1758,0.3786,0.8841,2.1575,1.3966,-0.8955,0.8844,-0.3724,-0.8874,-0.913
1a69,-0.3724,2.4763,-1.8090,-0.4338,-0.7387,-0.9846,-1.4578,-0.2856,-0.8682,-0.0258,0.198,-0.0419,0.6398,-0.5868,0.148,-1.3719,0.5296,0.4614,-0.2412,0.4238,-1.0262,-0.4982,-0.1259
1abf,-0.9593,2.6812,-1.6890,-1.2557,-1.4632,-0.9826,-1.1108,0.4237,-1.6783,-0.9151,1.388,-1.7562,2.1533,-0.6539,0.2619,-1.1669,0.5398,0.4614,-0.8955,-0.4974,-1.0262,-0.8874,-0.913
1ai5,-1.1338,2.5199,-3.3890,-1.1675,-1.3249,-0.3154,-1.1761,0.4289,-0.2341,-1.1445,-0.7552,-0.6473,0.5458,1.1717,-0.6945,-0.0173,-0.6443,-0.4739,-0.8955,-0.4974,-0.4496,-0.8874,-0.913
1ajp,-1.0923,2.5196,-4.8790,-1.322,-1.3884,-0.4748,-0.5398,0.4039,-0.8197,-1.2306,-0.6837,-0.6217,0.7338,1.1717,-0.8629,-0.3424,0.148,0.1496,-0.8955,-0.7277,-1.0262,-0.4982,-0.913
1ajq,-1.2082,2.5450,-2.7990,-1.6616,-1.5503,-0.2663,-0.8806,0.1595,-0.8694,-1.288,-0.285,-0.7577,1.5611,1.1714,-0.6523,-0.3766,-0.6443,-0.4739,-0.8955,-1.1883,-0.7379,-0.8874,-0.913
1apw,-0.0618,3.0050,0.8910,0.5993,0.5221,0.2296,0.0589,3.7949,-1.6783,0.6053,1.8178,1.7266,0.1792,-0.6938,-0.0369,1.6858,0.631,0.4614,-0.8955,0.4238,1.5891,-0.8874,-0.913
1avn,-1.4413,2.6045,-3.2090,-2.303,-1.4687,-0.5377,-1.4578,0.2296,-1.0198,-2.1485,-0.8484,-1.8783,1.5611,-0.9958,-0.6704,-0.3258,-0.5831,-1.0973,-0.2412,-0.958,-1.0262,-0.4982,0.6611
1ax0,-0.8102,2.5817,-3.9790,-1.2834,-1.2191,-1.266,-1.4578,0.5237,-1.6783,-0.9724,0.6963,-0.1078,1.6551,-0.5868,-0.2806,-0.8252,0.9515,0.7731,-0.8955,-0.0368,-1.0262,-0.4982,-0.1259
1axz,-1.0989,2.6791,-3.9090,-1.5867,-1.4582,-1.3121,-1.4578,0.4346,-1.6783,-1.1445,0.6434,-1.7399,2.1157,-0.5868,-0.5273,-1.3719,0.9359,0.7731,-0.8955,-0.2671,-1.0262,-0.4982,-0.913
1b11,0.3533,2.5853,0.2810,0.1844,0.4879,0.4139,0.0739,0.0851,0.9149,-0.6569,0.8735,0.898,-0.8455,-0.0116,-0.0678,-0.5517,0.5866,0.4614,-0.2661,0.1935,2.5106,-0.8874,-0.913
1b39,1.0313,2.9833,-0.1890,0.831,0.0827,-0.2396,-1.4578,-0.3724,-1.2214,0.9782,1.4731,-0.0713,0.339,1.6043,1.8535,-1.3719,0.1911,2.9554,3.4647,2.4965,-1.0262,-0.4982,-0.913
1b7h,0.5204,4.2290,0.9110,0.8851,0.1025,-1.4556,0.4786,3.1438,-1.6783,1.3798,2.7124,0.8051,0.7338,1.1502,1.1568,0.3811,1.508,0.1496,-0.8955,0.4238,-0.0912,8.4535,-0.1259
1b8o,-0.1147,2.5477,3.5310,-0.3029,-0.598,-1.2565,-1.4578,-0.1778,-0.6492,-0.1119,0.955,0.0413,0.7056,-0.6261,-0.4375,-1.0641,0.9594,0.1496,-0.2412,0.1935,-1.0262,1.837,0.6611
1b9j,0.5061,4.1223,-1.1490,0.8964,0.0829,-1.5018,0.7771,3.1918,-1.6783,1.3511,3.0146,0.8272,0.7338,1.1502,1.0357,0.3811,1.508,0.1496,-0.8955,0.4238,-0.3724,8.0643,-0.1259
1bcu,-0.8414,2.4725,-3.8290,-1.1211,-0.831,0.5391,0.0722,-0.1758,-0.1453,-1.2306,-0.9423,-1.574,0.1886,-0.5295,-1.1208,-0.2676,-0.525,-1.0973,-0.2412,-0.958,-0.4496,-0.8874,-0.913
1bma,0.2366,2.5248,-2.5190,0.3672,0.7754,1.1698,0.3556,0.3259,0.696,0.6913,-0.1879,1.0062,-0.8549,0.2812,0.0224,0.2826,-0.5886,-0.1621,-0.2926,-0.0368,2.2995,-0.8874,-0.1259
1bra,-1.5593,2.6018,-5.2890,-1.6813,-1.4325,-0.5515,-0.8458,0.377,-0.3817,-1.2593,-1.2205,-1.8705,1.1099,-1.622,-0.5929,-1.3719,-1.412,-1.0973,-0.8955,-1.1883,-0.1613,-0.8874,1.4481
1bxo,1.3556,2.6792,2.8910,1.9946,1.5109,0.5514,0.3239,0.5035,-0.399,2.2403,1.3827,1.2249,-0.8925,0.2405,0.421,1.5696,0.6022,1.7084,0.9326,1.345,2.0885,-0.8874,-0.913
1c84,-0.6184,2.4700,-2.1090,-0.8143,-0.8556,-0.6346,-0.3003,0.0658,-0.1627,-0.0545,0.7104,-0.3462,-0.3755,1.1146,0.3568,-1.0945,0.5351,0.4614,-0.8955,-0.2671,0.127,-0.109,-0.1259
1d7j,-1.5526,2.6491,-3.8090,-2.3301,-1.7246,-0.2928,-1.1108,1.038,-1.6783,-2.0625,-0.9255,-0.5451,1.9935,-0.5604,-1.2123,-0.3854,-1.0159,-0.4739,-0.8955,-1.1883,-1.0262,-0.8874,-0.913
1det,-0.1870,2.6646,-2.8090,-1.1559,-0.3586,-0.8222,-1.4578,-0.2272,-1.0746,-0.37,1.2697,0.0506,0.1698,1.4255,-0.0734,-1.3719,0.1911,1.3966,0.3527,1.345,-1.0262,1.4478,-0.913
1df8,-0.3461,2.4854,2.5910,-0.5225,-1.0426,-0.4517,-0.4896,-0.0842,-1.6783,-0.4848,0.5141,-0.1069,1.4859,1.1758,-0.2502,0.2226,0.1791,-0.1621,-0.2661,-0.4974,-0.7221,-0.4982,-0.1259
1dhi,0.2340,2.6087,0.1510,0.2813,0.2402,-1.0491,0.4117,-0.3279,-0.1706,-0.284,0.4605,0.399,-1.936,1.1758,-0.3298,0.3129,1.8021,0.4614,0.4131,1.345,-1.0262,0.6694,0.6611
1e1v,-0.5259,2.5636,-2.1890,-0.5304,-0.7003,0.328,-0.5138,-0.3511,-1.4499,-0.7716,-0.4763,-1.4927,0.6022,0.3372,-0.2271,-0.6201,-0.2153,-0.7856,-0.2412,-0.2671,-0.114,2.2262,0.6611
1e5a,-1.3567,2.7187,0.5310,-1.8455,-1.6167,0.9005,0.7676,0.2769,-0.754,-2.0625,-1.2205,-1.888,2.7738,0.6739,-1.1523,-1.1489,-1.0159,-0.7856,-0.8955,-1.4186,-0.2662,-0.8874,-0.913
1e66,-0.2295,2.5498,2.7810,-0.014,-0.2915,1.2778,1.3481,-0.2985,-0.0099,0.2037,-1.2205,-1.2102,0.8936,-0.5381,-0.6587,0.8805,-0.9685,-1.0973,-0.8955,-1.1883,0.4089,0.2802,-0.913
