%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 26 iterations, b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL'
%.kernel.kernels[0].variance: 1.9940275776438803
%.kernel.kernels[0].lengthscales: [1.80224165 0.20000038 0.20000002 0.19999841 0.19999994 0.2        1.80974558 0.57633248 0.19999973 0.19999991 0.19999986 1.0901143  0.19999999 0.20000059 0.20000043 0.2000005  0.19999918 0.1999999  0.1999999  3.66358661]
%.kernel.kernels[1].variance: 0.06746803045318175
%.likelihood.variance: 0.2909063422319563
%loglikelihood: -96.8062380548525
%RMSE:1.955
%Pearson_correlation_coefficient:0.520,P-value:0.000
%Spearman_correlation_coefficient:0.552,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.0904,2.3843,-0.3696,0.0321,0.2255,-0.9356,-0.7877,0.1609,0.9423,0.5799,0.6241,0.4676,-0.6737,0.8641,0.0694,0.2464,1.0008,0.3843,-1.2662,0.215,1.3284,-0.7959,1.1355
1a30,-0.6610,3.2031,-2.4696,-0.1605,-0.4409,-2.4066,-0.4594,4.9086,-1.3967,-0.0406,0.1962,0.1301,-0.1346,0.8863,0.2657,0.704,1.6581,0.9942,-1.2662,0.7394,-0.4026,-0.7959,-0.9672
1a69,-1.0231,2.1566,-1.4696,-0.3915,-0.6822,-1.0614,-1.274,-0.5215,-0.666,-0.097,-0.2067,-0.447,0.5631,-0.4246,0.0389,-1.3411,0.2643,0.0793,-0.4802,0.215,-0.9103,-0.4989,-0.2663
1abf,-1.2785,2.3615,-1.3496,-1.0763,-1.3008,-1.0592,-0.9746,0.7819,-1.3967,-0.9714,0.7593,-2.4013,1.8395,-0.4745,0.1509,-1.1553,0.273,0.0793,-1.2662,-0.8337,-0.9103,-0.7959,-0.9672
1ai5,-1.3263,2.2376,-3.0496,-1.0028,-1.1828,-0.3162,-1.0309,0.7913,-0.0941,-1.1971,-0.9805,-1.1371,0.4838,0.8833,-0.79,-0.1131,-0.7408,-0.8356,-1.2662,-0.8337,-0.4625,-0.7959,-0.9672
1ajp,-1.4802,2.2044,-4.5396,-1.1316,-1.237,-0.4937,-0.4818,0.7454,-0.6222,-1.2817,-0.9224,-1.108,0.6423,0.8833,-0.9557,-0.4079,-0.0625,-0.2257,-1.2662,-1.0959,-0.9103,-0.4989,-0.9672
1ajq,-1.2505,2.2252,-2.4596,-1.4146,-1.3752,-0.2615,-0.7758,0.2963,-0.6671,-1.3381,-0.5988,-1.263,1.34,0.883,-0.7485,-0.4389,-0.7408,-0.8356,-1.2662,-1.6203,-0.6864,-0.7959,-0.9672
1apw,1.3694,4.1336,1.2304,0.4694,0.3943,0.2907,0.0349,6.976,-1.3967,0.5235,1.1082,1.5691,0.1746,-0.5042,-0.143,1.4308,0.3511,0.0793,-1.2662,0.215,1.1205,-0.7959,-0.9672
1avn,-1.6347,2.3363,-2.8696,-1.9491,-1.3055,-0.5637,-1.274,0.4251,-0.8027,-2.1843,-1.0561,-2.5405,1.34,-0.7288,-0.7662,-0.3928,-0.6884,-1.4455,-0.4802,-1.3581,-0.9103,-0.4989,0.4346
1ax0,-1.2082,2.2393,-3.6396,-1.0994,-1.0924,-1.3748,-1.274,0.9655,-1.3967,-1.0278,0.1978,-0.5221,1.4193,-0.4246,-0.3828,-0.8456,0.6255,0.3843,-1.2662,-0.3094,-0.9103,-0.4989,-0.2663
