%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 9 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.194848719798393
%.kernel.kernels[0].lengthscales: [1.8011563  0.20000926 0.20000154 0.20000432 0.19999997 0.2        1.78917911 0.54856478 0.20000029 0.19999998 0.20003623 0.29504065 0.20001601 0.20000782 0.20002613 0.20000028 0.20000458 0.1999999  0.1999999  3.66358683]
%.kernel.kernels[1].variance: 0.1156829258968552
%.likelihood.variance: 0.2979726080907796
%loglikelihood: -101.68383596086716
%RMSE:1.868
%Pearson_correlation_coefficient:0.596,P-value:0.000
%Spearman_correlation_coefficient:0.612,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.2915,2.7253,0.3274,0.1659,0.4471,-0.4596,-0.64,-0.3087,1.3879,0.5704,0.4692,0.7499,-0.9613,0.8847,-0.0974,0.4848,0.9366,0.3158,-0.6818,0.2951,1.5051,-0.5431,1.4696
1a30,-1.7799,2.6660,-1.7726,-0.0476,-0.2459,-1.6156,-0.3521,2.1896,-1.0644,-0.0116,0.0799,0.4279,-0.4296,0.9148,0.1295,1.0124,1.6488,0.825,-0.6818,0.7635,-0.2104,-0.5431,-0.5906
1a69,-0.8652,2.3862,-0.7726,-0.3039,-0.4968,-0.5585,-1.0666,-0.6677,-0.2983,-0.0646,-0.2867,-0.1227,0.2585,-0.8617,-0.1326,-1.3453,0.1385,0.0611,-0.0346,0.2951,-0.7135,-0.3734,0.0961
1abf,-1.5470,2.4668,-0.6526,-1.0636,-1.14,-0.5568,-0.8039,0.0181,-1.0644,-0.8848,0.5922,-1.9871,1.5175,-0.9293,-0.0032,-1.131,0.148,0.0611,-0.6818,-0.6417,-0.7135,-0.5431,-0.5906
1ai5,-1.3473,2.4507,-2.3526,-0.9821,-1.0173,0.027,-0.8533,0.0231,0.3013,-1.0964,-0.9907,-0.781,0.1803,0.9107,-1.0901,0.0704,-0.9505,-0.7028,-0.6818,-0.6417,-0.2698,-0.5431,-0.5906
1ajp,-1.2582,2.3864,-3.8426,-1.1249,-1.0737,-0.1124,-0.3717,-0.0011,-0.2524,-1.1758,-0.9379,-0.7533,0.3367,0.9107,-1.2816,-0.2694,-0.2155,-0.1935,-0.6818,-0.8759,-0.7135,-0.3734,-0.5906
1ajq,-1.1254,2.4020,-1.7626,-1.4388,-1.2174,0.07,-0.6296,-0.2374,-0.2995,-1.2287,-0.6435,-0.9012,1.0248,0.9104,-1.0422,-0.3052,-0.9505,-0.7028,-0.6818,-1.3443,-0.4917,-0.5431,-0.5906
1apw,-0.2944,3.2787,1.9274,0.6511,0.6225,0.504,0.0814,3.2775,-1.0644,0.5175,0.9097,1.8007,-0.1246,-0.9695,-0.3428,1.8502,0.2326,0.0611,-0.6818,0.2951,1.2992,-0.5431,-0.5906
1avn,-1.5632,2.6218,-2.1726,-2.0318,-1.1449,-0.1674,-1.0666,-0.1696,-0.4416,-2.0225,-1.0595,-2.1199,1.0248,-1.2739,-1.0627,-0.252,-0.8938,-1.2121,-0.0346,-1.1101,-0.7135,-0.3734,0.7829
1ax0,-1.3914,2.4073,-2.9426,-1.0892,-0.9233,-0.8048,-1.0666,0.1147,-1.0644,-0.9377,0.0814,-0.1944,1.103,-0.8617,-0.6197,-0.774,0.53,0.3158,-0.6818,-0.1733,-0.7135,-0.3734,0.0961
1axz,-1.9828,2.4742,-2.8726,-1.3696,-1.1356,-0.8451,-1.0666,0.0286,-1.0644,-1.0964,0.0423,-1.9693,1.4862,-0.8617,-0.9001,-1.3453,0.5155,0.3158,-0.6818,-0.4075,-0.7135,-0.3734,-0.5906
1b11,0.1418,2.5934,1.3174,0.2676,0.5921,0.6652,0.0928,-0.3093,1.3879,-0.6466,0.2123,0.8995,-0.977,-0.2819,-0.3779,-0.4882,0.1914,0.0611,-0.0592,0.0609,2.0083,-0.5431,-0.5906
1b39,0.3107,2.9830,0.8474,0.8653,0.2324,0.0934,-1.0666,-0.7517,-0.6323,0.8615,0.6551,-0.1546,0.0083,1.3467,1.8057,-1.3453,-0.1755,2.0982,3.6311,2.4028,-0.7135,-0.3734,-0.5906
1b7h,0.9963,1.7529,1.9474,0.9153,0.25,-0.9707,0.3992,2.648,-1.0644,1.2319,1.5705,0.7985,0.3367,0.8891,1.0139,0.4868,1.0462,-0.1935,-0.6818,0.2951,0.006,3.53,0.0961
