%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 6 iterations, b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL'
%.kernel.kernels[0].variance: 1.4053092255057296
%.kernel.kernels[0].lengthscales: [1.8011563  0.20000926 0.20000154 0.20000432 0.19999997 0.2        1.78917911 0.54856478 0.20000029 0.19999998 0.20003623 0.29504065 0.20001601 0.20000782 0.20002613 0.20000028 0.20000458 0.1999999  0.1999999  3.66358683]
%.kernel.kernels[1].variance: 0.08536990425069728
%.likelihood.variance: 0.16746504216703606
%loglikelihood: -91.040068784824
%RMSE:1.880
%Pearson_correlation_coefficient:0.553,P-value:0.000
%Spearman_correlation_coefficient:0.573,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.1003,1.8375,-0.3924,0.0219,0.2897,-0.9973,-0.7728,0.0007,0.8289,0.695,0.9725,0.6449,-0.6619,1.323,0.0799,0.3778,1.2136,0.7923,-1.0083,0.502,1.6553,-0.7573,1.11
1a30,-2.0162,1.9231,-2.4924,-0.1728,-0.4245,-2.5615,-0.4494,2.8867,-1.3216,0.022,0.4625,0.3284,-0.1652,1.3583,0.2757,0.8578,1.9774,1.5768,-1.0083,1.1624,-0.3444,-0.7573,-0.6426
1a69,-0.7961,1.5315,-1.4924,-0.4065,-0.6831,-1.1311,-1.2517,-0.4141,-0.6498,-0.0392,-0.0176,-0.2128,0.4776,-0.7254,0.0495,-1.2875,0.3579,0.4001,-0.0842,0.502,-0.9309,-0.3967,-0.0584
1abf,-1.9882,1.7257,-1.3724,-1.0992,-1.346,-1.1288,-0.9568,0.3782,-1.3216,-0.9874,1.1335,-2.0451,1.6536,-0.8047,0.1611,-1.0926,0.368,0.4001,-1.0083,-0.819,-0.9309,-0.7573,-0.6426
1ai5,-1.7784,1.6353,-3.0724,-1.0248,-1.2195,-0.3387,-1.0122,0.3839,-0.1239,-1.2322,-0.9397,-0.8598,0.4045,1.3535,-0.777,0.0007,-0.8099,-0.7766,-1.0083,-0.819,-0.4137,-0.7573,-0.6426
1ajp,-2.1102,1.5857,-4.5624,-1.155,-1.2776,-0.5274,-0.4715,0.356,-0.6096,-1.3239,-0.8706,-0.8325,0.5506,1.3535,-0.9422,-0.3085,-0.0218,0.0078,-1.0083,-1.1492,-0.9309,-0.3967,-0.6426
1ajq,-2.0118,1.6271,-2.4824,-1.4413,-1.4257,-0.2805,-0.7611,0.083,-0.6508,-1.3851,-0.4849,-0.9779,1.1934,1.3531,-0.7356,-0.3411,-0.8099,-0.7766,-1.0083,-1.8097,-0.6723,-0.7573,-0.6426
1apw,0.3051,2.1269,1.2076,0.4642,0.4705,0.3067,0.0374,4.1434,-1.3216,0.6338,1.5494,1.6776,0.1196,-0.8518,-0.1319,1.6202,0.4587,0.4001,-1.0083,0.502,1.4152,-0.7573,-0.6426
1avn,-1.3386,1.7221,-2.8924,-1.9819,-1.351,-0.6019,-1.2517,0.1613,-0.7755,-2.3028,-1.0299,-2.1756,1.1934,-1.2088,-0.7533,-0.2927,-0.7491,-1.5611,-0.0842,-1.4795,-0.9309,-0.3967,0.5258
1ax0,-1.7747,1.5960,-3.6624,-1.1225,-1.1227,-1.4643,-1.2517,0.4898,-1.3216,-1.0486,0.4644,-0.2832,1.2665,-0.7254,-0.371,-0.7677,0.7776,0.7923,-1.0083,-0.1585,-0.9309,-0.3967,-0.0584
