%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 13 iterations, b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL'
%.kernel.kernels[0].variance: 2.2680244072381095
%.kernel.kernels[0].lengthscales: [1.80115845 0.20001043 0.2000051  0.2000898  0.20001949 0.20001325 1.78918061 0.54856524 0.20000048 0.20000939 0.20009996 0.29508087 0.20005487 0.20007153 0.20006083 0.20000029 0.20003134 0.1999999  0.1999999  3.66358683]
%.kernel.kernels[1].variance: 0.05581607620146417
%.likelihood.variance: 1.0000004925046341e-06
%loglikelihood: -89.35003536369646
%RMSE:2.064
%Pearson_correlation_coefficient:0.406,P-value:0.000
%Spearman_correlation_coefficient:0.449,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.3579,2.6087,-0.2110,0.0929,0.3911,-0.8838,-0.7187,-0.0037,0.9867,0.5101,0.5147,0.5548,-0.8906,0.8351,0.0852,0.408,1.6318,0.5937,-0.9858,0.477,1.8702,-0.7873,0.9487
1a30,-0.6980,2.9031,-2.3110,-0.1038,-0.3603,-2.3727,-0.4105,3.544,-1.3245,-0.0153,0.1769,0.2492,-0.3313,0.8614,0.2964,0.968,2.5262,1.2254,-0.9858,1.0317,-0.2645,-0.7873,-0.6325
1a69,-0.1420,2.4758,-1.3110,-0.3398,-0.6325,-1.0112,-1.1751,-0.5136,-0.6025,-0.063,-0.141,-0.2735,0.3925,-0.6912,0.0524,-1.5347,0.6296,0.2779,-0.4028,0.477,-0.8907,-0.4261,-0.1054
1abf,-1.5798,2.5538,-1.1910,-1.0395,-1.33,-1.009,-0.894,0.4604,-1.3245,-0.8034,0.6214,-2.0434,1.7167,-0.7503,0.1728,-1.3072,0.6415,0.2779,-0.9858,-0.6323,-0.8907,-0.7873,-0.6325
1ai5,-1.3013,2.4307,-2.8910,-0.9644,-1.1969,-0.257,-0.9469,0.4674,-0.0374,-0.9945,-0.7518,-0.8985,0.3102,0.8578,-0.839,-0.0319,-0.738,-0.6695,-0.9858,-0.6323,-0.3385,-0.7873,-0.6325
1ajp,-1.2339,2.4061,-4.3810,-1.0959,-1.258,-0.4366,-0.4316,0.4331,-0.5592,-1.0661,-0.706,-0.8721,0.4747,0.8578,-1.0172,-0.3927,0.185,-0.0379,-0.9858,-0.9097,-0.8907,-0.4261,-0.6325
1ajq,-1.6494,2.4285,-2.3010,-1.385,-1.4138,-0.2016,-0.7075,0.0975,-0.6036,-1.1139,-0.4506,-1.0125,1.1985,0.8575,-0.7944,-0.4306,-0.738,-0.6695,-0.9858,-1.4643,-0.6146,-0.7873,-0.6325
1apw,-0.6799,3.5595,1.3890,0.5397,0.5813,0.3574,0.0533,5.0889,-1.3245,0.4624,0.8968,1.5523,-0.0105,-0.7854,-0.1432,1.8573,0.7478,0.2779,-0.9858,0.477,1.6139,-0.7873,-0.6325
1avn,-1.9064,2.5429,-2.7110,-1.9311,-1.3353,-0.5074,-1.1751,0.1938,-0.7376,-1.8303,-0.8115,-2.1695,1.1985,-1.0514,-0.8135,-0.3742,-0.6667,-1.3012,-0.4028,-1.187,-0.8907,-0.4261,0.4216
1ax0,-0.9737,2.5098,-3.4810,-1.0631,-1.095,-1.3284,-1.1751,0.5976,-1.3245,-0.8512,0.1782,-0.3415,1.2808,-0.6912,-0.4011,-0.9282,1.1212,0.5937,-0.9858,-0.0777,-0.8907,-0.4261,-0.1054
1axz,-1.3671,2.6076,-3.4110,-1.3213,-1.3251,-1.3803,-1.1751,0.4752,-1.3245,-0.9945,0.1443,-2.0265,1.6838,-0.6912,-0.6621,-1.5347,1.103,0.5937,-0.9858,-0.355,-0.8907,-0.4261,-0.6325
1b11,0.4196,2.5426,0.7790,0.1866,0.5484,0.5651,0.0655,-0.0046,0.9867,-0.5885,0.2918,0.6968,-0.907,-0.1845,-0.1759,-0.6249,0.696,0.2779,-0.425,0.1997,2.4964,-0.7873,-0.6325
1b39,1.7837,3.1830,0.3090,0.737,0.1583,-0.1715,-1.1751,-0.6328,-0.9173,0.7728,0.676,-0.3038,0.1293,1.2388,1.8569,-1.5347,0.2352,2.8045,2.899,2.973,-0.8907,-0.4261,-0.6325
1b7h,-0.0343,4.5498,1.4090,0.7831,0.1774,-1.5421,0.3933,4.1949,-1.3245,1.1072,1.4701,0.601,0.4747,0.8389,1.1198,0.41,1.7695,-0.0379,-0.9858,0.477,0.0048,7.88,-0.1054
1b8o,0.0684,2.5525,4.0290,-0.2283,-0.4971,-1.3177,-1.1751,-0.3656,-0.4073,-0.1347,0.344,-0.1876,0.4501,-0.7258,-0.5671,-1.1933,1.1304,-0.0379,-0.4028,0.1997,-0.8907,1.7407,0.4216
