%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 41 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.628182034953748
%.kernel.kernels[0].lengthscales: [4.12866646e+02 2.00012004e-01 2.00021216e-01 2.00091780e-01 2.00036739e-01 2.00013333e-01 1.23833724e+03 6.71884047e+03 2.00053887e-01 2.00031667e-01 2.00101982e-01 1.11013537e+03 2.00057301e-01 2.00135299e-01 2.00093130e-01 2.00090823e-01 2.00053641e-01 2.00002572e-01 2.00238194e-01 3.66358684e+00]
%.kernel.kernels[1].variance: 0.027980563326201323
%.likelihood.variance: 1e-06
%loglikelihood: -96.67676824522408
%RMSE:2.028
%Pearson_correlation_coefficient:0.516,P-value:0.000
%Spearman_correlation_coefficient:0.553,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.0827,2.8472,0.2860,0.2958,0.4106,-0.7799,-0.5061,0.0316,0.9086,0.8562,0.7284,0.8412,-0.8257,0.9743,-0.1291,0.4726,1.282,0.2779,-0.933,0.1419,1.4629,-0.6053,1.6203
1a30,-0.5639,3.0725,-1.8140,0.0685,-0.3322,-2.2555,-0.1581,3.4913,-1.0024,0.1081,0.2428,0.5032,-0.2967,1.004,0.0144,0.9424,2.1158,0.9096,-0.933,0.6489,-0.3044,-0.6053,-0.7394
1a69,-0.4656,2.7289,-0.8140,-0.2044,-0.6012,-0.9061,-1.0215,-0.4656,-0.4054,0.0401,-0.2143,-0.0747,0.3879,-0.7476,-0.1514,-1.1573,0.3478,-0.0379,-0.3581,0.1419,-0.8228,-0.3198,0.0472
1abf,-0.6950,2.8305,-0.6940,-1.0131,-1.2907,-0.9039,-0.7041,0.4842,-1.0024,-1.014,0.8818,-2.0314,1.6404,-0.8142,-0.0696,-0.9664,0.3589,-0.0379,-0.933,-0.8719,-0.8228,-0.6053,-0.7394
1ai5,-0.4570,2.7502,-2.3940,-0.9263,-1.1592,-0.1586,-0.7638,0.491,0.0619,-1.286,-1.0924,-0.7656,0.3101,1.0,-0.7572,0.1035,-0.927,-0.9854,-0.933,-0.8719,-0.3656,-0.6053,-0.7394
1ajp,-0.4769,2.7304,-3.8840,-1.0784,-1.2196,-0.3366,-0.1818,0.4575,-0.3697,-1.388,-1.0266,-0.7365,0.4657,1.0,-0.8783,-0.1991,-0.0666,-0.3537,-0.933,-1.1254,-0.8228,-0.3198,-0.7394
1ajq,-0.5031,2.7789,-1.8040,-1.4125,-1.3736,-0.1037,-0.4935,0.1303,-0.4063,-1.456,-0.6593,-0.8917,1.1503,0.9996,-0.7269,-0.231,-0.927,-0.9854,-0.933,-1.6323,-0.5942,-0.6053,-0.7394
1apw,0.3222,3.3809,1.8860,0.8122,0.5987,0.4503,0.3658,4.9978,-1.0024,0.7882,1.2778,1.9441,0.0067,-0.8538,-0.2844,1.6885,0.458,-0.0379,-0.933,0.1419,1.2507,-0.6053,-0.7394
1avn,-0.5848,2.8645,-2.2140,-2.0437,-1.296,-0.4069,-1.0215,0.2242,-0.5171,-2.4761,-1.1782,-2.1708,1.1503,-1.1539,-0.7399,-0.1836,-0.8606,-1.617,-0.3581,-1.3788,-0.8228,-0.3198,0.8337
1ax0,-0.6526,2.7571,-2.9840,-1.0404,-1.0584,-1.2205,-1.0215,0.618,-1.0024,-1.082,0.2447,-0.1498,1.2281,-0.7476,-0.4596,-0.6485,0.8061,0.2779,-0.933,-0.365,-0.8228,-0.3198,0.0472
