%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 16 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.75067557201399
%.kernel.kernels[0].lengthscales: [4.12866646e+02 1.99885282e-01 1.95445651e-01 2.02175530e-01 2.00045487e-01 2.00013309e-01 1.23833724e+03 6.71884047e+03 1.99522221e-01 2.00049268e-01 1.94294428e-01 1.11013537e+03 2.01613558e-01 2.00166669e-01 1.90378336e-01 2.00147820e-01 2.00048812e-01 1.92555968e-01 5.03278906e-02 3.65626663e+00]
%.kernel.kernels[1].variance: 0.005986070155160698
%.likelihood.variance: 0.19590776096776577
%loglikelihood: -88.83303368066375
%RMSE:2.185
%Pearson_correlation_coefficient:0.474,P-value:0.000
%Spearman_correlation_coefficient:0.490,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.0264,1.8017,0.1222,0.0215,0.3169,-0.758,-0.6585,0.1692,0.8994,0.3611,0.6322,0.7655,-0.6757,0.7874,-0.1505,0.7503,0.9155,0.0042,-1.0373,-0.1043,1.528,-0.6652,0.9912
1a30,-0.1642,1.9158,-1.9778,-0.1614,-0.459,-2.1569,-0.2817,4.4645,-1.3063,-0.1929,0.2132,0.4368,-0.1265,0.8164,0.0376,1.2601,1.5124,0.4236,-1.0373,0.282,-0.2439,-0.6652,-0.9912
1a69,-0.0577,1.7827,-0.9778,-0.3809,-0.74,-0.8777,-1.2167,-0.4482,-0.6173,-0.2433,-0.1813,-0.1253,0.5843,-0.8936,-0.1797,-1.0183,0.2466,-0.2055,-0.5882,-0.1043,-0.7636,-0.4132,-0.3304
1abf,-0.2200,1.8392,-0.8578,-1.0315,-1.4603,-0.8757,-0.873,0.731,-1.3063,-1.024,0.7646,-2.0286,1.8846,-0.9588,-0.0724,-0.8112,0.2545,-0.2055,-1.0373,-0.8768,-0.7636,-0.6652,-0.9912
1ai5,-0.1558,1.8056,-2.5578,-0.9617,-1.3228,-0.1691,-0.9376,0.7395,-0.0779,-1.2255,-0.939,-0.7974,0.5035,0.8125,-0.974,0.3498,-0.6662,-0.8346,-1.0373,-0.8768,-0.3053,-0.6652,-0.9912
1ajp,-0.2076,1.8039,-4.0478,-1.084,-1.3859,-0.3378,-0.3074,0.6979,-0.576,-1.301,-0.8822,-0.769,0.665,0.8124,-1.1328,0.0214,-0.0502,-0.4152,-1.0373,-1.07,-0.7636,-0.4132,-0.9912
1ajq,-0.2200,1.8163,-1.9678,-1.3529,-1.5468,-0.1171,-0.6449,0.2917,-0.6183,-1.3514,-0.5653,-0.92,1.3758,0.8121,-0.9342,-0.0132,-0.6662,-0.8346,-1.0373,-1.4562,-0.5344,-0.6652,-0.9912
1apw,0.1185,2.0396,1.7222,0.437,0.5133,0.4081,0.2857,6.3348,-1.3063,0.3108,1.1063,1.8382,0.1885,-0.9974,-0.3541,2.0697,0.3254,-0.2055,-1.0373,-0.1043,1.3152,-0.6652,-0.9912
1avn,-0.0847,1.8425,-2.3778,-1.8607,-1.4657,-0.4044,-1.2167,0.4082,-0.7462,-2.1069,-1.0131,-2.1641,1.3758,-1.2904,-0.9512,0.0382,-0.6187,-1.254,-0.5882,-1.2631,-0.7636,-0.4132,0.3304
1ax0,-0.1397,1.8116,-3.1478,-1.0535,-1.2176,-1.1757,-1.2167,0.8971,-1.3063,-1.0744,0.2148,-0.1985,1.4566,-0.8937,-0.5838,-0.4662,0.5746,0.0042,-1.0373,-0.4906,-0.7636,-0.4132,-0.3304
