%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 7 iterations, b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL'
%.kernel.kernels[0].variance: 1.4144015872250162
%.kernel.kernels[0].lengthscales: [4.12866646e+02 1.99885282e-01 1.95445651e-01 2.02175530e-01 2.00045487e-01 2.00013309e-01 1.23833724e+03 6.71884047e+03 1.99522221e-01 2.00049268e-01 1.94294428e-01 1.11013537e+03 2.01613558e-01 2.00166669e-01 1.90378336e-01 2.00147820e-01 2.00048812e-01 1.92555968e-01 5.03278906e-02 3.65626663e+00]
%.kernel.kernels[1].variance: 0.04359852731256696
%.likelihood.variance: 0.1837640997087644
%loglikelihood: -88.74860071392251
%RMSE:1.963
%Pearson_correlation_coefficient:0.532,P-value:0.000
%Spearman_correlation_coefficient:0.589,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.0002,1.6225,-0.4788,0.0529,0.2423,-0.7945,-0.882,0.17,0.7505,0.5543,0.7307,0.6038,-0.606,1.0366,0.1914,0.1879,1.0993,0.6293,-0.8986,0.3187,1.352,-0.6683,1.4615
1a30,-0.3974,1.8766,-2.5788,-0.1661,-0.5298,-1.9825,-0.5625,4.2026,-1.5011,-0.0711,0.3015,0.2714,-0.058,1.0623,0.4343,0.6693,1.7516,1.265,-0.8986,0.8326,-0.4554,-0.6683,-0.7755
1a69,-1.0624,1.5214,-1.5788,-0.4289,-0.8094,-0.8962,-1.3553,-0.4096,-0.7977,-0.1279,-0.1025,-0.297,0.6511,-0.4551,0.1536,-1.4822,0.3684,0.3115,-0.2907,0.3187,-0.9856,-0.2558,-0.0298
1abf,-1.5846,1.6347,-1.4588,-1.208,-1.526,-0.8944,-1.0639,0.6975,-1.5011,-1.0091,0.8663,-2.2214,1.9485,-0.5128,0.2922,-1.2867,0.3771,0.3115,-0.8986,-0.7093,-0.9856,-0.6683,-0.7755
1ai5,-0.9922,1.5855,-3.1588,-1.1244,-1.3893,-0.2944,-1.1187,0.7055,-0.2471,-1.2364,-0.8786,-0.9765,0.5705,1.0588,-0.8718,-0.1903,-0.629,-0.642,-0.8986,-0.7093,-0.518,-0.6683,-0.7755
1ajp,-1.0788,1.5701,-4.6488,-1.2709,-1.4521,-0.4377,-0.5843,0.6665,-0.7556,-1.3217,-0.8204,-0.9479,0.7317,1.0588,-1.0768,-0.5004,0.0441,-0.0064,-0.8986,-0.9663,-0.9856,-0.2558,-0.7755
1ajq,-1.2828,1.5819,-2.5688,-1.5928,-1.6122,-0.2502,-0.8705,0.285,-0.7988,-1.3786,-0.4958,-1.1005,1.4408,1.0585,-0.8205,-0.5331,-0.629,-0.642,-0.8986,-1.4802,-0.7518,-0.6683,-0.7755
1apw,0.9141,2.3125,1.1212,0.5504,0.4378,0.1958,-0.0815,5.9586,-1.5011,0.4974,1.2162,1.6884,0.2563,-0.5471,-0.0714,1.4339,0.4545,0.3115,-0.8986,0.3187,1.1351,-0.6683,-0.7755
1avn,-1.6652,1.6375,-2.9788,-2.2009,-1.5314,-0.4942,-1.3553,0.3945,-0.9293,-2.2313,-0.9545,-2.3585,1.4408,-0.8071,-0.8424,-0.4845,-0.5771,-1.2777,-0.2907,-1.2232,-0.9856,-0.2558,0.7159
1ax0,-1.4569,1.5543,-3.7488,-1.2343,-1.2846,-1.1493,-1.3553,0.8534,-1.5011,-1.0659,0.3031,-0.3709,1.5214,-0.4551,-0.3681,-0.9609,0.7269,0.6293,-0.8986,-0.1953,-0.9856,-0.2558,-0.0298
1axz,-1.8309,1.6427,-3.6788,-1.5219,-1.5211,-1.1907,-1.3553,0.7144,-1.5011,-1.2364,0.2601,-2.2031,1.9163,-0.4551,-0.6683,-1.4822,0.7136,0.6293,-0.8986,-0.4523,-0.9856,-0.2558,-0.7755
