%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 30 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.8780492093351495
%.kernel.kernels[0].lengthscales: [4.12866646e+02 1.19950677e+00 6.72175572e+00 1.75792229e+01 2.47508494e-01 6.18436082e-01 1.23833724e+03 6.71884047e+03 1.14151427e+00 3.60049367e+00 2.13634417e-01 1.11013537e+03 2.42146055e+00 4.93292737e-02 3.91478898e-02 2.00145296e-01 6.10026294e-02 2.91405974e-01 5.03265785e-02 2.77554379e+00]
%.kernel.kernels[1].variance: 0.053222394454059754
%.likelihood.variance: 1e-06
%loglikelihood: -141.58259225783453
%RMSE:1.978
%Pearson_correlation_coefficient:0.527,P-value:0.000
%Spearman_correlation_coefficient:0.540,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.2934,3.2325,-0.1357,0.1251,0.3571,-0.8998,-0.7774,0.2389,1.0145,0.6873,0.7923,0.7444,-0.8169,1.0294,0.1881,0.5475,0.7909,0.3282,-1.0428,0.2629,1.7106,-0.7618,1.3965
1a30,-1.0180,3.8798,-2.2357,-0.0635,-0.3497,-2.1993,-0.4808,5.3598,-1.3611,0.0982,0.3593,0.4344,-0.2788,1.059,0.4241,1.0249,1.3263,0.8409,-1.0428,0.738,-0.427,-0.7618,-0.832
1a69,-0.5932,3.0034,-1.2357,-0.2898,-0.6056,-1.011,-1.2168,-0.4971,-0.619,0.0446,-0.0483,-0.0957,0.4175,-0.6896,0.1514,-1.1086,0.1909,0.0718,-0.417,0.2629,-1.0541,-0.4973,-0.0891
1abf,-0.9288,3.1228,-1.1157,-0.9606,-1.2616,-1.0091,-0.9462,0.9087,-1.3611,-0.7855,0.9291,-1.8905,1.6913,-0.7562,0.286,-0.9147,0.198,0.0718,-1.0428,-0.6873,-1.0541,-0.7618,-0.832
1ai5,-0.9450,3.0536,-2.8157,-0.8886,-1.1365,-0.3527,-0.9971,0.9189,-0.0381,-0.9998,-0.8314,-0.7295,0.3383,1.055,-0.8447,0.1725,-0.6278,-0.6973,-1.0428,-0.6873,-0.5011,-0.7618,-0.832
1ajp,-1.0468,3.0332,-4.3057,-1.0148,-1.1939,-0.5095,-0.501,0.8693,-0.5745,-1.0801,-0.7726,-0.7027,0.4966,1.055,-1.0438,-0.135,-0.0752,-0.1846,-1.0428,-0.9248,-1.0541,-0.4973,-0.832
1ajq,-0.8861,3.0284,-2.2257,-1.292,-1.3405,-0.3044,-0.7667,0.3849,-0.6201,-1.1337,-0.4451,-0.8451,1.1929,1.0547,-0.7948,-0.1674,-0.6278,-0.6973,-1.0428,-1.3999,-0.7776,-0.7618,-0.832
1apw,0.9549,4.9159,1.4643,0.5535,0.536,0.1834,-0.0343,7.5897,-1.3611,0.6338,1.2822,1.756,0.0298,-0.7957,-0.0672,1.7831,0.2616,0.0718,-1.0428,0.2629,1.454,-0.7618,-0.832
1avn,-1.4823,3.0975,-2.6357,-1.8155,-1.2666,-0.5713,-1.2168,0.5239,-0.7578,-1.9371,-0.9079,-2.0184,1.1929,-1.0953,-0.8162,-0.1192,-0.5851,-1.2101,-0.417,-1.1624,-1.0541,-0.4973,0.6537
1ax0,-0.9646,3.0546,-3.4057,-0.9833,-1.0406,-1.2878,-1.2168,1.1067,-1.3611,-0.8391,0.3609,-0.1646,1.272,-0.6896,-0.3553,-0.5916,0.4852,0.3282,-1.0428,-0.2122,-1.0541,-0.4973,-0.0891
