%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 6 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.998427394041973
%.kernel.kernels[0].lengthscales: [4.12866646e+02 1.19950683e+00 6.72175572e+00 1.75792229e+01 2.47509221e-01 6.18436113e-01 1.23833724e+03 6.71884047e+03 1.14151426e+00 3.60049368e+00 2.13634367e-01 1.11013537e+03 2.42146059e+00 4.93292645e-02 3.91478898e-02 2.00145286e-01 6.10028852e-02 2.91407114e-01 5.03266834e-02 2.77554379e+00]
%.kernel.kernels[1].variance: 0.09778750777848567
%.likelihood.variance: 0.16857104635108686
%loglikelihood: -145.3332470486116
%RMSE:1.854
%Pearson_correlation_coefficient:0.573,P-value:0.000
%Spearman_correlation_coefficient:0.602,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.2547,2.3079,-0.0168,0.0399,0.3281,-0.648,-0.6848,0.2216,1.2237,0.46,0.5288,0.8639,-0.7497,0.8935,-0.0784,0.4423,0.713,0.2444,-0.7507,0.1034,1.688,-0.7247,1.2048
1a30,-1.2557,3.0403,-2.1168,-0.1439,-0.3993,-1.9195,-0.386,5.1708,-1.2645,-0.0783,0.126,0.5232,-0.2706,0.9216,0.1362,0.9815,1.2378,0.7204,-0.7507,0.4643,-0.2286,-0.7247,-0.6519
1a69,-1.0596,2.1480,-1.1168,-0.3644,-0.6627,-0.7567,-1.1274,-0.4898,-0.4872,-0.1272,-0.2531,-0.0592,0.3493,-0.7392,-0.1118,-1.428,0.125,0.0063,-0.2756,0.1034,-0.7908,-0.4556,-0.033
1abf,-1.3430,2.2106,-0.9968,-1.0181,-1.3378,-0.7549,-0.8549,0.8689,-1.2645,-0.8857,0.656,-2.0315,1.4836,-0.8024,0.0106,-1.209,0.132,0.0063,-0.7507,-0.6182,-0.7908,-0.7247,-0.6519
1ai5,-1.2015,2.1570,-2.6968,-0.948,-1.209,-0.1126,-0.9061,0.8788,0.1212,-1.0814,-0.9814,-0.7557,0.2789,0.9178,-1.0181,0.0188,-0.6775,-0.7077,-0.7507,-0.6182,-0.295,-0.7247,-0.6519
1ajp,-1.4010,2.1295,-4.1868,-1.0709,-1.2682,-0.266,-0.4064,0.8308,-0.4406,-1.1548,-0.9268,-0.7263,0.4198,0.9178,-1.1993,-0.3285,-0.1359,-0.2317,-0.7507,-0.7986,-0.7908,-0.4556,-0.6519
1ajq,-1.4578,2.1356,-2.1068,-1.341,-1.419,-0.0653,-0.674,0.3627,-0.4884,-1.2037,-0.6222,-0.8827,1.0398,0.9175,-0.9727,-0.365,-0.6775,-0.7077,-0.7507,-1.1594,-0.5429,-0.7247,-0.6519
1apw,1.0859,4.2135,1.5832,0.4574,0.5122,0.412,0.0638,7.3259,-1.2645,0.411,0.9844,1.9755,0.0041,-0.84,-0.3107,1.8377,0.1943,0.0063,-0.7507,0.1034,1.4579,-0.7247,-0.6519
1avn,-1.5236,2.2878,-2.5168,-1.8512,-1.3429,-0.3265,-1.1274,0.497,-0.6326,-1.9377,-1.0526,-2.172,1.0398,-1.1245,-0.9921,-0.3107,-0.6357,-1.1837,-0.2756,-0.979,-0.7908,-0.4556,0.5859
1ax0,-1.6220,2.1539,-3.2868,-1.0402,-1.1104,-1.0276,-1.1274,1.0603,-1.2645,-0.9346,0.1276,-0.135,1.1102,-0.7392,-0.5729,-0.8441,0.4134,0.2444,-0.7507,-0.2574,-0.7908,-0.4556,-0.033
1axz,-1.8310,2.2177,-3.2168,-1.2815,-1.3332,-1.072,-1.1274,0.8897,-1.2645,-1.0814,0.0871,-2.0127,1.4554,-0.7392,-0.8382,-1.428,0.4027,0.2444,-0.7507,-0.4378,-0.7908,-0.4556,-0.6519
1b11,0.7044,2.3185,0.9732,0.1274,0.4803,0.5894,0.0756,0.2203,1.2237,-0.6655,0.263,1.0221,-0.7638,-0.1972,-0.344,-0.5521,0.1639,0.0063,-0.2937,-0.077,2.2502,-0.7247,-0.6519
1b39,-1.2655,2.3631,0.5032,0.6417,0.1028,-0.0396,-1.1274,-0.656,-0.8261,0.7291,0.7211,-0.093,0.1239,1.3254,1.7228,-1.428,-0.1064,1.9104,2.4153,1.7271,-0.7908,-0.4556,-0.6519
1b7h,0.9257,4.5146,1.6032,0.6847,0.1212,-1.2101,0.3935,6.0788,-1.2645,1.0716,1.668,0.9153,0.4198,0.8975,0.9733,0.4443,0.7938,-0.2317,-0.7507,0.1034,0.0132,5.7329,-0.033
1b8o,-0.4946,2.1754,4.2232,-0.2603,-0.5316,-1.0185,-1.1274,-0.2833,-0.2771,-0.2006,0.3252,0.0365,0.3987,-0.7762,-0.7416,-1.0993,0.4188,-0.2317,-0.2756,-0.077,-0.7908,1.1588,0.5859
1b9j,1.0237,4.5267,-0.4568,0.6937,0.1029,-1.2546,0.628,6.1707,-1.2645,1.0471,1.8989,0.9407,0.4198,0.8975,0.8431,0.4443,0.7938,-0.2317,-0.7507,0.1034,-0.2286,5.4639,-0.033
1bcu,-0.1595,2.2014,-3.1368,-0.9111,-0.7487,0.7099,0.0743,-0.2794,0.2064,-1.1548,-1.1244,-1.8218,0.0112,-0.6851,-1.4767,-0.2486,-0.5959,-1.1837,-0.2756,-0.979,-0.295,-0.7247,-0.6519
1bma,1.1834,2.1954,-1.8268,0.2727,0.7482,1.3171,0.2969,0.6815,1.0136,0.4844,-0.548,1.1466,-0.7708,0.0787,-0.247,0.3391,-0.6394,-0.4697,-0.313,-0.2574,2.0687,-0.7247,-0.033
1bra,-0.5687,2.4156,-4.5968,-1.3567,-1.3093,-0.3398,-0.6467,0.7794,-0.0204,-1.1793,-1.3369,-2.163,0.7016,-1.7146,-0.9088,-1.428,-1.2023,-1.1837,-0.7507,-1.1594,-0.0471,-0.7247,1.2048
1bxo,1.5739,2.4017,3.5832,1.5673,1.4336,0.7218,0.272,1.0217,-0.037,1.8056,0.652,1.3983,-0.799,0.0403,0.1818,1.7136,0.1746,0.9584,0.5767,0.8251,1.8873,-0.7247,-0.6519
1c84,-0.6038,2.1633,-1.4168,-0.6671,-0.7717,-0.4199,-0.2182,0.1833,0.1898,-0.1517,0.1383,-0.4093,-0.4115,0.864,0.1128,-1.1318,0.1288,0.0063,-0.7507,-0.4378,0.2008,-0.1866,-0.033
1d7j,-1.8370,2.1911,-3.1168,-1.8728,-1.5814,-0.0908,-0.8549,2.0454,-1.2645,-1.8643,-1.1116,-0.6381,1.3638,-0.7143,-1.5751,-0.3744,-0.9315,-0.7077,-0.7507,-1.1594,-0.7908,-0.7247,-0.6519
1det,-1.7798,2.2208,-2.1168,-0.9387,-0.3085,-0.6004,-1.1274,-0.378,-0.6852,-0.4208,0.5657,0.0473,-0.0029,1.1569,-0.35,-1.428,-0.1064,0.7204,0.1556,0.8251,-0.7908,0.8897,-0.6519
1df8,-0.7285,2.1557,3.2832,-0.435,-0.9459,-0.2438,-0.3669,-0.1039,-1.2645,-0.5187,-0.0116,-0.134,0.9834,0.9217,-0.5401,0.2749,-0.1146,-0.4697,-0.2937,-0.6182,-0.5293,-0.4556,-0.033
1dhi,-0.0255,2.2087,0.8432,0.2045,0.2495,-0.8188,0.3409,-0.5708,0.1822,-0.3474,-0.0526,0.448,-1.581,0.9217,-0.6257,0.3715,0.9948,0.0063,0.1995,0.8251,-0.7908,0.3516,0.5859
1e1v,-0.0631,2.2765,-1.4968,-0.4412,-0.6269,0.5068,-0.386,-0.6151,-1.0453,-0.7633,-0.7683,-1.7283,0.3212,0.1315,-0.5153,-0.6251,-0.3842,-0.9457,-0.2756,-0.4378,-0.0064,1.4279,0.5859
1e5a,-0.8296,2.3025,1.2232,-1.4873,-1.4809,1.0578,0.6205,0.5877,-0.3776,-1.8643,-1.3369,-2.1831,1.9486,0.4488,-1.5105,-1.1898,-0.9315,-0.9457,-0.7507,-1.3398,-0.1373,-0.7247,-0.6519
1e66,1.0968,2.2228,3.4732,-0.0305,-0.246,1.421,1.0765,-0.5144,0.3363,0.0685,-1.3369,-1.4033,0.5396,-0.6933,-0.9795,0.9776,-0.8991,-1.1837,-0.7507,-1.1594,0.4431,0.0825,-0.6519
