%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 47 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.5792505223152835
%.kernel.kernels[0].lengthscales: [4.13319476e+02 2.24585695e+04 1.10353569e+04 2.67031671e+03 2.33685884e-01 8.39388023e+02 1.23834162e+03 6.71884049e+03 1.25873608e+04 3.31390753e-01 1.11855278e+03 1.11014486e+03 2.32240972e+04 2.18262978e+04 3.91292179e-02 7.23083275e+01 3.97913031e+01 5.55037500e+01 1.21270398e-04 6.98533201e+00]
%.kernel.kernels[1].variance: 0.05852303050174764
%.likelihood.variance: 1.0000000000000114e-06
%loglikelihood: -130.07243383042533
%RMSE:1.955
%Pearson_correlation_coefficient:0.499,P-value:0.000
%Spearman_correlation_coefficient:0.537,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.1292,2.8213,-0.1449,-0.0302,0.1441,-0.5476,-0.6258,0.0468,1.076,0.6162,0.8253,0.6241,-0.6602,0.9902,-0.0344,0.1999,0.7612,0.3596,-0.6995,0.1046,1.4692,-0.6329,1.2086
1a30,-1.5426,2.9766,-2.2449,-0.2359,-0.5153,-1.7281,-0.3598,2.8665,-1.3371,-0.0099,0.3603,0.314,-0.1487,1.0212,0.1528,0.6261,1.3513,0.9046,-0.6995,0.5289,-0.4203,-0.6329,-0.6288
1a69,-0.5480,2.6713,-1.2449,-0.4827,-0.7541,-0.6485,-1.0197,-0.3584,-0.5833,-0.0668,-0.0774,-0.2162,0.5132,-0.8109,-0.0635,-1.2786,0.1,0.0872,-0.1034,0.1046,-0.9745,-0.4292,-0.0163
1abf,-1.2426,2.8156,-1.1249,-1.2142,-1.3663,-0.6468,-0.7771,0.4156,-1.3371,-0.9489,0.9721,-2.0114,1.7242,-0.8806,0.0433,-1.1055,0.1079,0.0872,-0.6995,-0.7439,-0.9745,-0.6329,-0.6288
1ai5,-0.2097,2.3332,-2.8249,-1.1357,-1.2495,-0.0505,-0.8227,0.4213,0.0068,-1.1766,-0.9183,-0.8501,0.438,1.017,-0.8541,-0.1349,-0.8022,-0.7302,-0.6995,-0.7439,-0.4857,-0.6329,-0.6288
1ajp,-1.2135,2.7224,-4.3149,-1.2733,-1.3031,-0.1929,-0.3779,0.394,-0.5381,-1.262,-0.8552,-0.8234,0.5884,1.017,-1.0121,-0.4094,-0.1933,-0.1853,-0.6995,-0.956,-0.9745,-0.4292,-0.6288
1ajq,-3.0375,1.6575,-2.2349,-1.5755,-1.4399,-0.0066,-0.6161,0.1273,-0.5844,-1.3189,-0.5035,-0.9658,1.2503,1.0166,-0.8145,-0.4383,-0.8022,-0.7302,-0.6995,-1.3802,-0.7301,-0.6329,-0.6288
1apw,-0.1035,3.2313,1.4551,0.4369,0.3111,0.4366,0.0406,4.0943,-1.3371,0.5593,1.3513,1.6359,0.1446,-0.922,-0.2371,1.303,0.178,0.0872,-0.6995,0.1046,1.2424,-0.6329,-0.6288
1avn,-2.0870,2.1254,-2.6449,-2.1465,-1.3709,-0.2491,-1.0197,0.2038,-0.7243,-2.1726,-1.0004,-2.1393,1.2503,-1.2359,-0.8314,-0.3953,-0.7552,-1.2751,-0.1034,-1.1681,-0.9745,-0.4292,0.5961
1ax0,-1.3942,2.7323,-3.4149,-1.2389,-1.16,-0.9001,-1.0197,0.5247,-1.3371,-1.0059,0.362,-0.2852,1.3255,-0.8109,-0.4657,-0.817,0.4244,0.3596,-0.6995,-0.3196,-0.9745,-0.4292,-0.0163
1axz,-1.6923,2.7805,-3.3449,-1.5089,-1.362,-0.9413,-1.0197,0.4275,-1.3371,-1.1766,0.3154,-1.9943,1.6941,-0.8109,-0.6972,-1.2786,0.4124,0.3596,-0.6995,-0.5317,-0.9745,-0.4292,-0.6288
1b11,-1.0507,2.4737,0.8451,0.0677,0.2822,0.6012,0.0511,0.0461,1.076,-0.6928,0.5184,0.7681,-0.6753,-0.2129,-0.266,-0.5861,0.1438,0.0872,-0.1261,-0.1075,2.0234,-0.6329,-0.6288
1b39,-0.4991,3.0954,0.3751,0.6432,-0.0601,0.0173,-1.0197,-0.4531,-0.9119,0.9292,1.0473,-0.2469,0.2725,1.4666,1.5367,-1.2786,-0.1602,2.2669,3.2723,2.0138,-0.9745,-0.4292,-0.6288
