%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 101 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.803474623418756
%.kernel.kernels[0].lengthscales: [4.13160348e+02 2.24585695e+04 1.10353569e+04 2.67031699e+03 5.41341686e-01 8.39384935e+02 1.23834287e+03 6.71884050e+03 1.25873608e+04 7.10271668e-01 1.11855110e+03 1.11012227e+03 2.32240972e+04 2.18262978e+04 3.91147734e-02 6.67838227e+01 9.24055905e-01 6.56347439e+01 2.88892511e-05 2.70215813e+04]
%.kernel.kernels[1].variance: 0.19511693959093676
%.likelihood.variance: 1.0003640947867013e-06
%loglikelihood: -127.01312075007576
%RMSE:2.013
%Pearson_correlation_coefficient:0.500,P-value:0.000
%Spearman_correlation_coefficient:0.532,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.2669,1.8797,0.1128,0.1242,0.3484,-0.7147,-0.7502,-0.0013,0.9255,0.6653,0.7842,0.7447,-0.8012,1.0576,0.0235,0.4508,0.8394,0.412,-0.8396,0.3857,1.7976,-0.5828,2.8284
1a30,-1.3881,2.4049,-1.9872,-0.0735,-0.3289,-2.0737,-0.4556,3.1153,-1.3076,0.034,0.336,0.443,-0.2555,1.0943,0.218,0.949,1.4589,0.9737,-0.8396,0.9166,-0.3294,-0.5828,-0.7071
1a69,-1.5737,1.9462,-0.9872,-0.3107,-0.5742,-0.831,-1.1865,-0.4492,-0.61,-0.0233,-0.0859,-0.0727,0.4507,-1.0714,-0.0068,-1.2779,0.1451,0.1311,-0.133,0.3857,-0.9533,-0.3675,0.4714
1abf,-1.7297,2.0060,-0.8672,-1.014,-1.2029,-0.829,-0.9179,0.4064,-1.3076,-0.9128,0.9258,-1.8191,1.7427,-1.1538,0.1042,-1.0755,0.1533,0.1311,-0.8396,-0.6759,-0.9533,-0.5828,-0.7071
1ai5,-0.8428,1.9194,-2.5672,-0.9385,-1.083,-0.1426,-0.9684,0.4126,-0.064,-1.1423,-0.8965,-0.6894,0.3704,1.0893,-0.828,0.0593,-0.8023,-0.7116,-0.8396,-0.6759,-0.4031,-0.5828,-0.7071
1ajp,-1.1296,1.8997,-4.0572,-1.0708,-1.138,-0.3065,-0.4757,0.3824,-0.5682,-1.2284,-0.8357,-0.6634,0.5309,1.0893,-0.9922,-0.2617,-0.1629,-0.1498,-0.8396,-0.9414,-0.9533,-0.3675,-0.7071
1ajq,-0.9694,1.9102,-1.9772,-1.3614,-1.2785,-0.092,-0.7396,0.0876,-0.6111,-1.2858,-0.4967,-0.8019,1.2371,1.0889,-0.7869,-0.2954,-0.8023,-0.7116,-0.8396,-1.4722,-0.6782,-0.5828,-0.7071
1apw,1.1327,2.6534,1.7128,0.5733,0.5199,0.4181,-0.0122,4.4724,-1.3076,0.6079,1.2913,1.729,0.0575,-1.2028,-0.187,1.7404,0.2269,0.1311,-0.8396,0.3857,1.5422,-0.5828,-0.7071
1avn,-2.7527,2.1115,-2.3872,-1.9103,-1.2077,-0.3712,-1.1865,0.1722,-0.7405,-2.1466,-0.9757,-1.9435,1.2371,-1.5738,-0.8045,-0.2452,-0.7529,-1.2733,-0.133,-1.2068,-0.9533,-0.3675,1.6499
1ax0,-2.2797,1.9685,-3.1572,-1.0377,-0.9911,-1.1205,-1.1865,0.5269,-1.3076,-0.9702,0.3377,-0.1398,1.3174,-1.0714,-0.4246,-0.7382,0.4856,0.412,-0.8396,-0.1451,-0.9533,-0.3675,0.4714
