%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 41 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.6247137514833927
%.kernel.kernels[0].lengthscales: [4.13160456e+02 2.24585695e+04 1.10353569e+04 2.67031700e+03 3.05050907e+02 8.39384968e+02 1.23834292e+03 6.71884050e+03 1.25873608e+04 3.72298301e-02 1.11855117e+03 1.11012230e+03 2.32240972e+04 2.18262978e+04 4.01307005e-02 6.65756014e+01 2.96995688e+02 6.60300405e+01 2.88726636e-05 2.70215813e+04]
%.kernel.kernels[1].variance: 0.057895544781429824
%.likelihood.variance: 1e-06
%loglikelihood: -147.70606339130717
%RMSE:1.990
%Pearson_correlation_coefficient:0.473,P-value:0.000
%Spearman_correlation_coefficient:0.481,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.9078,2.9142,0.0369,-0.0149,0.2735,-0.7335,-0.7316,0.1284,0.8937,0.4622,0.6304,0.7488,-0.7802,1.215,-0.0401,0.4849,0.7704,0.2581,-0.6707,0.2367,1.4351,-0.6311,1.2309
1a30,-0.8430,3.3970,-2.0631,-0.1963,-0.4147,-2.0597,-0.3944,4.8495,-1.2563,-0.0888,0.1995,0.459,-0.2669,1.2503,0.1488,1.0101,1.3249,0.7301,-0.6707,0.675,-0.3981,-0.6311,-0.6155
1a69,-0.2751,2.7542,-1.0631,-0.4139,-0.664,-0.847,-1.231,-0.5502,-0.5847,-0.1389,-0.2061,-0.0366,0.3973,-0.8292,-0.0695,-1.3371,0.1491,0.022,-0.1275,0.2367,-0.9358,-0.4314,0.0
1abf,-1.4352,2.7980,-0.9431,-1.0589,-1.3029,-0.845,-0.9234,0.7459,-1.2563,-0.9154,0.7665,-1.7147,1.6126,-0.9084,0.0383,-1.1238,0.1564,0.022,-0.6707,-0.6399,-0.9358,-0.6311,-0.6155
1ai5,1.6921,0.7809,-2.6431,-0.9896,-1.181,-0.1752,-0.9813,0.7553,-0.059,-1.1158,-0.9853,-0.6292,0.3219,1.2455,-0.8669,0.0723,-0.6988,-0.686,-0.6707,-0.6399,-0.4616,-0.6311,-0.6155
1ajp,-1.0223,2.7175,-4.1331,-1.1109,-1.237,-0.3352,-0.4174,0.7096,-0.5444,-1.1909,-0.9268,-0.6042,0.4728,1.2454,-1.0264,-0.266,-0.1266,-0.214,-0.6707,-0.8591,-0.9358,-0.4314,-0.6155
1ajq,-0.9156,2.7405,-2.0531,-1.3774,-1.3797,-0.1258,-0.7194,0.263,-0.5857,-1.241,-0.601,-0.7373,1.1371,1.245,-0.827,-0.3016,-0.6988,-0.686,-0.6707,-1.2974,-0.6987,-0.6311,-0.6155
1apw,0.3019,4.2378,1.6369,0.3969,0.4478,0.372,0.1132,6.9053,-1.2563,0.4121,1.1178,1.6946,0.0275,-0.9554,-0.2445,1.8443,0.2223,0.022,-0.6707,0.2367,1.215,-0.6311,-0.6155
1avn,-1.3906,2.8439,-2.4631,-1.8808,-1.3077,-0.3983,-1.231,0.3911,-0.7103,-1.9925,-1.0614,-1.8343,1.1371,-1.3117,-0.8441,-0.2487,-0.6547,-1.1581,-0.1275,-1.0783,-0.9358,-0.4314,0.6155
1ax0,-0.8198,2.7874,-3.2331,-1.0806,-1.0876,-1.1295,-1.231,0.9285,-1.2563,-0.9655,0.2011,-0.1011,1.2125,-0.8292,-0.4752,-0.7683,0.4538,0.2581,-0.6707,-0.2016,-0.9358,-0.4314,0.0
1axz,-1.6758,2.7895,-3.1631,-1.3187,-1.2985,-1.1758,-1.231,0.7657,-1.2563,-1.1158,0.1579,-1.6987,1.5824,-0.8292,-0.7087,-1.3371,0.4426,0.2581,-0.6707,-0.4208,-0.9358,-0.4314,-0.6155
1b11,0.5229,2.8043,1.0269,0.0714,0.4177,0.557,0.1265,0.1272,0.8937,-0.69,0.346,0.8834,-0.7953,-0.1506,-0.2738,-0.4838,0.1902,0.022,-0.1482,0.0175,1.9728,-0.6311,-0.6155
1b39,0.0334,3.0851,0.5569,0.5788,0.0604,-0.099,-1.231,-0.7088,-0.8775,0.7377,0.8361,-0.0654,0.1558,1.7558,1.5448,-1.3371,-0.0955,1.9102,2.9487,2.2091,-0.9358,-0.4314,-0.6155
1b7h,-1.6125,0.5460,1.6569,0.6213,0.0778,-1.3199,0.4852,5.7156,-1.2563,1.0884,1.8491,0.7925,0.4728,1.2201,0.8853,0.4868,0.8558,-0.214,-0.6707,0.2367,-0.1668,4.1624,0.0
1b8o,-0.1554,2.7668,4.2769,-0.3111,-0.54,-1.12,-1.231,-0.3533,-0.4031,-0.2141,0.4126,0.0449,0.4502,-0.8755,-0.6237,-1.0169,0.4595,-0.214,-0.1275,0.0175,-0.9358,0.767,0.6155
1b9j,-0.9717,3.6684,-0.4031,0.6302,0.0605,-1.3663,0.7497,5.8034,-1.2563,1.0634,2.0961,0.8142,0.4728,1.2201,0.7707,0.4868,0.8558,-0.214,-0.6707,0.2367,-0.3981,3.9626,0.0
1bcu,-0.8314,2.7407,-3.0831,-0.9532,-0.7454,0.6827,0.125,-0.3495,0.0146,-1.1909,-1.1382,-1.5363,0.035,-0.7615,-1.2705,-0.1882,-0.6127,-1.1581,-0.1275,-1.0783,-0.4616,-0.6311,-0.6155
1bma,1.3871,0.4063,-1.7731,0.2148,0.6711,1.316,0.3762,0.5671,0.7121,0.4873,-0.5216,0.9894,-0.8028,0.1948,-0.1884,0.3843,-0.6586,-0.45,-0.1702,-0.2016,1.7992,-0.6311,0.0
1bra,-2.7183,1.0799,-4.5431,-1.3929,-1.2759,-0.4122,-0.6886,0.6605,-0.1813,-1.216,-1.3656,-1.8266,0.7747,-2.0505,-0.7708,-1.3371,-1.2533,-1.1581,-0.6707,-1.2974,-0.2245,-0.6311,1.2309
1bxo,1.3577,2.9160,3.6369,1.4921,1.3198,0.6951,0.348,0.8917,-0.1957,1.8399,0.7622,1.2035,-0.833,0.1468,0.1889,1.7233,0.2015,0.9661,0.8468,1.1133,1.6257,-0.6311,-0.6155
1c84,-0.4528,2.7379,-1.3631,-0.7125,-0.7671,-0.4956,-0.2051,0.0919,0.0002,-0.164,0.2127,-0.3345,-0.4179,1.1781,0.1282,-1.0485,0.1531,0.022,-0.6707,-0.4208,0.0126,-0.2317,0.0
1d7j,-1.3711,2.8553,-3.0631,-1.9021,-1.5334,-0.1524,-0.9234,1.8681,-1.2563,-1.9173,-1.1245,-0.5292,1.4843,-0.798,-1.3571,-0.3107,-0.9672,-0.686,-0.6707,-1.2974,-0.9358,-0.6311,-0.6155
1det,-0.7003,2.8663,-2.0631,-0.9805,-0.3289,-0.6839,-1.231,-0.4435,-0.7558,-0.4395,0.6698,0.054,0.0199,1.5449,-0.2791,-1.3371,-0.0955,0.7301,0.3655,1.1133,-0.9358,0.5672,-0.6155
1df8,-0.2099,2.7585,3.3369,-0.4835,-0.932,-0.312,-0.3729,-0.1821,-1.2563,-0.5397,0.0522,-0.1002,1.0767,1.2503,-0.4464,0.3218,-0.1041,-0.45,-0.1482,-0.6399,-0.6857,-0.4314,0.0
1dhi,0.2328,2.8966,0.8969,0.1474,0.1992,-0.9117,0.4258,-0.6274,-0.0063,-0.3644,0.0084,0.3949,-1.6709,1.2503,-0.5217,0.4159,1.0682,0.022,0.4156,1.1133,-0.9358,0.1678,0.6155
1e1v,-0.9395,2.8032,-1.4431,-0.4896,-0.6302,0.4709,-0.3944,-0.6698,-1.0669,-0.7902,-0.7573,-1.4568,0.3671,0.2609,-0.4245,-0.5549,-0.389,-0.9221,-0.1275,-0.4208,-0.1856,0.9667,0.6155
1e5a,-1.7028,2.9320,1.2769,-1.5218,-1.4382,1.0456,0.7413,0.4776,-0.49,-1.9173,-1.3656,-1.8437,2.1108,0.6582,-1.3003,-1.1051,-0.9672,-0.9221,-0.6707,-1.5166,-0.3107,-0.6311,-0.6155
1e66,-0.4190,2.8805,3.5269,-0.0844,-0.2697,1.4244,1.2558,-0.5736,0.1269,0.0615,-1.3656,-1.1802,0.6011,-0.7718,-0.833,1.0063,-0.933,-1.1581,-0.6707,-1.2974,0.2444,-0.032,-0.6155
1ela,0.5576,2.7401,-0.0031,-0.0093,0.2513,0.5689,1.2558,0.2492,-0.3629,-0.0387,-0.2434,0.8701,-0.2141,0.1948,-0.3101,0.6461,-0.0642,-0.45,-0.6707,-0.2016,0.0761,-0.6311,0.6155
1elb,0.1569,2.8809,0.7869,-0.0546,0.3324,0.7427,1.2343,1.808,-0.3629,0.362,-0.7896,0.854,-0.2141,0.1948,0.4964,0.5224,-0.0413,-0.45,-0.6707,-0.2016,0.6138,-0.2317,0.6155
1f4e,-0.4279,2.7642,-3.4031,-0.9303,-0.6905,-0.1717,0.191,0.0149,-0.3629,-1.4915,-0.9443,0.3525,0.7068,1.2267,-1.0803,-0.3601,-0.6988,-0.214,0.2467,-0.6399,-0.2433,-0.6311,-0.6155
1f4f,-0.5337,2.8465,-1.7431,0.1247,-0.1426,-1.4367,0.9979,-0.0572,-0.3629,-0.2892,-1.0416,0.486,-0.4933,1.2503,0.2731,0.3093,0.7076,0.9661,0.2467,0.675,-0.9358,-0.032,-0.6155
1f4g,0.0137,2.8866,0.1169,0.775,0.2146,-1.5957,0.9979,0.0402,-0.3629,0.7377,-0.2579,0.7028,-0.8934,1.2503,0.2342,1.5711,1.005,1.2021,0.2467,1.1133,-0.9358,0.1678,-0.6155
1f5k,-2.9294,1.0273,-2.6231,-1.3809,-1.2759,-0.4122,-0.6886,0.6605,-0.1813,-1.1409,-1.3656,-1.8266,0.7747,-2.0505,-0.8678,-1.3371,-1.2533,-1.1581,-0.6707,-1.2974,-0.2245,-0.6311,0.0
1fcx,0.2197,2.9410,0.8269,0.6999,0.3741,1.3528,2.1015,-0.4813,1.2136,-0.3894,-0.7871,-0.2315,-0.2367,1.1792,-0.854,-0.1994,-0.4127,-0.45,-0.6707,-1.0783,1.7992,-0.4314,-0.6155
1fcz,0.5323,2.8484,2.8569,0.5001,0.0804,1.2437,1.3687,-0.2155,1.0323,-0.5397,-0.7575,0.5958,-0.2594,1.1792,-0.8308,0.0893,-0.6988,-0.45,-0.6707,-1.0783,1.7996,-0.6311,-0.6155
1fd0,0.2740,2.8763,2.0369,0.7768,0.4087,1.3994,1.8733,-0.4901,1.2136,-0.3393,-0.7019,-0.2291,-0.6066,1.1792,-0.7363,0.3779,-0.4071,-0.45,-0.6707,-0.8591,1.7644,-0.2317,-0.6155
1fh7,-1.6103,2.8182,-1.1231,-0.6736,-0.8255,-1.7131,-1.231,-0.0198,-1.2563,0.1115,0.285,-1.463,1.522,-0.9045,0.5422,-1.3371,1.0048,0.4941,-0.6707,0.0175,-0.9358,1.3662,0.0
1fh8,-1.2389,2.7711,0.5269,-0.8649,-0.847,-1.3818,-1.231,-0.0489,-1.2563,-0.3894,0.644,-1.4839,1.5522,-0.9045,-0.1965,-0.8643,0.7187,0.2581,-0.6707,-0.2016,-0.9358,0.767,0.6155
1fh9,-1.3292,2.8773,0.0669,-0.4541,-0.8186,-1.4511,-1.231,-0.0711,-1.2563,0.5624,1.0057,-1.4483,1.0012,-0.6195,1.2732,-1.0001,1.297,0.7301,-0.6707,0.4558,-0.7335,1.9653,1.2309
1fkb,1.1479,3.7801,3.3369,0.754,3.3554,1.8506,3.5381,0.0462,0.1697,0.337,-0.0615,1.6513,-0.7802,0.0541,-0.4318,5.4426,1.2059,1.9102,-0.1482,1.3325,1.8333,-0.6311,-0.6155
1fki,0.0796,2.9311,0.6369,-0.4408,0.3439,1.1371,0.8142,0.5407,-1.2563,-0.7401,-0.8192,0.8458,0.3143,0.1142,-1.1773,1.7483,-0.4483,0.2581,-0.1482,-0.2016,0.8146,-0.6311,-0.6155
1fkn,0.9448,3.4991,2.4369,2.074,2.5536,-2.2173,1.5714,2.4709,-0.1813,1.7647,2.3276,1.3433,-2.8861,1.2503,1.7143,2.5497,3.1209,2.1462,-0.6707,3.0857,1.5939,-0.6311,0.0
1flr,0.2891,2.7363,3.6369,-0.0747,-0.1045,0.709,0.1035,-0.481,1.0337,-0.0387,-0.5469,0.0125,-0.9538,1.1789,-0.6537,0.4351,-0.1653,-0.214,-0.6707,-0.6399,0.0126,-0.6311,-0.6155
1fo0,2.2102,3.8735,-0.7731,4.0348,3.1993,-2.2023,0.1265,0.9741,0.8937,4.6953,3.8678,1.4313,-3.8749,1.249,3.6118,2.4746,3.1841,2.1462,-0.6707,3.5241,2.7606,3.3634,3.0773
1ftm,-0.5637,2.7510,1.2469,-0.833,-1.0848,-1.0469,-0.9234,0.7695,-0.6049,-0.0387,0.9192,-0.2095,0.586,1.1669,0.0774,-0.651,-0.1256,-0.45,-0.6707,-0.4208,-0.9358,0.9667,0.6155
1fzk,1.0451,3.2477,2.0369,2.4393,3.1754,-1.4196,2.1205,-0.6764,0.7121,2.0653,0.8156,1.499,-3.5956,1.2201,1.0943,2.3448,2.5607,1.6742,-0.6707,3.0857,1.2615,1.5659,0.0
1g7q,0.3356,3.5867,-0.3031,1.6963,2.0046,-3.7604,1.4077,0.7144,-1.2563,2.8668,2.1685,1.3433,-2.4785,1.249,2.5303,1.8972,2.7836,1.9102,-0.6707,3.5241,-0.9358,2.5645,1.8464
1gni,-0.8882,3.4484,1.7069,-0.5263,-0.3547,1.3978,0.4852,4.2941,-0.8926,-1.3913,-1.2492,-0.4272,1.1672,1.2503,-1.1667,1.177,-0.6988,-0.686,-0.6707,-1.2974,1.8085,-0.6311,-0.6155
1gpk,-0.0624,2.7584,-0.9931,-0.3387,-0.4534,0.2734,0.1914,-0.0221,0.4548,-0.8904,-0.8107,0.0583,0.5483,-1.4733,-0.9594,0.9789,-0.6547,-0.9221,-0.6707,-1.0783,-0.2422,0.1678,0.0
1gz9,-1.4640,3.0394,-2.8531,-0.1155,-0.0028,-2.2458,-0.9234,-0.2036,-1.2563,0.1366,0.5716,-1.1263,1.3107,-0.8292,0.0076,-1.1238,2.9343,2.3822,-0.6707,1.5516,-0.9358,0.1678,-0.6155
1h23,0.9673,3.0978,1.9869,1.1931,1.1554,1.0026,1.5996,-0.9656,0.7687,1.1135,-0.4785,0.1562,0.1181,-1.4564,0.7215,3.3946,-0.1019,-0.686,-0.6707,-0.4208,0.5646,-0.2317,0.0
1ha2,0.0926,2.7582,-0.8231,-0.5009,-0.2024,1.023,-0.1314,-0.2506,1.0252,-1.3412,-1.1,0.3715,-0.4103,0.6716,-1.1804,-0.2741,-0.7198,-0.45,-0.1482,-0.8591,0.7238,-0.4314,-0.6155
1hfs,2.3418,3.1454,2.3369,2.6494,2.1962,2.048,3.3689,-0.8762,2.5066,2.416,0.2196,1.4205,-2.2445,1.2462,0.4324,2.3138,0.1704,0.022,-0.1922,0.0175,2.697,-0.6311,-0.6155
1hi4,-0.0153,2.9493,-1.8731,-0.4754,-0.1454,-0.1367,-1.231,-0.4838,-0.8775,0.3119,-0.2031,-0.3273,-0.0556,1.544,1.0976,-1.3371,-0.3816,1.2021,1.9447,1.5516,-0.9358,-0.6311,1.8464
