%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: False in 11 iterations, b'ABNORMAL_TERMINATION_IN_LNSRCH'
%.kernel.kernels[0].variance: 2.89355129335881
%.kernel.kernels[0].lengthscales: [4.13160447e+02 2.24585695e+04 1.10353569e+04 2.67031700e+03 3.05050898e+02 8.39384968e+02 1.23834292e+03 6.71884050e+03 1.25873608e+04 1.65859719e-03 1.11855117e+03 1.11012230e+03 2.32240972e+04 2.18262978e+04 4.01639355e-02 6.65786091e+01 2.96995688e+02 6.60301012e+01 2.83176217e-05 2.70215813e+04]
%.kernel.kernels[1].variance: 0.05390519789097647
%.likelihood.variance: 1.0000005587160212e-06
%loglikelihood: -143.05940668625695
%RMSE:1.923
%Pearson_correlation_coefficient:0.525,P-value:0.000
%Spearman_correlation_coefficient:0.566,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.0726,3.1823,-0.2253,-0.0649,0.2389,-0.6358,-0.7264,0.1356,1.0117,0.3796,0.3549,0.7387,-0.683,0.908,-0.0903,0.5763,0.8341,0.1687,-0.8725,-0.0265,1.4511,-0.6553,1.5084
1a30,-1.2590,3.3658,-2.3253,-0.2484,-0.5008,-1.8673,-0.3609,3.4932,-1.4578,-0.1651,0.0102,0.4336,-0.1493,0.9364,0.1002,1.0939,1.3905,0.6289,-0.8725,0.3347,-0.373,-0.6553,-0.8485
1a69,-1.1640,2.9970,-1.3253,-0.4685,-0.7687,-0.7412,-1.2677,-0.347,-0.6864,-0.2146,-0.3142,-0.088,0.5413,-0.7409,-0.1199,-1.2192,0.2106,-0.0614,-0.3887,-0.0265,-0.9081,-0.4497,-0.0628
1abf,-1.6200,3.1392,-1.2053,-1.121,-1.4553,-0.7394,-0.9343,0.5748,-1.4578,-0.9821,0.4637,-1.8544,1.8049,-0.8047,-0.0112,-1.009,0.218,-0.0614,-0.8725,-0.7489,-0.9081,-0.6553,-0.8485
1ai5,-1.4435,3.0703,-2.9053,-1.051,-1.3243,-0.1173,-0.997,0.5814,-0.0825,-1.1802,-0.9373,-0.7118,0.4628,0.9325,-0.9238,0.1697,-0.6402,-0.7516,-0.8725,-0.7489,-0.4362,-0.6553,-0.8485
1ajp,-1.4160,3.0557,-4.3953,-1.1736,-1.3845,-0.2659,-0.3858,0.5489,-0.6401,-1.2544,-0.8906,-0.6855,0.6198,0.9325,-1.0846,-0.1636,-0.066,-0.2914,-0.8725,-0.9295,-0.9081,-0.4497,-0.8485
1ajq,-1.5179,3.0602,-2.3153,-1.4433,-1.5379,-0.0715,-0.7132,0.2313,-0.6875,-1.304,-0.63,-0.8256,1.3104,0.9322,-0.8836,-0.1987,-0.6402,-0.7516,-0.8725,-1.2907,-0.6721,-0.6553,-0.8485
1apw,-0.0612,3.6668,1.3747,0.3518,0.4262,0.3908,0.1893,4.9553,-1.4578,0.3301,0.7447,1.7343,0.1568,-0.8426,-0.2963,1.9159,0.2841,-0.0614,-0.8725,-0.0265,1.2321,-0.6553,-0.8485
1avn,-1.4861,3.1477,-2.7253,-1.9525,-1.4605,-0.3245,-1.2677,0.3225,-0.8307,-2.0467,-0.9982,-1.9802,1.3104,-1.13,-0.9008,-0.1466,-0.5958,-1.2118,-0.3887,-1.1101,-0.9081,-0.4497,0.7228
1ax0,-1.5620,3.0690,-3.4953,-1.143,-1.224,-1.0035,-1.2677,0.7046,-1.4578,-1.0316,0.0116,-0.1559,1.3889,-0.7409,-0.5289,-0.6587,0.5164,0.1687,-0.8725,-0.3877,-0.9081,-0.4497,-0.0628
