Optimised GP regression Matern kernel, normalised features
Pearsons_correlation_coefficient:0.6588
R2_score:0.3812
RMSE:1.7993667420849682
best_parameters:{'alpha': 2, 'copy_X_train': True, 'kernel__length_scale': array([0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]), 'kernel__length_scale_bounds': (1e-05, 100000.0), 'kernel__nu': 2.5, 'kernel': Matern(length_scale=[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], nu=2.5), 'n_restarts_optimizer': 3, 'normalize_y': False, 'optimizer': 'fmin_l_bfgs_b', 'random_state': None}
elapsed time: 4650.017662073001
name,y_pred_mean,sigma,y_true,BertzCT,Chi1v,EState_VSA1,MolLogP,MolMR,TPSA,num_rotors,vina_gauss1,vina_gauss2,vina_hydrogen,vina_hydrophobic,vina_repulsion
10gs,6.31,0.07,6.4,2062.3329467681215, 8.817523731533074, 165.6077544536179, -1.8473999999999928, 117.78450000000002, 166.1, 14.0, 130.54470825195312, 1525.887939453125, 6.5627593994140625, 35.40607070922852, 6.018760681152344
1a30,5.47,0.09,4.3,1364.3660556852465, 5.751027150605347, 109.19776268446451, -5.9674, 78.86450000000005, 206.23, 15.0, 96.12218475341795, 1411.8497314453125, 5.145970344543457, 20.49320411682129, 6.760563373565674
1a69,6.17,0.06,5.3,1111.6059113159165, 4.766385657891464, 59.469025389815464, -2.1998, 61.22280000000002, 144.35000000000005, 5.0, 104.5167007446289, 1274.9976806640625, 3.812300682067871, 0.0, 5.903499126434326
1abf,5.59,0.06,5.42,463.71244887624977, 2.4747448713915894, 37.43804259363253, -2.1938, 34.57419999999999, 90.15, 5.0, 60.60330581665039, 869.3584594726562, 7.01030969619751, 4.823382377624512, 6.326582908630371
1ai5,5.67,0.05,3.72,587.3372696932067, 2.9970034598839534, 52.68605383513264, -0.1128, 41.807400000000015, 83.27000000000002, 3.0, 64.20456695556639, 912.9013671875, 1.250390887260437, 34.204376220703125, 2.7719881534576416
1ajp,5.44,0.06,2.23,530.5641132193641, 2.8164965809277263, 47.5319614705359, -0.6098000000000001, 38.48260000000001, 80.59, 4.0, 56.786399841308594, 836.6328735351562, 1.442552924156189, 21.219757080078125, 2.14591884613037
1ajq,4.52,0.07,4.31,385.81873718576736, 2.882993161855452, 29.304214798309122, 0.040499999999999765, 33.029999999999994, 40.13, 2.0, 63.70263290405274, 669.0172119140625, 2.5140135288238525, 19.797569274902344, 2.928776979446411
1apw,7.44,0.07,8.0,2239.0578875072338, 7.937439581168718, 173.03684131341174, 1.5872000000000015, 129.39860000000007, 136.63000000000002, 24.0, 126.6517333984375, 1784.9202880859375, 8.16552734375, 40.63018798828125, 5.2161688804626465
1avn,3.79,0.14,3.9,458.8135877135808, 1.8680339887498951, 36.75272123028309, -0.8058999999999998, 30.0468, 56.32, 3.0, 16.870676040649414, 352.4167175292969, 1.0, 0.0, 2.8616437911987305
1ax0,5.54,0.07,3.13,682.0075601959254, 3.37608261212348, 55.15189536058835, -3.0775999999999977, 47.58390000000002, 119.25, 7.0, 59.96520614624024, 855.6813354492188, 5.151408672332764, 3.426732063293457, 4.310310363769531
