%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
%Optimization success: True in 22 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.5741558752847657
%.kernel.kernels[0].lengthscales: 1.339882942824264
%.kernel.kernels[1].variance: 0.03068973887062306
%.likelihood.variance: 0.9492974458627557
%loglikelihood: -6594.480444843923
%RMSE:1.522
%Pearson_correlation_coefficient:0.750,P-value:0.000
%Spearman_correlation_coefficient:0.752,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,BalabanJ,BertzCT,HallKierAlpha,MaxAbsEStateIndex,MaxAbsPartialCharge,MolLogP,NOCount,PEOE_VSA1,PEOE_VSA3,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,SMR_VSA7,as_flex_all,cc_A.HD_4,cc_N.N_4,lig_OA,vina_gauss2,vina_hydrogen,vina_repulsion
10gs,-0.3452,1.3266,-0.0535,-0.0081,0.348,-0.7807,0.7266,0.9653,-0.7059,0.2493,0.925,-0.8144,1.5304,-0.7281,0.41,0.9746,0.6229,-0.6375,1.4351,0.3665,0.1101,0.6441,0.0081
1a30,-1.2770,1.2272,-2.1535,3.3695,-0.3613,-0.2683,0.4142,0.9942,-1.9753,0.6872,1.5328,-0.8144,-0.35,-0.3999,0.8981,-1.2618,0.033,-0.6375,-0.7232,0.9002,-0.0856,0.2296,0.1824
1a69,-0.0290,0.4196,-1.1535,-0.4936,-0.6182,0.3949,-0.1201,-0.712,-0.8145,0.2493,0.2439,-0.2381,-0.9016,-1.214,-1.2831,-0.5632,-0.0206,-0.4026,-0.0038,0.0996,-0.3204,-0.1606,-0.019
1abf,-0.7881,0.3207,-1.0335,0.4337,-1.2766,1.6081,-1.9292,-0.777,-0.8126,-0.6265,0.252,-0.8144,-0.9016,-0.9148,-1.0848,-1.2618,-0.8519,-0.6375,-0.7232,0.0996,-1.0165,0.775,0.0804
1ai5,-2.6393,0.3269,-2.7335,0.4404,-1.151,0.3195,-0.7589,0.9903,-0.1715,-0.6265,-0.6854,-0.8144,-0.4152,-0.971,0.0266,-0.0163,-1.0664,-0.6375,-0.7232,-0.7009,-0.9418,-0.9102,-0.7549
1ajp,-2.4724,0.2585,-4.2235,0.4077,-1.2087,0.4702,-0.732,0.9903,-0.3246,-0.8454,-0.0582,-0.8144,-0.9016,-0.4223,-0.2878,-0.5213,-1.1469,-0.4026,-0.7232,-0.1672,-1.0726,-0.8539,-0.902
1ajq,-2.4483,0.3162,-2.1435,0.0882,-1.3558,1.1334,-0.8755,0.99,-0.1242,-1.2833,-0.6854,-0.8144,-0.6584,-0.7162,-0.3208,-0.5642,-1.2005,-0.6375,-0.7232,-0.7009,-1.3603,-0.5405,-0.718
1apw,1.5104,0.8880,1.5465,4.8403,0.5276,0.0256,1.7462,-0.8155,0.3523,0.2493,0.3242,-0.8144,1.3047,0.094,1.6732,-1.2618,0.5693,-0.6375,-0.7232,0.0996,0.5546,1.113,-0.1805
1avn,-3.4470,0.8651,-2.5535,0.1799,-1.2816,1.1334,-2.0581,-1.1079,-0.385,-1.0644,-0.637,-0.2381,-0.9016,-1.214,-0.2716,-0.6939,-2.005,-0.4026,0.7156,-1.2346,-1.9036,-0.9834,-0.7338
1ax0,-1.8852,0.3806,-3.3235,0.5643,-1.0548,1.2087,-0.1896,-0.712,-1.0849,-0.1886,0.578,-0.8144,-0.9016,-1.214,-0.7545,-1.2618,-0.9056,-0.4026,-0.0038,0.3665,-1.04,0.2312,-0.3934
1axz,-2.2871,0.3237,-3.2535,0.4478,-1.2721,1.578,-1.9119,-0.712,-1.1292,-0.4075,0.5656,-0.8144,-0.9016,-1.214,-1.2831,-1.2618,-1.0664,-0.4026,-0.7232,0.3665,-1.2969,0.1896,-0.6088
1b11,0.9060,0.6856,0.9365,-0.009,0.4965,-0.7958,0.8717,-0.1552,0.5294,0.0304,0.289,-0.26,2.082,0.107,-0.4901,0.9746,-0.6106,-0.6375,-0.7232,0.0996,0.2033,0.3705,-0.2075
1b39,-1.4324,0.5802,0.4665,-0.607,0.1283,0.1537,-0.1511,1.409,-0.0986,2.2199,-0.0241,3.0262,-0.9016,-1.214,-1.2831,-0.8678,0.9179,-0.4026,-0.7232,2.2344,0.7508,0.842,1.4705
1b7h,0.5438,0.3670,1.5665,3.9892,0.1463,0.4702,0.7738,0.9695,-1.2671,0.2493,1.0185,-0.8144,-0.1128,0.456,0.4118,-1.2618,1.2933,4.9988,-0.0038,-0.1672,0.7967,1.8165,0.862
1b8o,3.2103,0.2333,4.1865,-0.3527,-0.4904,0.4476,-0.0323,-0.75,-1.0758,0.0304,0.5842,-0.2381,-0.9016,-1.214,-0.9855,-0.3743,-0.1011,1.0064,0.7156,-0.1672,-0.2095,0.4346,-0.5304
1b9j,0.3971,0.3677,-0.4935,4.0519,0.1285,0.4702,0.7971,0.9695,-1.3115,0.2493,1.0185,-0.8144,-0.35,0.7134,0.4118,-1.2618,1.2665,4.764,-0.0038,-0.1672,0.8063,2.0541,0.7563
1bcu,-2.3615,0.4209,-3.1735,-0.35,-0.7021,0.0331,-1.7368,-0.6565,0.6497,-1.0644,-0.591,-0.2381,-0.4152,0.1055,-0.2154,0.0602,-1.1469,-0.6375,-0.7232,-1.2346,-0.9025,-1.0573,-1.1272
1bma,1.1353,1.0314,-1.8635,0.3058,0.7578,-0.8034,0.986,0.1282,1.2558,-0.1886,-0.6413,-0.2834,1.9039,0.3499,0.3165,0.7858,0.6497,-0.6375,-0.0038,-0.434,0.358,-0.4641,-0.1288
1bra,-1.8235,0.8140,-4.6335,0.3726,-1.2488,0.7716,-2.0498,-1.7141,-0.3983,-1.2833,-1.2932,-0.8144,-0.172,-0.6862,-1.2831,-0.1436,-1.1737,-0.6375,1.4351,-1.2346,-1.377,-1.276,-0.6662
1bxo,1.8556,0.9937,3.5465,0.538,1.4263,-0.8335,1.2168,0.0888,0.6615,1.1251,0.3014,0.7958,1.7259,0.3225,1.5608,-0.1586,2.0978,-0.6375,-0.7232,1.167,1.7364,0.7709,0.2194
1c84,-1.2566,0.5384,-1.4535,-0.0342,-0.7245,-0.419,-0.4412,0.935,-0.4782,-0.4075,0.2483,-0.8144,0.0712,-0.2157,-1.0149,0.0453,-0.0475,-0.1678,-0.0038,0.0996,-0.6427,0.2422,0.1633
1d7j,-3.2376,0.8859,-3.1535,1.2366,-1.5142,1.48,-0.6511,-0.6864,-0.1497,-1.2833,-0.9796,-0.8144,-0.9016,-0.9148,-0.3293,-1.2618,-1.9245,-0.6375,-0.7232,-0.7009,-1.9265,-1.0441,-1.2072
1det,-1.9796,0.7426,-2.1535,-0.4172,-0.2728,0.0181,-0.0224,1.236,-0.6584,1.1251,-0.0241,0.285,-0.9016,-1.214,-1.2831,-0.7412,-0.3424,0.7716,-0.7232,0.9002,-0.9319,0.682,-0.2125
1df8,1.2714,0.2025,3.2465,-0.2302,-0.8944,1.0731,-0.1887,0.9943,-0.3025,-0.6265,-0.0335,-0.26,-0.6451,-0.379,0.2585,-1.2618,-0.4497,-0.4026,-0.0038,-0.434,-0.3955,0.0879,-0.3668
1dhi,-0.0863,0.6888,0.8065,-0.5488,0.2714,-1.67,0.3451,0.9943,-0.8765,1.1251,1.2513,0.3383,-0.9016,0.3983,0.3459,0.0385,-0.262,0.3019,0.7156,0.0996,0.2853,0.0458,-0.4363
1e1v,-0.2270,0.8046,-1.5335,-0.5791,-0.5833,0.3647,-1.6511,0.1825,0.4469,-0.4075,-0.3458,-0.2381,-0.1321,-0.3999,-0.5562,-1.0648,-0.7178,1.2413,0.7156,-0.9677,-0.4022,-0.6908,-0.3466
1e5a,-1.0397,0.8242,1.1865,0.2418,-1.4161,2.1055,-2.0683,0.5084,0.997,-1.5023,-0.9796,-0.8144,-0.2604,0.7053,-1.0675,-0.4647,-1.9245,-0.6375,-0.7232,-0.9677,-1.5161,-1.276,-1.1547
1e66,0.4236,1.0741,3.4365,-0.5103,-0.2118,0.5983,-1.353,-0.6649,1.3596,-1.2833,-0.9421,-0.8144,0.309,1.2059,0.8946,0.177,0.1939,0.0671,-0.7232,-1.2346,0.0352,-1.276,-0.7236
1ela,0.9805,0.7676,-0.0935,0.0784,0.3251,-0.2156,0.8574,0.1282,0.5407,-0.1886,0.0102,-0.8144,0.1364,1.2059,0.5598,-0.3325,0.0866,-0.6375,0.7156,-0.434,0.1162,-0.1965,-0.241
1elb,0.3490,1.3673,0.6965,1.1935,0.4087,-0.2156,0.8401,0.1282,0.7071,-0.1886,0.0353,-0.8144,0.6879,1.185,0.4448,-0.3325,0.5157,-0.1678,0.7156,-0.434,0.0673,-0.7219,0.5032
1f4e,-2.1768,0.6595,-3.4935,-0.0893,-0.6455,0.7038,0.2993,0.975,-0.1681,-0.6265,-0.6854,0.159,-0.1913,0.1697,-0.3752,-0.3325,-1.4687,-0.6375,-0.7232,-0.1672,-0.8778,-0.8707,-0.9518
1f4f,-0.0962,1.3460,-1.8335,-0.1408,-0.0808,-0.4944,0.4433,0.9943,-1.379,0.6872,0.8561,0.159,-0.9016,0.9549,0.2469,-0.3325,-0.1815,0.0671,-0.7232,1.167,0.2608,-0.9643,0.2971
1f4g,0.1399,1.4739,0.0265,-0.0712,0.2873,-0.8938,0.6771,0.9943,-1.5311,1.1251,1.1821,0.159,-0.9016,0.9549,1.4193,-0.3325,0.9179,0.3019,-0.7232,1.4339,0.9626,-0.2105,0.2611
1f5k,-2.1426,0.0973,-2.7135,0.3726,-1.2488,0.7716,-2.0498,-1.7141,-0.3983,-1.2833,-1.2932,-0.8144,-0.172,-0.6862,-1.2831,-0.1436,-1.0933,-0.6375,-0.0038,-1.2346,-1.364,-1.276,-0.7557
1fcx,1.3545,0.6999,0.7365,-0.4443,0.4517,-0.2382,-0.3302,0.9359,1.291,-1.0644,-0.3718,-0.8144,1.9039,2.0289,-0.2258,1.3075,-0.2888,-0.4026,-0.7232,-0.434,0.8816,-0.7195,-0.7429
1fcz,1.8405,0.4377,2.7665,-0.2541,0.149,-0.2608,0.5617,0.9359,1.1866,-1.0644,-0.6854,-0.8144,1.9043,1.3158,0.0424,1.1189,-0.4497,-0.6375,-0.7232,-0.434,0.666,-0.6911,-0.7215
1fd0,1.3849,0.7171,1.9465,-0.4506,0.4873,-0.6074,-0.3276,0.9359,1.3356,-0.8454,-0.3656,-0.8144,1.8682,1.8068,0.3106,1.3075,-0.2352,-0.1678,-0.7232,-0.434,0.9646,-0.6376,-0.6343
1fh7,-0.6553,0.7029,-1.2135,-0.1141,-0.7846,1.5177,-1.6578,-0.7738,-1.6435,0.0304,1.1819,-0.8144,-0.9016,-1.214,-1.2831,-1.2618,0.2475,1.711,-0.0038,0.6333,-0.6007,0.3119,0.5454
1fh8,-0.1589,0.8021,0.4365,-0.1349,-0.8068,1.5478,-1.6803,-0.7738,-1.3264,-0.1886,0.8683,-0.8144,-0.9016,-1.214,-0.8437,-1.2618,-0.2888,1.0064,0.7156,0.3665,-0.8072,0.6572,-0.1363
1fh9,-0.1803,1.4570,-0.0235,-0.1508,-0.7775,0.9977,-1.642,-0.54,-1.3927,0.4683,1.5022,-0.8144,-0.6941,-1.214,-0.9699,-1.2618,0.7302,2.4155,1.4351,0.9002,-0.3638,1.0052,1.2199
1fkb,1.2729,1.5370,3.2465,-0.0669,3.5241,-0.7807,1.6996,0.0128,1.7675,1.3441,1.4023,-0.26,1.9388,3.427,5.0169,0.2216,0.4889,-0.6375,-0.7232,2.2344,0.94,-0.0215,-0.3534
1fki,-0.0510,1.1730,0.5465,0.2869,0.4205,0.312,0.8311,0.0621,1.0845,-0.1886,-0.4109,-0.26,0.8939,0.7762,1.584,-1.2618,-0.6642,-0.6375,-0.7232,0.3665,-0.3495,-0.7504,-1.0413
1fkn,1.1895,1.3711,2.3465,1.6678,2.6978,-2.8833,1.3675,0.9943,-2.1261,3.0957,3.5013,-0.8144,1.6933,1.5131,2.3287,-0.1436,2.0173,-0.6375,-0.0038,2.5012,2.3645,2.2767,1.6269
