%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 10 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.3549778975418043
%.kernel.kernels[0].lengthscales: [4.13160447e+02 2.24585695e+04 1.10353569e+04 2.67031700e+03 3.05050898e+02 8.39384968e+02 1.23834292e+03 6.71884050e+03 1.25873608e+04 1.65943947e-03 1.11855117e+03 1.11012230e+03 2.32240972e+04 2.18262978e+04 4.01639348e-02 6.65786091e+01 2.96995688e+02 6.60301012e+01 3.06956761e-05 2.70215813e+04]
%.kernel.kernels[1].variance: 0.06933213862324021
%.likelihood.variance: 1.0001276983930526e-06
%loglikelihood: -177.48827507249098
%RMSE:1.906
%Pearson_correlation_coefficient:0.549,P-value:0.000
%Spearman_correlation_coefficient:0.599,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.1916,2.6168,0.0357,0.1043,0.3788,-0.6711,-0.7499,-0.1069,0.9861,0.6472,0.5882,0.7854,-0.8276,0.7767,0.1361,0.4002,0.8489,0.2691,-0.8876,0.211,1.4941,-0.5648,1.488
1a30,-1.2227,2.6890,-2.0643,-0.0868,-0.3577,-1.8167,-0.4151,2.8788,-1.2619,0.0464,0.153,0.4671,-0.3014,0.8062,0.387,0.8634,1.4138,0.7584,-0.8876,0.6246,-0.4112,-0.5648,-0.5319
1a69,-0.9909,2.4811,-1.0643,-0.3161,-0.6245,-0.7691,-1.2456,-0.536,-0.5597,-0.0082,-0.2566,-0.0772,0.3794,-0.9305,0.0972,-1.207,0.2159,0.0245,-0.2836,0.211,-0.97,-0.3631,0.1414
1abf,-1.1593,2.5272,-0.9443,-0.9957,-1.3082,-0.7674,-0.9403,0.2836,-1.2619,-0.8548,0.7257,-1.9202,1.6251,-0.9967,0.2403,-1.0188,0.2234,0.0245,-0.8876,-0.6163,-0.97,-0.5648,-0.5319
1ai5,-1.1391,2.4678,-2.6443,-0.9227,-1.1777,-0.1887,-0.9977,0.2896,-0.01,-1.0733,-1.0435,-0.728,0.3021,0.8022,-0.962,0.0362,-0.6479,-0.7094,-0.8876,-0.6163,-0.4772,-0.5648,-0.5319
1ajp,-1.2799,2.4308,-4.1343,-1.0505,-1.2376,-0.3269,-0.438,0.2607,-0.5176,-1.1552,-0.9845,-0.7005,0.4568,0.8021,-1.1737,-0.2622,-0.0649,-0.2202,-0.8876,-0.8231,-0.97,-0.3631,-0.5319
1ajq,-1.0827,2.4435,-2.0543,-1.3313,-1.3904,-0.1461,-0.7378,-0.0217,-0.5607,-1.2098,-0.6554,-0.8467,1.1377,0.8018,-0.9089,-0.2936,-0.6479,-0.7094,-0.8876,-1.2368,-0.7236,-0.5648,-0.5319
1apw,0.7428,2.9764,1.6357,0.5382,0.5653,0.284,0.0888,4.1789,-1.2619,0.5926,1.0805,1.8241,0.0003,-1.0359,-0.1353,1.5992,0.2905,0.0245,-0.8876,0.211,1.2653,-0.5648,-0.5319
1avn,-1.4419,2.5547,-2.4643,-1.8618,-1.3133,-0.3815,-1.2456,0.0593,-0.691,-2.0291,-1.1204,-2.0514,1.1377,-1.3335,-0.9316,-0.2469,-0.6029,-1.1987,-0.2836,-1.0299,-0.97,-0.3631,0.8147
1ax0,-1.3192,2.5045,-3.2343,-1.0186,-1.0778,-1.0132,-1.2456,0.3991,-1.2619,-0.9094,0.1547,-0.148,1.2151,-0.9306,-0.4417,-0.7053,0.5264,0.2691,-0.8876,-0.2027,-0.97,-0.3631,0.1414
1axz,-1.7569,2.5283,-3.1643,-1.2694,-1.3034,-1.0531,-1.2456,0.2961,-1.2619,-1.0733,0.111,-1.9026,1.5942,-0.9306,-0.7518,-1.207,0.5149,0.2691,-0.8876,-0.4095,-0.97,-0.3631,-0.5319
1b11,-0.3186,2.5244,1.0257,0.1952,0.533,0.4438,0.102,-0.1077,0.9861,-0.609,0.301,0.9332,-0.8431,-0.3637,-0.1741,-0.4543,0.2578,0.0245,-0.3066,0.0041,2.0529,-0.5648,-0.5319
1b39,-0.8343,2.7249,0.5557,0.7298,0.1507,-0.1229,-1.2456,-0.6363,-0.8658,0.9476,0.796,-0.1088,0.1318,1.2284,2.2411,-1.207,-0.0332,1.9815,3.1375,2.0723,-0.97,-0.3631,-0.5319
1b7h,2.1481,2.8903,1.6557,0.7746,0.1693,-1.1776,0.4581,3.4265,-1.2619,1.33,1.819,0.8334,0.4568,0.781,1.3653,0.4019,0.9359,-0.2202,-0.8876,0.211,-0.1708,4.2761,0.1414
1b8o,-0.3104,2.4756,4.2757,-0.2078,-0.4917,-1.0049,-1.2456,-0.4115,-0.3698,-0.0901,0.3682,0.0123,0.4336,-0.9692,-0.6389,-0.9245,0.5322,-0.2202,-0.2836,0.0041,-0.97,0.8471,0.8147
