%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 116 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.39586137766555
%.kernel.kernels[0].lengthscales: [2.71188574e-01 2.24078174e+01 4.27320356e+02 9.94571536e-01 7.66721277e-01 2.34654391e+01 3.91355636e-01 1.55479666e-01 1.37066741e+00 4.73960666e+02 3.25749401e+00 5.18452811e-01 1.31583792e+00 8.29571788e-01 4.61433497e-01 1.71065613e+00 5.16099092e-01 2.58954504e+00 8.61956297e-01 2.98553264e+00]
%.kernel.kernels[1].variance: 0.04809507778345351
%.likelihood.variance: 1e-06
%loglikelihood: 1519.4981136411598
%RMSE:1.671
%Pearson_correlation_coefficient:0.685,P-value:0.000
%Spearman_correlation_coefficient:0.677,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.1728,2.3681,-0.0660,0.1018,0.3147,-0.7109,-0.7333,-0.029,0.9842,0.6176,0.6706,0.717,-0.7714,0.9691,0.0302,0.3773,0.8741,0.3276,-0.8128,0.2237,1.4862,-0.6284,1.456
1a30,-1.1743,2.4292,-2.1660,-0.0923,-0.3831,-1.9668,-0.408,3.1913,-1.2545,0.0386,0.2523,0.4097,-0.2676,0.9984,0.2055,0.8573,1.463,0.8451,-0.8128,0.6487,-0.3653,-0.6284,-0.7107
1a69,-0.6631,2.3256,-1.1660,-0.3253,-0.6357,-0.8183,-1.2151,-0.4919,-0.5551,-0.014,-0.1415,-0.1157,0.3844,-0.7299,0.003,-1.2878,0.2141,0.0688,-0.2427,0.2237,-0.9084,-0.398,0.0116
1abf,-0.4094,1.5360,-1.0460,-1.016,-1.2834,-0.8165,-0.9184,0.3922,-1.2545,-0.8298,0.8028,-1.8949,1.5772,-0.7957,0.1029,-1.0928,0.2219,0.0688,-0.8128,-0.6264,-0.9084,-0.6284,-0.7107
1ai5,-2.2164,1.8331,-2.7460,-0.9419,-1.1598,-0.1821,-0.9742,0.3986,-0.0077,-1.0403,-0.898,-0.744,0.3103,0.9944,-0.7367,0.0002,-0.6865,-0.7074,-0.8128,-0.6264,-0.4295,-0.6284,-0.7107
1ajp,-1.2097,1.5723,-4.2360,-1.0717,-1.2166,-0.3336,-0.4302,0.3674,-0.5132,-1.1193,-0.8413,-0.7175,0.4585,0.9943,-0.8846,-0.3089,-0.0787,-0.1899,-0.8128,-0.8389,-0.9084,-0.398,-0.7107
1ajq,-3.4544,1.1251,-2.1560,-1.3571,-1.3613,-0.1354,-0.7215,0.0628,-0.5562,-1.1719,-0.5249,-0.8586,1.1105,0.994,-0.6997,-0.3415,-0.6865,-0.7074,-0.8128,-1.2639,-0.6689,-0.6284,-0.7107
1apw,0.6430,2.4567,1.5340,0.5429,0.4913,0.3361,0.0817,4.5935,-1.2545,0.565,1.1439,1.7198,0.0213,-0.8348,-0.1594,1.6196,0.2919,0.0688,-0.8128,0.2237,1.264,-0.6284,-0.7107
1avn,-2.1707,2.2679,-2.5660,-1.8962,-1.2883,-0.3934,-1.2151,0.1502,-0.686,-1.9614,-0.972,-2.0216,1.1105,-1.1309,-0.7156,-0.2931,-0.6396,-1.225,-0.2427,-1.0514,-0.9084,-0.398,0.7338
1ax0,-1.9149,1.7877,-3.3360,-1.0393,-1.0652,-1.0859,-1.2151,0.5167,-1.2545,-0.8824,0.2539,-0.1841,1.1845,-0.73,-0.3734,-0.768,0.5378,0.3276,-0.8128,-0.2013,-0.9084,-0.398,0.0116
1axz,-2.8754,1.8209,-3.2660,-1.2942,-1.2789,-1.1297,-1.2151,0.4057,-1.2545,-1.0403,0.2119,-1.8779,1.5476,-0.73,-0.5899,-1.2878,0.5258,0.3276,-0.8128,-0.4138,-0.9084,-0.398,-0.7107
1b11,0.1369,2.3076,0.9240,0.1943,0.4608,0.5112,0.0946,-0.0298,0.9842,-0.593,0.3945,0.8597,-0.7863,-0.1659,-0.1865,-0.508,0.2578,0.0688,-0.2644,0.0112,2.0293,-0.6284,-0.7107
1b39,-0.6707,2.4225,0.4540,0.7376,0.0986,-0.11,-1.2151,-0.6,-0.86,0.9071,0.8704,-0.1462,0.1473,1.4185,1.5005,-1.2878,-0.0456,2.1389,2.9862,2.1364,-0.9084,-0.398,-0.7107
1b7h,0.6763,1.4197,1.5540,0.7831,0.1162,-1.2662,0.4407,3.7821,-1.2545,1.2755,1.8539,0.7634,0.4585,0.9733,0.8887,0.379,0.9647,-0.1899,-0.8128,0.2237,-0.1317,4.9008,0.0116
1b8o,3.1463,1.5914,4.1740,-0.2153,-0.51,-1.0769,-1.2151,-0.3575,-0.3661,-0.0929,0.4592,-0.0293,0.4362,-0.7684,-0.5111,-0.9951,0.5438,-0.1899,-0.2427,0.0112,-0.9084,0.9843,0.7338
1b9j,-0.1278,1.0211,-0.5060,0.7926,0.0987,-1.3101,0.6959,3.8419,-1.2545,1.2492,2.0937,0.7863,0.4585,0.9733,0.7824,0.379,0.9647,-0.1899,-0.8128,0.2237,-0.3653,4.6704,0.0116
1bcu,-1.3509,1.4476,-3.1860,-0.9029,-0.7183,0.6303,0.0931,-0.355,0.0689,-1.1193,-1.0465,-1.7057,0.0287,-0.6737,-1.1111,-0.2378,-0.595,-1.225,-0.2427,-1.0514,-0.4295,-0.6284,-0.7107
1bma,0.7012,2.1416,-1.8760,0.3478,0.7177,1.23,0.3355,0.2703,0.7952,0.6439,-0.4478,0.9721,-0.7937,0.1211,-0.1073,0.2854,-0.6438,-0.4487,-0.2876,-0.2013,1.854,-0.6284,0.0116
1bra,-1.7231,0.5432,-4.6460,-1.3737,-1.256,-0.4065,-0.6918,0.3339,-0.1351,-1.1456,-1.2672,-2.0135,0.7548,-1.7449,-0.6476,-1.2878,-1.2755,-1.225,-0.8128,-1.2639,-0.19,-0.6284,1.456
1bxo,1.0165,2.3679,3.5340,1.7155,1.3753,0.642,0.3083,0.4916,-0.1501,2.065,0.7986,1.1991,-0.8233,0.0812,0.2427,1.5091,0.2698,1.1039,0.7799,1.0738,1.6787,-0.6284,-0.7107
1c84,-0.7189,2.1927,-1.4660,-0.6451,-0.7403,-0.4856,-0.2253,-0.0539,0.0539,-0.0403,0.2651,-0.4315,-0.4158,0.9384,0.1863,-1.024,0.2184,0.0688,-0.8128,-0.4138,0.0495,-0.1676,0.0116
1d7j,-1.7941,2.2969,-3.1660,-1.9189,-1.5171,-0.1606,-0.9184,1.1577,-1.2545,-1.8825,-1.0332,-0.6379,1.4513,-0.704,-1.1914,-0.3498,-0.9716,-0.7074,-0.8128,-1.2639,-0.9084,-0.6284,-0.7107
1det,-1.5541,2.4157,-2.1660,-0.9321,-0.296,-0.6639,-1.2151,-0.4191,-0.7333,-0.3298,0.7089,-0.0197,0.0139,1.2432,-0.1915,-1.2878,-0.0456,0.8451,0.2747,1.0738,-0.9084,0.7539,-0.7107
1df8,-0.7271,1.9219,3.2340,-0.3999,-0.9074,-0.3117,-0.3872,-0.2408,-1.2545,-0.4351,0.1093,-0.1831,1.0512,0.9984,-0.3466,0.2283,-0.0548,-0.4487,-0.2644,-0.6264,-0.6558,-0.398,0.0116
1dhi,0.3400,2.1839,0.7940,0.2757,0.2393,-0.8796,0.3834,-0.5446,0.0471,-0.2508,0.0668,0.3418,-1.6457,0.9984,-0.4165,0.3142,1.1903,0.0688,0.3274,1.0738,-0.9084,0.2931,0.7338
1e1v,0.7504,1.8819,-1.5460,-0.4065,-0.6015,0.4296,-0.408,-0.5734,-1.0572,-0.6982,-0.6767,-1.6214,0.3547,0.1761,-0.3263,-0.5729,-0.3574,-0.9662,-0.2427,-0.4138,-0.1507,1.2147,0.7338
1e5a,-2.0170,1.7974,1.1740,-1.5117,-1.4206,0.9739,0.6878,0.2092,-0.4565,-1.8825,-1.2672,-2.0317,2.0662,0.5063,-1.1387,-1.0758,-0.9716,-0.9662,-0.8128,-1.4764,-0.2771,-0.6284,-0.7107
1e66,0.4020,2.1629,3.4240,0.0275,-0.236,1.3326,1.1841,-0.5079,0.1858,0.1965,-1.2672,-1.3282,0.5844,-0.6822,-0.7053,0.8538,-0.9352,-1.225,-0.8128,-1.2639,0.2836,0.0627,-0.7107
1ela,0.9502,2.0777,-0.1060,0.1079,0.2922,0.5225,1.1841,0.0534,-0.3242,0.0913,-0.1777,0.8456,-0.2158,0.1211,-0.2202,0.5246,-0.0124,-0.4487,-0.8128,-0.2013,0.1136,-0.6284,0.7338
1elb,0.4066,2.4105,0.6840,0.0594,0.3744,0.6871,1.1634,1.1166,-0.3242,0.5123,-0.7081,0.8286,-0.2158,0.1211,0.528,0.4115,0.0119,-0.4487,-0.8128,-0.2013,0.6567,-0.1676,0.7338
1f4e,-1.5944,1.9148,-3.5060,-0.8784,-0.6627,-0.1788,0.1568,-0.1064,-0.3242,-1.4351,-0.8582,0.2968,0.6881,0.9788,-0.9347,-0.3949,-0.6865,-0.1899,0.15,-0.6264,-0.209,-0.6284,-0.7107
1f4f,-0.6149,2.4238,-1.8460,0.2513,-0.1071,-1.3768,0.9354,-0.1556,-0.3242,-0.1719,-0.9527,0.4384,-0.4899,0.9984,0.3208,0.2168,0.8073,1.1039,0.15,0.6487,-0.9084,0.0627,-0.7107
1f4g,-0.1240,2.4230,0.0140,0.9477,0.2549,-1.5273,0.9354,-0.0892,-0.3242,0.9071,-0.1918,0.6683,-0.8826,0.9984,0.2847,1.3699,1.1232,1.3626,0.15,1.0738,-0.9084,0.2931,-0.7107
1f5k,-1.8161,0.0581,-2.7260,-1.3608,-1.256,-0.4065,-0.6918,0.3339,-0.1351,-1.0667,-1.2672,-2.0135,0.7548,-1.7449,-0.7376,-1.2878,-1.2755,-1.225,-0.8128,-1.2639,-0.19,-0.6284,0.0116
1fcx,1.0388,2.3104,0.7240,0.8673,0.4166,1.2648,2.0001,-0.4449,1.3174,-0.2772,-0.7056,-0.3223,-0.238,0.9393,-0.7247,-0.248,-0.3826,-0.4487,-0.8128,-1.0514,1.854,-0.398,-0.7107
1fcz,1.1451,2.0994,2.7540,0.6534,0.1189,1.1615,1.2932,-0.2636,1.1286,-0.4351,-0.6769,0.5548,-0.2602,0.9393,-0.7032,0.0157,-0.6865,-0.4487,-0.8128,-1.0514,1.8544,-0.6284,-0.7107
1fd0,1.0530,2.1859,1.9340,0.9497,0.4517,1.309,1.78,-0.4509,1.3174,-0.2245,-0.6229,-0.3198,-0.601,0.9393,-0.6155,0.2795,-0.3766,-0.4487,-0.8128,-0.8389,1.8189,-0.1676,-0.7107
1fh7,-0.9924,2.0886,-1.2260,-0.6035,-0.7995,-1.6385,-1.2151,-0.1301,-1.2545,0.2492,0.3353,-1.628,1.4883,-0.7925,0.5704,-1.2878,1.1231,0.5863,-0.8128,0.0112,-0.9084,1.6754,0.0116
1fh8,-0.9228,2.2216,0.4240,-0.8083,-0.8212,-1.3248,-1.2151,-0.1499,-1.2545,-0.2772,0.6838,-1.6501,1.5179,-0.7925,-0.1148,-0.8557,0.8192,0.3276,-0.8128,-0.2013,-0.9084,0.9843,0.7338
1fh9,-0.8217,2.4163,-0.0360,-0.3684,-0.7924,-1.3904,-1.2151,-0.1651,-1.2545,0.7229,1.0351,-1.6124,0.9771,-0.5556,1.2485,-0.9798,1.4334,0.8451,-0.8128,0.4362,-0.7041,2.3666,1.456
