%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 119 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6295742531087714
%.kernel.kernels[0].lengthscales: [  0.51556398   0.83549776   1.02137618   1.88383657   1.17389732   1.49690591   1.64531543   0.98623127   1.52874677   1.17209423   1.78116442 228.00481396   2.62928727   0.73692999   0.65217057   1.96055514   0.60078923   1.54640415   0.97628583]
%.kernel.kernels[1].variance: 0.02713284288510828
%.likelihood.variance: 0.8516747811412062
%loglikelihood: -6537.233668194998
%RMSE:1.527
%Pearson_correlation_coefficient:0.746,P-value:0.000
%Spearman_correlation_coefficient:0.746,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4
10gs,-0.5198,1.3448,-0.0535,0.1101,0.348,-0.7059,-0.7281,-0.0081,0.9746,0.6229,0.6441,0.7266,-0.7807,0.9653,0.0081,0.41,0.925,0.3665,-0.8144,0.2493,1.5304,-0.6375
1a30,-1.4799,1.5544,-2.1535,-0.0856,-0.3613,-1.9753,-0.3999,3.3695,-1.2618,0.033,0.2296,0.4142,-0.2683,0.9942,0.1824,0.8981,1.5328,0.9002,-0.8144,0.6872,-0.35,-0.6375
1a69,-0.6876,0.4964,-1.1535,-0.3204,-0.6182,-0.8145,-1.214,-0.4936,-0.5632,-0.0206,-0.1606,-0.1201,0.3949,-0.712,-0.019,-1.2831,0.2439,0.0996,-0.2381,0.2493,-0.9016,-0.4026
1abf,-0.5470,0.5588,-1.0335,-1.0165,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-0.8519,0.775,-1.9292,1.6081,-0.777,0.0804,-1.0848,0.252,0.0996,-0.8144,-0.6265,-0.9016,-0.6375
1ai5,-2.2233,0.3328,-2.7335,-0.9418,-1.151,-0.1715,-0.971,0.4404,-0.0163,-1.0664,-0.9102,-0.7589,0.3195,0.9903,-0.7549,0.0266,-0.6854,-0.7009,-0.8144,-0.6265,-0.4152,-0.6375
1ajp,-2.2011,0.3115,-4.2235,-1.0726,-1.2087,-0.3246,-0.4223,0.4077,-0.5213,-1.1469,-0.8539,-0.732,0.4702,0.9903,-0.902,-0.2878,-0.0582,-0.1672,-0.8144,-0.8454,-0.9016,-0.4026
1ajq,-2.3364,0.3886,-2.1435,-1.3603,-1.3558,-0.1242,-0.7162,0.0882,-0.5642,-1.2005,-0.5405,-0.8755,1.1334,0.99,-0.718,-0.3208,-0.6854,-0.7009,-0.8144,-1.2833,-0.6584,-0.6375
1apw,1.3377,1.2270,1.5465,0.5546,0.5276,0.3523,0.094,4.8403,-1.2618,0.5693,1.113,1.7462,0.0256,-0.8155,-0.1805,1.6732,0.3242,0.0996,-0.8144,0.2493,1.3047,-0.6375
1avn,-3.4182,0.8828,-2.5535,-1.9036,-1.2816,-0.385,-1.214,0.1799,-0.6939,-2.005,-0.9834,-2.0581,1.1334,-1.1079,-0.7338,-0.2716,-0.637,-1.2346,-0.2381,-1.0644,-0.9016,-0.4026
1ax0,-2.1370,0.4970,-3.3235,-1.04,-1.0548,-1.0849,-1.214,0.5643,-1.2618,-0.9056,0.2312,-0.1896,1.2087,-0.712,-0.3934,-0.7545,0.578,0.3665,-0.8144,-0.1886,-0.9016,-0.4026
