%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 80 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.4937138137314614
%.kernel.kernels[0].lengthscales: [2.72052632e-01 2.21114511e+01 4.27319846e+02 1.34136569e+00 3.56521139e-01 1.52374372e+01 5.93759746e-01 3.21157877e-01 1.55527411e+00 4.73960223e+02 6.96161782e+02 4.80432314e-01 1.13710226e+00 1.05913921e+00 4.53770825e-01 1.19034322e+03 1.13349162e+00 8.05982336e-01 8.65851318e-01 7.19226618e-01]
%.kernel.kernels[1].variance: 0.054047865107193435
%.likelihood.variance: 1.0000000000202421e-06
%loglikelihood: 1597.7192711970715
%RMSE:1.646
%Pearson_correlation_coefficient:0.687,P-value:0.000
%Spearman_correlation_coefficient:0.683,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.0001,2.5155,-0.0036,0.1047,0.3421,-0.7023,-0.7416,-0.0135,0.9714,0.6292,0.6397,0.711,-0.7648,0.9872,0.031,0.4143,0.9109,0.359,-0.8254,0.2369,1.5098,-0.6483,1.4024
1a30,-1.4706,2.5244,-2.1036,-0.0928,-0.3694,-1.9717,-0.4163,3.3851,-1.2599,0.0281,0.2209,0.3982,-0.2556,1.0165,0.2458,0.903,1.5211,0.8999,-0.8254,0.6814,-0.3508,-0.6483,-0.7288
1a69,-0.5774,2.3051,-1.1036,-0.3299,-0.6271,-0.8109,-1.2234,-0.5019,-0.5629,-0.0265,-0.1733,-0.1368,0.4034,-0.7122,-0.0023,-1.2812,0.2271,0.0886,-0.2412,0.2369,-0.8966,-0.4158,-0.0184
1abf,-2.0441,2.2407,-0.9836,-1.0326,-1.2875,-0.809,-0.9267,0.4311,-1.2599,-0.8734,0.772,-1.9481,1.609,-0.778,0.1201,-1.0827,0.2353,0.0886,-0.8254,-0.6519,-0.8966,-0.6483,-0.7288
1ai5,-3.8135,0.4968,-2.6836,-0.9572,-1.1615,-0.1678,-0.9825,0.4378,-0.0173,-1.092,-0.9306,-0.7763,0.3285,1.0125,-0.9088,0.0303,-0.7059,-0.7227,-0.8254,-0.6519,-0.4153,-0.6483,-0.7288
1ajp,-3.0760,1.1882,-4.1736,-1.0893,-1.2194,-0.321,-0.4385,0.4049,-0.5211,-1.1739,-0.8738,-0.7494,0.4783,1.0124,-1.09,-0.2845,-0.0762,-0.1819,-0.8254,-0.8742,-0.8966,-0.4158,-0.7288
1ajq,-2.9193,1.3259,-2.0936,-1.3796,-1.3669,-0.1206,-0.7299,0.0835,-0.5639,-1.2286,-0.5571,-0.8931,1.1373,1.0121,-0.8634,-0.3176,-0.7059,-0.7227,-0.8254,-1.3186,-0.6559,-0.6483,-0.7288
1apw,0.6144,2.5206,1.5964,0.5534,0.5222,0.356,0.0734,4.865,-1.2599,0.5745,1.1134,1.7319,0.0365,-0.8171,-0.2013,1.6792,0.3077,0.0886,-0.8254,0.2369,1.2864,-0.6483,-0.7288
1avn,-2.0594,2.4301,-2.5036,-1.9281,-1.2925,-0.3814,-1.2234,0.1757,-0.6933,-2.0482,-1.0047,-2.0771,1.1373,-1.1133,-0.8828,-0.2683,-0.6573,-1.2636,-0.2412,-1.0964,-0.8966,-0.4158,0.692
1ax0,-2.3438,1.1982,-3.2736,-1.0563,-1.065,-1.0813,-1.2234,0.5625,-1.2599,-0.9281,0.2225,-0.2064,1.2122,-0.7122,-0.4635,-0.7519,0.5625,0.359,-0.8254,-0.2075,-0.8966,-0.4158,-0.0184
1axz,-2.3187,1.9934,-3.2036,-1.3156,-1.2829,-1.1256,-1.2234,0.4453,-1.2599,-1.092,0.1805,-1.9308,1.5791,-0.7122,-0.7289,-1.2812,0.5501,0.359,-0.8254,-0.4297,-0.8966,-0.4158,-0.7288
1b11,0.1856,2.4956,0.9864,0.1988,0.4911,0.533,0.0862,-0.0143,0.9714,-0.6275,0.3633,0.8563,-0.7797,-0.148,-0.2345,-0.4871,0.2724,0.0886,-0.2634,0.0147,2.0555,-0.6483,-0.7288
1b39,-1.3576,2.3829,0.5164,0.7516,0.1217,-0.0949,-1.2234,-0.6161,-0.8668,0.9297,0.8397,-0.1678,0.1638,1.4367,1.8326,-1.2812,-0.042,2.252,3.0671,2.2369,-0.8966,-0.4158,-0.7288
1b7h,0.6719,2.0938,1.6164,0.7978,0.1397,-1.2635,0.4323,4.0086,-1.2599,1.3122,1.8242,0.7582,0.4783,0.9914,1.083,0.4161,1.0049,-0.1819,-0.8254,0.2369,-0.1161,4.9302,-0.0184
1b8o,2.7483,1.2164,4.2364,-0.2179,-0.4988,-1.0722,-1.2234,-0.3602,-0.3745,-0.1085,0.428,-0.0488,0.4558,-0.7507,-0.6323,-0.9832,0.5688,-0.1819,-0.2412,0.0147,-0.8966,0.9788,0.692
1b9j,0.6343,1.9581,-0.4436,0.8075,0.1219,-1.3079,0.6875,4.0718,-1.2599,1.2848,2.0643,0.7816,0.4783,0.9914,0.9527,0.4161,1.0049,-0.1819,-0.8254,0.2369,-0.3508,4.6977,-0.0184
