%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 78 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 2.2863824099286663
%.kernel.kernels[0].lengthscales: [4.13319498e+02 2.24585695e+04 1.10353569e+04 2.67031671e+03 7.08151124e-01 8.39388032e+02 1.23834162e+03 6.71884049e+03 1.25873608e+04 1.62874727e+00 1.11855278e+03 1.11014487e+03 2.32240972e+04 2.18262978e+04 3.91301741e-02 7.22855516e+01 1.14007829e-01 5.55549450e+01 2.20590061e-01 2.65680523e+00]
%.kernel.kernels[1].variance: 0.10971039582855593
%.likelihood.variance: 1.0014668919994427e-06
%loglikelihood: -141.62776948216026
%RMSE:2.024
%Pearson_correlation_coefficient:0.445,P-value:0.000
%Spearman_correlation_coefficient:0.450,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,-0.2890,2.4610,0.0385,0.173,0.4969,-0.7117,-0.6392,-0.0585,1.0354,0.7544,0.788,0.7597,-0.8241,1.1271,0.3029,0.473,1.2902,0.499,-0.7954,0.301,1.9492,-0.7933,1.1703
1a30,-1.1223,2.7864,-2.0615,-0.0152,-0.211,-1.9346,-0.3348,3.5329,-1.2572,0.1714,0.3444,0.4775,-0.3279,1.1609,0.5734,0.9414,2.0625,1.0618,-0.7954,0.7152,-0.1936,-0.7933,-0.6457
1a69,-0.1842,2.3092,-1.0615,-0.2412,-0.4674,-0.8163,-1.0899,-0.5747,-0.541,0.1184,-0.0731,-0.0052,0.3141,-0.8328,0.2608,-1.1522,0.4248,0.2176,-0.3088,0.301,-0.8221,-0.4943,-0.0404
1abf,-0.6532,2.1299,-0.9415,-0.9109,-1.1245,-0.8145,-0.8123,0.4112,-1.2572,-0.7031,0.9281,-1.6396,1.4888,-0.9087,0.4151,-0.9619,0.435,0.2176,-0.7954,-0.5274,-0.8221,-0.7933,-0.6457
1ai5,-0.6625,2.3291,-2.6415,-0.839,-0.9991,-0.1968,-0.8645,0.4184,0.0196,-0.9151,-0.8752,-0.5823,0.2412,1.1563,-0.8811,0.105,-0.7562,-0.6266,-0.7954,-0.5274,-0.2678,-0.7933,-0.6457
1ajp,-1.4204,2.3163,-4.1315,-0.9649,-1.0567,-0.3443,-0.3556,0.3836,-0.4981,-0.9946,-0.815,-0.558,0.3871,1.1563,-1.1094,-0.1968,0.0409,-0.0638,-0.7954,-0.7345,-0.8221,-0.4943,-0.6457
1ajq,0.2432,0.4139,-2.0515,-1.2416,-1.2035,-0.1513,-0.6282,0.0439,-0.5421,-1.0476,-0.4796,-0.6876,1.0291,1.1559,-0.824,-0.2285,-0.7562,-0.6266,-0.7954,-1.1487,-0.545,-0.7933,-0.6457
1apw,0.1470,3.7125,1.6385,0.6007,0.6761,0.3078,0.1233,5.0967,-1.2572,0.7014,1.2898,1.6809,-0.0434,-0.9537,0.0102,1.6854,0.5268,0.2176,-0.7954,0.301,1.6919,-0.7933,-0.6457
1avn,-1.5930,2.3407,-2.4615,-1.7643,-1.1295,-0.4025,-1.0899,0.1414,-0.675,-1.8426,-0.9536,-1.756,1.0291,-1.2953,-0.8484,-0.1813,-0.6946,-1.1894,-0.3088,-0.9416,-0.8221,-0.4943,0.565
1ax0,-0.5659,2.4166,-3.2315,-0.9334,-0.9031,-1.0768,-1.0899,0.5501,-1.2572,-0.7561,0.3461,-0.068,1.1021,-0.8328,-0.3201,-0.6448,0.8492,0.499,-0.7954,-0.1132,-0.8221,-0.4943,-0.0404
1axz,-1.3936,2.4153,-3.1615,-1.1806,-1.12,-1.1195,-1.0899,0.4263,-1.2572,-0.9151,0.3016,-1.624,1.4596,-0.8328,-0.6545,-1.1522,0.8335,0.499,-0.7954,-0.3203,-0.8221,-0.4943,-0.6457
1b11,-2.7924,1.4052,1.0285,0.2627,0.6451,0.4783,0.1353,-0.0594,1.0354,-0.4646,0.4953,0.8908,-0.8387,-0.1821,-0.0317,-0.391,0.4821,0.2176,-0.3273,0.0939,2.5777,-0.7933,-0.6457
1b39,-0.5935,2.8663,0.5585,0.7895,0.2776,-0.1266,-1.0899,-0.6953,-0.8533,1.0459,0.9998,-0.0332,0.0806,1.6456,2.5725,-1.1522,0.0842,2.4688,2.4475,2.1649,-0.8221,-0.4943,-0.6457
1b7h,-1.5558,4.0925,1.6585,0.8336,0.2955,-1.2524,0.459,4.1917,-1.2572,1.4169,2.0425,0.8023,0.3871,1.132,1.6282,0.4747,1.4091,-0.0638,-0.7954,0.301,0.0767,6.3824,-0.0404
1b8o,-0.2969,2.4995,4.2785,-0.1345,-0.3398,-1.068,-1.0899,-0.4249,-0.3474,0.0389,0.5638,0.0742,0.3652,-0.8771,-0.5328,-0.8665,0.8571,-0.0638,-0.3088,0.0939,-0.8221,1.2996,0.565
1b9j,-1.4626,4.0025,-0.4015,0.8428,0.2778,-1.2951,0.6978,4.2584,-1.2572,1.3904,2.2968,0.8234,0.3871,1.132,1.4641,0.4747,1.4091,-0.0638,-0.7954,0.301,-0.1936,6.0834,-0.0404
1bcu,-3.6680,0.1912,-3.0815,-0.8012,-0.5512,0.5943,0.1339,-0.422,0.0981,-0.9946,-1.0326,-1.4658,-0.0361,-0.7679,-1.459,-0.1274,-0.6362,-1.1894,-0.3088,-0.9416,-0.2678,-0.7933,-0.6457
1bma,0.4187,2.5259,-1.7715,0.4116,0.9058,1.1782,0.3607,0.2753,0.8418,0.7809,-0.3978,0.994,-0.846,0.149,0.0905,0.3833,-0.7001,-0.3452,-0.347,-0.1132,2.3748,-0.7933,-0.0404
1bra,-0.4889,2.6143,-4.5415,-1.2577,-1.0967,-0.4153,-0.6004,0.3463,-0.1109,-1.0211,-1.2666,-1.7485,0.6789,-2.0036,-0.7435,-1.1522,-1.5285,-1.1894,-0.7954,-1.1487,0.0093,-0.7933,1.1703
1bxo,0.6288,2.7556,3.6385,1.7377,1.573,0.6057,0.3352,0.5221,-0.1262,2.2119,0.9236,1.2026,-0.8751,0.103,0.6308,1.5776,0.4978,1.3432,0.5642,1.1294,2.172,-0.7933,-0.6457
1c84,-1.1085,2.4018,-1.3615,-0.5512,-0.5735,-0.4923,-0.164,-0.0863,0.0827,0.0919,0.358,-0.2953,-0.4739,1.0917,0.5439,-0.8947,0.4304,0.2176,-0.7954,-0.3203,0.2864,-0.1953,-0.0404
1d7j,-0.0311,1.8216,-3.0615,-1.7864,-1.3616,-0.1759,-0.8123,1.2649,-1.2572,-1.7631,-1.0185,-0.4849,1.3648,-0.8028,-1.583,-0.2367,-1.13,-0.6266,-0.7954,-1.1487,-0.8221,-0.7933,-0.6457
1det,-2.1962,2.5356,-2.0615,-0.8295,-0.1227,-0.6659,-1.0899,-0.4935,-0.7235,-0.1996,0.8286,0.083,-0.0507,1.4434,-0.0394,-1.1522,0.0842,1.0618,0.1329,1.1294,-0.8221,1.0006,-0.6457
1df8,-1.3333,1.0328,3.3385,-0.3134,-0.743,-0.323,-0.3154,-0.2947,-1.2572,-0.3056,0.1928,-0.0671,0.9708,1.161,-0.2789,0.3275,0.0722,-0.3452,-0.3273,-0.5274,-0.5298,-0.4943,-0.0404
1dhi,-0.4625,2.6740,0.8985,0.3416,0.4204,-0.876,0.4055,-0.6334,0.0757,-0.1201,0.1478,0.4151,-1.685,1.161,-0.3868,0.4114,1.7049,0.2176,0.1779,1.1294,-0.8221,0.4026,0.565
1e1v,-0.6624,2.5711,-1.4415,-0.3198,-0.4326,0.3989,-0.3348,-0.6656,-1.0552,-0.5706,-0.6405,-1.3883,0.2849,0.2124,-0.2476,-0.4545,-0.3246,-0.908,-0.3088,-0.3203,0.0548,1.5986,0.565
1e5a,0.9277,0.4629,1.2785,-1.3915,-1.2637,0.9289,0.6902,0.2072,-0.44,-1.7631,-1.2666,-1.7652,1.9703,0.5933,-1.5017,-0.9452,-1.13,-0.908,-0.7954,-1.3558,-0.0915,-0.7933,-0.6457
1e66,1.0242,2.5472,3.5285,0.1009,-0.0618,1.2781,1.1545,-0.5925,0.2178,0.3304,-1.2666,-1.119,0.5111,-0.7777,-0.8326,0.9381,-1.0823,-1.1894,-0.7954,-1.1487,0.5574,0.1036,-0.6457
1ela,0.8747,2.3859,-0.0015,0.1789,0.4741,0.4893,1.1545,0.0334,-0.3045,0.2244,-0.1115,0.8779,-0.2769,0.149,-0.0837,0.6167,0.1277,-0.3452,-0.7954,-0.1132,0.3607,-0.7933,0.565
1elb,0.8519,2.5926,0.7885,0.1319,0.5574,0.6496,1.1351,1.2192,-0.3045,0.6484,-0.6738,0.8622,-0.2769,0.149,1.0713,0.5064,0.1597,-0.3452,-0.7954,-0.1132,0.9892,-0.1953,0.565
1f4e,-0.9929,2.3291,-3.4015,-0.7774,-0.4947,-0.1936,0.1935,-0.1448,-0.3045,-1.3126,-0.833,0.3737,0.6133,1.1384,-1.1867,-0.2807,-0.7562,-0.0638,0.0265,-0.5274,-0.0127,-0.7933,-0.6457
1f4f,-0.1622,2.6119,-1.7415,0.318,0.0689,-1.3601,0.9218,-0.1996,-0.3045,-0.0406,-0.9331,0.5038,-0.5468,1.161,0.7514,0.3164,1.2027,1.3432,0.0265,0.7152,-0.8221,0.1036,-0.6457
1f4g,-0.0042,2.6185,0.1185,0.9933,0.4362,-1.5066,0.9218,-0.1256,-0.3045,1.0459,-0.1265,0.715,-0.9335,1.161,0.6957,1.4418,1.6169,1.6246,0.0265,1.1294,-0.8221,0.4026,-0.6457
