%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 13 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 4.258354215804607e-06
%.kernel.kernels[0].lengthscales: [4.13160447e+02 2.24585695e+04 1.10353569e+04 2.67031700e+03 3.05050898e+02 8.39384968e+02 1.23834292e+03 6.71884050e+03 1.25873608e+04 1.65943946e-03 1.11855117e+03 1.11012230e+03 2.32240972e+04 2.18262978e+04 4.01639348e-02 6.65786102e+01 2.96995688e+02 6.60301091e+01 3.06940999e-05 2.70215813e+04]
%.kernel.kernels[1].variance: 0.0662203191652265
%.likelihood.variance: 2.33479381879596
%loglikelihood: -381.815282634073
%RMSE:1.869
%Pearson_correlation_coefficient:0.582,P-value:0.000
%Spearman_correlation_coefficient:0.595,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.1632,0.2082,-0.0119,0.1286,0.3252,-0.7064,-0.8328,-0.11,1.007,0.6916,0.7673,0.6992,-0.7512,0.953,0.0823,0.2574,0.9454,0.4802,-0.9122,0.3126,1.4384,-0.6116,1.721
1a30,-2.0621,0.1508,-2.1119,-0.0692,-0.3751,-1.8843,-0.482,2.6852,-1.2279,0.0835,0.3396,0.3806,-0.2281,0.9817,0.2862,0.7249,1.5254,1.0486,-0.9122,0.7827,-0.409,-0.6116,-0.7553
1a69,-0.7024,0.0725,-1.1119,-0.3065,-0.6287,-0.8072,-1.3523,-0.5117,-0.5298,0.0282,-0.063,-0.1643,0.4488,-0.7107,0.0507,-1.3644,0.2955,0.1961,-0.2587,0.3126,-0.9508,-0.362,0.0702
1abf,-1.4454,0.1165,-0.9919,-1.0099,-1.2788,-0.8055,-1.0324,0.2556,-1.2279,-0.8287,0.9024,-2.009,1.6872,-0.7751,0.1669,-1.1745,0.3032,0.1961,-0.9122,-0.6276,-0.9508,-0.6116,-0.7553
1ai5,-1.3381,0.0744,-2.6919,-0.9344,-1.1547,-0.2105,-1.0925,0.2612,0.0167,-1.0499,-0.8364,-0.8157,0.3719,0.9778,-0.81,-0.1098,-0.5914,-0.6564,-0.9122,-0.6276,-0.473,-0.6116,-0.7553
1ajp,-1.3772,0.0537,-4.1819,-1.0666,-1.2117,-0.3526,-0.5059,0.2341,-0.4879,-1.1328,-0.7784,-0.7882,0.5257,0.9778,-0.9821,-0.411,0.0071,-0.0881,-0.9122,-0.8626,-0.9508,-0.362,-0.7553
1ajq,-1.1075,0.0488,-2.1019,-1.3573,-1.3569,-0.1667,-0.8201,-0.0302,-0.5308,-1.1881,-0.4549,-0.9345,1.2026,0.9774,-0.7669,-0.4427,-0.5914,-0.6564,-0.9122,-1.3327,-0.7119,-0.6116,-0.7553
1apw,-0.6286,0.2832,1.5881,0.5777,0.5025,0.2755,0.0461,3.9023,-1.2279,0.6363,1.2511,1.7389,0.0719,-0.8133,-0.1382,1.4674,0.3721,0.1961,-0.9122,0.3126,1.2166,-0.6116,-0.7553
1avn,-1.3310,0.1234,-2.5119,-1.9063,-1.2837,-0.4087,-1.3523,0.0456,-0.6603,-2.0174,-0.9119,-2.1404,1.2026,-1.1033,-0.7853,-0.3956,-0.5452,-1.2248,-0.2587,-1.0977,-0.9508,-0.362,0.8956
1ax0,-1.3074,0.0847,-3.2819,-1.0336,-1.0597,-1.0581,-1.3523,0.3637,-1.2279,-0.884,0.3412,-0.2351,1.2795,-0.7107,-0.3872,-0.8581,0.6142,0.4802,-0.9122,-0.1575,-0.9508,-0.362,0.0702
1axz,-1.8835,0.1033,-3.2119,-1.2932,-1.2743,-1.0992,-1.3523,0.2674,-1.2279,-1.0499,0.2983,-1.9914,1.6564,-0.7107,-0.6392,-1.3644,0.6025,0.4802,-0.9122,-0.3925,-0.9508,-0.362,-0.7553
1b11,0.0788,0.1113,0.9781,0.2227,0.4718,0.4398,0.0599,-0.1107,1.007,-0.5799,0.485,0.8472,-0.7665,-0.1583,-0.1698,-0.6048,0.3385,0.1961,-0.2836,0.0776,1.9802,-0.6116,-0.7553
1b39,-0.2560,0.2729,0.5081,0.7761,0.1083,-0.1429,-1.3523,-0.6056,-0.8341,0.9957,0.9715,-0.1958,0.2026,1.3931,1.7929,-1.3644,0.0397,2.4694,3.4425,2.428,-0.9508,-0.362,-0.7553
1b7h,0.2462,0.5307,1.6081,0.8224,0.126,-1.2272,0.4331,3.198,-1.2279,1.3827,1.9769,0.7473,0.5257,0.9572,1.0812,0.2591,1.0347,-0.0881,-0.9122,0.3126,-0.1759,5.3795,0.0702
1b8o,0.0374,0.0782,4.2281,-0.1944,-0.5025,-1.0497,-1.3523,-0.3951,-0.341,-0.0547,0.5511,-0.0747,0.5026,-0.7483,-0.5475,-1.0794,0.6202,-0.0881,-0.2587,0.0776,-0.9508,1.1358,0.8956
1b9j,0.2922,0.5255,-0.4519,0.8321,0.1084,-1.2684,0.7083,3.2499,-1.2279,1.3551,2.2221,0.771,0.5257,0.9572,0.9575,0.2591,1.0347,-0.0881,-0.9122,0.3126,-0.409,5.1299,0.0702
1bcu,-0.6409,0.0737,-3.1319,-0.8947,-0.7116,0.5514,0.0584,-0.3929,0.0932,-1.1328,-0.9881,-1.8129,0.0796,-0.6556,-1.2455,-0.3417,-0.5013,-1.2248,-0.2587,-1.0977,-0.473,-0.6116,-0.7553
1bma,0.5033,0.0773,-1.8219,0.3791,0.7297,1.1138,0.3197,0.1498,0.8182,0.7193,-0.3761,0.9636,-0.7742,0.1227,-0.0777,0.1679,-0.5493,-0.3723,-0.3101,-0.1575,1.8053,-0.6116,0.0702
1bra,-1.1721,0.1630,-4.5919,-1.3742,-1.2512,-0.421,-0.788,0.2051,-0.1105,-1.1604,-1.2138,-2.132,0.8334,-1.7045,-0.7063,-1.3644,-1.1715,-1.2248,-0.9122,-1.3327,-0.2341,-0.6116,1.721
1bxo,1.0620,0.1279,3.5881,1.772,1.3896,0.5624,0.2904,0.342,-0.1254,2.212,0.8981,1.199,-0.805,0.0837,0.3295,1.3598,0.3503,1.3327,0.9136,1.2528,1.6304,-0.6116,-0.7553
1c84,-0.8038,0.0656,-1.4119,-0.6321,-0.7337,-0.4951,-0.2851,-0.1316,0.0783,0.0006,0.3527,-0.4917,-0.3819,0.923,0.264,-1.1075,0.2997,0.1961,-0.9122,-0.3925,0.0048,-0.1123,0.0702
1d7j,-1.7383,0.0922,-3.1119,-1.9295,-1.5133,-0.1903,-1.0324,0.9201,-1.2279,-1.9344,-0.9745,-0.7057,1.5564,-0.6852,-1.339,-0.4508,-0.8722,-0.6564,-0.9122,-1.3327,-0.9508,-0.6116,-0.7553
1det,-1.2169,0.1310,-2.1119,-0.9245,-0.2877,-0.6624,-1.3523,-0.4486,-0.7076,-0.3035,0.8064,-0.0647,0.0642,1.2215,-0.1756,-1.3644,0.0397,1.0486,0.3344,1.2528,-0.9508,0.8862,-0.7553
1df8,-0.2570,0.0660,3.2881,-0.3824,-0.9014,-0.3321,-0.4596,-0.2938,-1.2279,-0.4141,0.1934,-0.2342,1.1411,0.9817,-0.3561,0.1123,0.0307,-0.3723,-0.2836,-0.6276,-0.6988,-0.362,0.0702
1dhi,-0.1636,0.1395,0.8481,0.3056,0.2495,-0.8647,0.3713,-0.5574,0.0715,-0.2206,0.15,0.3102,-1.6588,0.9817,-0.4374,0.196,1.2569,0.1961,0.3948,1.2528,-0.9508,0.3869,0.8956
1e1v,-0.5090,0.1118,-1.4919,-0.3891,-0.5943,0.3633,-0.482,-0.5825,-1.031,-0.6905,-0.6101,-1.7255,0.418,0.1765,-0.3325,-0.6681,-0.2673,-0.9406,-0.2587,-0.3925,-0.1949,1.3854,0.8956
1e5a,-1.3912,0.1596,1.2281,-1.5147,-1.4165,0.8737,0.6995,0.0968,-0.4313,-1.9344,-1.2138,-2.1508,2.1948,0.4998,-1.2776,-1.1579,-0.8722,-0.9406,-0.9122,-1.5677,-0.321,-0.6116,-0.7553
1e66,0.4503,0.1321,3.4781,0.0528,-0.2275,1.2101,1.2347,-0.5256,0.2099,0.2493,-1.2138,-1.4214,0.6565,-0.6639,-0.7734,0.7216,-0.8364,-1.2248,-0.9122,-1.3327,0.2385,0.1373,-0.7553
1ela,0.2432,0.0687,-0.0519,0.1347,0.3026,0.4503,1.2347,-0.0384,-0.2992,0.1388,-0.1,0.8325,-0.1743,0.1227,-0.209,0.4009,0.0724,-0.3723,-0.9122,-0.1575,0.0689,-0.6116,0.8956
1elb,-0.1089,0.1065,0.7381,0.0853,0.3851,0.6047,1.2124,0.8845,-0.2992,0.5811,-0.6422,0.8149,-0.1743,0.1227,0.6614,0.2908,0.0964,-0.3723,-0.9122,-0.1575,0.6107,-0.1123,0.8956
1f4e,-0.6586,0.0723,-3.4519,-0.8697,-0.6557,-0.2074,0.127,-0.1771,-0.2992,-1.4645,-0.7957,0.2635,0.7641,0.9626,-1.0403,-0.4947,-0.5914,-0.0881,0.1915,-0.6276,-0.253,-0.6116,-0.7553
1f4f,-0.7322,0.1453,-1.7919,0.2808,-0.0982,-1.331,0.9665,-0.2198,-0.2992,-0.1377,-0.8922,0.4103,-0.4589,0.9817,0.4204,0.1011,0.8797,1.3327,0.1915,0.7827,-0.9508,0.1373,-0.7553
1f4g,-0.0735,0.1585,0.0681,0.9901,0.2652,-1.4721,0.9665,-0.1622,-0.2992,0.9957,-0.1144,0.6486,-0.8665,0.9817,0.3784,1.2243,1.1907,1.6169,0.1915,1.2528,-0.9508,0.3869,-0.7553
1f5k,-1.3576,0.1305,-2.6719,-1.3611,-1.2512,-0.421,-0.788,0.2051,-0.1105,-1.0775,-1.2138,-2.132,0.8334,-1.7045,-0.8109,-1.3644,-1.1715,-1.2248,-0.9122,-1.3327,-0.2341,-0.6116,0.0702
1fcx,0.6353,0.1904,0.7781,0.9082,0.4275,1.1465,2.1146,-0.4709,1.3396,-0.2482,-0.6396,-0.3784,-0.1973,0.9238,-0.796,-0.3516,-0.2921,-0.3723,-0.9122,-1.0977,1.8053,-0.362,-0.7553
1fcz,0.5800,0.1285,2.8081,0.6903,0.1287,1.0497,1.3523,-0.3135,1.1511,-0.4141,-0.6103,0.531,-0.2204,0.9239,-0.771,-0.0947,-0.5914,-0.3723,-0.9122,-1.0977,1.8057,-0.6116,-0.7553
1fd0,0.6586,0.1470,1.9881,0.992,0.4627,1.1879,1.8772,-0.4761,1.3396,-0.1929,-0.5551,-0.3759,-0.5742,0.9238,-0.6689,0.1622,-0.2862,-0.3723,-0.9122,-0.8626,1.7703,-0.1123,-0.7553
1fh7,-1.0412,0.1099,-1.1719,-0.5898,-0.793,-1.5764,-1.3523,-0.1977,-1.2279,0.3046,0.4245,-1.7323,1.5949,-0.7719,0.7108,-1.3644,1.1906,0.7644,-0.9122,0.0776,-0.9508,1.8847,0.0702
1fh8,-0.8510,0.1053,0.4781,-0.7984,-0.8149,-1.2822,-1.3523,-0.2149,-1.2279,-0.2482,0.7808,-1.7552,1.6256,-0.7719,-0.0864,-0.9435,0.8913,0.4802,-0.9122,-0.1575,-0.9508,1.1358,0.8956
1fh9,-0.6430,0.1808,0.0181,-0.3503,-0.786,-1.3438,-1.3523,-0.2281,-1.2279,0.8022,1.1398,-1.7161,1.0641,-0.54,1.4997,-1.0644,1.4962,1.0486,-0.9122,0.5477,-0.747,2.6336,1.721
1fkb,1.2171,0.5718,3.2881,0.9671,3.4607,1.5887,3.6092,-0.1586,0.2545,0.5534,0.0805,1.6914,-0.7512,0.0083,-0.3404,4.6705,1.4009,2.4694,-0.2836,1.4878,1.8396,-0.6116,-0.7553
1fki,-0.2815,0.1396,0.5881,-0.3359,0.3967,0.9549,0.7754,0.1342,-1.2279,-0.6352,-0.6715,0.8058,0.3642,0.0571,-1.145,1.382,-0.3294,0.4802,-0.2836,-0.1575,0.8131,-0.6116,-0.7553
