%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 13 iterations, b'CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL'
%.kernel.kernels[0].variance: 4.254145373903147e-06
%.kernel.kernels[0].lengthscales: [4.13160447e+02 2.24585695e+04 1.10353569e+04 2.67031700e+03 3.05050898e+02 8.39384968e+02 1.23834292e+03 6.71884050e+03 1.25873608e+04 1.65943946e-03 1.11855117e+03 1.11012230e+03 2.32240972e+04 2.18262978e+04 4.01639348e-02 6.65786102e+01 2.96995688e+02 6.60301091e+01 3.06940999e-05 2.70215813e+04]
%.kernel.kernels[1].variance: 0.03542177272921409
%.likelihood.variance: 2.636468990863766
%loglikelihood: -196.26837803614157
%RMSE:1.972
%Pearson_correlation_coefficient:0.518,P-value:0.000
%Spearman_correlation_coefficient:0.547,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4,cc_N.N_4
10gs,0.0598,0.2054,0.0096,0.1049,0.2664,-0.4224,-0.6831,-0.0862,1.0638,0.4082,0.3775,0.7881,-0.7821,0.9608,-0.1165,0.3021,0.6446,0.2232,-0.8801,0.0793,1.619,-0.7098,1.3953
1a30,-0.7681,0.2000,-2.0904,-0.0832,-0.3981,-1.5719,-0.3639,2.567,-0.9935,-0.1085,-0.0017,0.487,-0.3164,0.9891,0.092,0.7481,1.162,0.7138,-0.8801,0.4756,-0.3154,-0.7098,-0.7848
1a69,-0.7339,0.0694,-1.0904,-0.3089,-0.6388,-0.5207,-1.1557,-0.4676,-0.3508,-0.1555,-0.3587,-0.0279,0.2863,-0.6805,-0.149,-1.2452,0.0648,-0.0221,-0.2393,0.0793,-0.8827,-0.494,-0.0581
1abf,-1.1602,0.1123,-0.9704,-0.9778,-1.2556,-0.519,-0.8647,0.2608,-0.9935,-0.8835,0.4973,-1.7712,1.389,-0.7441,-0.03,-1.064,0.0717,-0.0221,-0.8801,-0.7135,-0.8827,-0.7098,-0.7848
1ai5,-0.4126,0.1015,-2.6704,-0.906,-1.1379,0.0616,-0.9194,0.2661,0.1523,-1.0714,-1.0445,-0.6434,0.2178,0.9852,-1.0294,-0.0483,-0.7263,-0.7579,-0.8801,-0.7135,-0.3824,-0.7098,-0.7848
1ajp,-0.5415,0.0975,-4.1604,-1.0317,-1.192,-0.0771,-0.3857,0.2404,-0.3123,-1.1418,-0.993,-0.6175,0.3548,0.9852,-1.2054,-0.3356,-0.1923,-0.2674,-0.8801,-0.9117,-0.8827,-0.494,-0.7848
1ajq,-0.5083,0.0826,-2.0804,-1.3081,-1.3298,0.1044,-0.6715,-0.0105,-0.3518,-1.1888,-0.7062,-0.7558,0.9575,0.9849,-0.9853,-0.3658,-0.7263,-0.7579,-0.8801,-1.308,-0.6326,-0.7098,-0.7848
1apw,0.0174,0.3689,1.6096,0.532,0.4346,0.5359,0.1165,3.7224,-0.9935,0.3612,0.8065,1.7707,-0.0493,-0.7818,-0.3422,1.4565,0.1332,-0.0221,-0.8801,0.0793,1.3867,-0.7098,-0.7848
1avn,-1.0304,0.1502,-2.4904,-1.8302,-1.2603,-0.1318,-1.1557,0.0615,-0.471,-1.8933,-1.1115,-1.8954,0.9575,-1.0679,-1.0042,-0.3208,-0.6851,-1.2485,-0.2393,-1.1098,-0.8827,-0.494,0.6686
1ax0,-1.2620,0.0918,-3.2604,-1.0003,-1.0478,-0.7656,-1.1557,0.3634,-0.9935,-0.9305,-0.0003,-0.0948,1.026,-0.6805,-0.5969,-0.7621,0.3492,0.2232,-0.8801,-0.3171,-0.8827,-0.494,-0.0581
